NAME,X,Y,Row,Col,Aq,Ztop,Zbot,scLen,lenL1,lenL2,lenL3,lenL4,lenL5,lenL6,lenL7,lenL8,lenL9,fL1,fL2,fL3,fL4,fL5,fL6,fL7,fL8,fL9,MaxFrac_Lay,Deepest_Lay,Aquifer
199-D1-1,573385,151555,328,164,Unconfined,120.581,111.443,9.138,3.131003052,2,1.9899979,2,0.016999084,,,,,0.34263548,0.21886629,0.21777172,0.21886629,0.00186026,,,,,1,4,Unconfined
199-D2-11,573325,151125,371,158,Unconfined,119.783,110.63,9.153,2.202998169,2.340004,2.3499985,2.25999939,,,,,,0.24068591,0.25565434,0.25674626,0.24691351,,,,,,3,4,Unconfined
199-D2-14,573505,151515,332,176,Unconfined,119.675,112.046,7.629,2.255001831,2.369995,2.3600006,0.644002441,,,,,,0.29558289,0.31065607,0.309346,0.08441505,,,,,,2,4,Unconfined
199-D5-15,573735,151675,316,199,Unconfined,121.233,114.802,6.431,4.063001831,2.367998169,,,,,,,,0.63178383,0.36821617,,,,,,,,1,,Unconfined
199-D5-17,573735,151325,351,199,Unconfined,121.191,114.836,6.355,3.131002441,2.119995,1.104002441,,,,,,,0.49268331,0.33359483,0.17372186,,,,,,,1,3,Unconfined
199-D5-33,573095,151715,312,135,Unconfined,120.878,113.364,7.514,3.318002441,1.8499985,1.8499985,0.49600061,,,,,,0.44157605,0.24620688,0.24620688,0.0660102,,,,,,1,4,Unconfined
199-D5-34,573245,151555,328,150,Unconfined,121.122,113.487,7.635,3.552000305,1.6699982,1.6699982,0.743003357,,,,,,0.46522597,0.21872929,0.21872929,0.09731544,,,,,,1,4,Unconfined
199-D5-37,573095,151915,292,135,Unconfined,120.16,115.585,4.575,1.920002136,1.3199997,1.3199997,0.014998474,,,,,,0.4196726,0.28852454,0.28852454,0.00327835,,,,,,1,4,Unconfined
199-D5-39,573145,151425,341,140,Unconfined,120.346,114.235,6.111,2.835997864,1.6300049,1.6199951,0.025002136,,,,,,0.46408082,0.26673293,0.26509494,0.00409133,,,,,,1,4,Unconfined
199-D5-41,573355,151795,304,161,Unconfined,119.303,113.207,6.096,1.993002441,1.909996,1.9100037,0.282997864,,,,,,0.3269361,0.31331956,0.31332082,0.04642353,,,,,,1,4,Unconfined
199-D5-43,573175,151265,357,143,Unconfined,120.526,112.897,7.629,3.095999695,2.0599976,2.050003,0.422999695,,,,,,0.40581986,0.27002195,0.2687119,0.05544628,,,,,,1,4,Unconfined
199-D5-44,572995,151835,300,125,Unconfined,119.877,115.305,4.572,1.637002136,1.5299988,1.404999084,,,,,,,0.35804946,0.3346454,0.30730514,,,,,,,1,3,Unconfined
199-D5-103,573505,151465,337,176,Unconfined,119.845,110.762,9.083,2.535002441,2.5199966,2.5200043,1.507996643,,,,,,0.27909308,0.277441,0.27744183,0.16602407,,,,,,1,4,Unconfined
199-D5-104,573265,151425,341,152,Unconfined,120.421,111.277,9.144,3.501001831,2.1899948,2.1900024,1.263000916,,,,,,0.38287422,0.23950075,0.23950158,0.13812346,,,,,,1,4,Unconfined
199-D5-106,573505,151595,324,176,Unconfined,123.597,112.932,10.665,5.936996338,2.140007,2.149994,0.438002747,,,,,,0.55668039,0.20065701,0.20159343,0.04106917,,,,,,1,4,Unconfined
