NAME,Notes
199-H3-25,"Injection well thru December 2014, extraction well thru April 2022, turned off May 2022"
199-H3-26,"Injection well thru December 2014, intermittent extraction well thru March 2022, turned off April 2022"
199-H3-27,"Injection well thru July 2022, turned off August 2022"
199-H3-2A,Monitoring well
199-H4-12A,Monitoring well
199-H4-15A,"Extraction well thru July 2022, turned off August 2022"
199-H4-17,"Injection well thru May 2021, turned off June 2021"
199-H4-18,"Intermittent injection well thru June 2018, turned off July 2018"
199-H4-4,"Semi-intermittent extraction well thru August 2022, turned off September 2022"
199-H4-5,Monitoring well
199-H4-64,"Semi-intermittent extraction well thru September 2020, turned off October 2020"
199-H4-65,Monitoring well
199-H4-8,Monitoring well
199-H4-84,Monitoring well
199-H4-85,Monitoring well
199-H4-86,"Semi-intermittent extraction well thru October 2022, turned off November 2022"
199-H4-88,Monitoring well
199-H4-89,Monitoring well
