NAME,X,Y,TOS,BOS
199-D2-10,574470.87,153465.19,117.289,112.717
199-D2-11,573328.16,151120.73,119.046,109.893
199-D2-12,574343.45,153300.01,116.962,112.39
199-D2-6,573000.21,151119.86,119.768,113.337
199-D3-2,572453.96,151165.65,117.821,111.725
199-D3-5,572787.66,150994.54,121.559,112.415
199-D4-1,572752.85,151558.89,120.494,114.392
199-D4-102,572750.41,151458.68,120.27,112.647
199-D4-103,572749.45,151243.34,119.297,113.195
199-D4-13,572665.86,151424.47,121.057,114.961
199-D4-15,572936.64,151424.86,119.993,113.897
199-D4-17,572738.09,151558.43,118.802,114.072
199-D4-18,572726.34,151570.93,118.782,114.021
199-D4-19,572559.35,151282.04,119.67,110.526
199-D4-20,572794.04,151257.47,118.928,112.823
199-D4-21,572778.85,151569.8,118.623,114.057
199-D4-22,572788.45,151539.29,119.955,113.859
199-D4-23,572672.46,151592.87,120.794,114.698
199-D4-25,572711.44,151476.24,117.929,113.345
199-D4-26,572712.33,151488.88,117.528,112.943
199-D4-27,572724.23,151493.48,117.888,113.31
199-D4-31,572749.47,151528,119.144,114.569
199-D4-32,572790.87,151573.75,118.694,114.116
199-D4-36,572818.19,151606.22,118.734,114.159
199-D4-4,572754.61,151571.61,119.753,113.66
199-D4-48,572881.3,151703.46,119.073,112.977
199-D4-5,572740.54,151556.5,119.58,113.378
199-D4-55,572659.03,151414.64,117.857,113.288
199-D4-6,572733.34,151577.92,120.182,114.092
199-D4-62,572619.52,151351.07,117.709,110.144
199-D4-65,572594.77,151329.74,117.436,109.868
199-D4-7,572760.87,151551.25,118.982,114.419
199-D4-77,572513.33,151231.01,118.575,109.489
199-D4-78,572511.28,151218.26,118.31,109.255
199-D4-86,572389.06,151202.14,119.201,110.079
199-D4-92,572714.05,151486.31,118.223,112.13
199-D4-93,572710.39,151491.2,118.283,112.177
199-D5-103,573505.87,151460.87,119.131,110.048
199-D5-106,573503.74,151597.97,122.898,112.233
199-D5-107,572932.37,151283.14,119.005,112.909
199-D5-108,572923.34,151222.9,118.841,112.745
199-D5-109,572917.37,151285.57,118.754,112.658
199-D5-110,572931.57,151277.61,119.58,113.484
199-D5-114,572918.04,151223.75,119,112.812
199-D5-115,572923.15,151221.12,118.998,112.902
199-D5-123,573824.21,151639.41,120.163,107.892
199-D5-125,573667.39,151746.18,119.906,111.326
199-D5-126,573705.71,151843.28,119.243,110.099
199-D5-13,573535.53,151955.18,120.392,114.082
199-D5-132,573875.35,151586.87,119.723,112.103
199-D5-133,573731.55,151497.37,120.582,111.444
199-D5-134,573675.32,151862.46,103.47288,100.3944
199-D5-14,573789.63,151787.99,120.379,113.948
199-D5-141,573243.43,151424.51,95.137152,92.0922
199-D5-142,573791.87,151563.26,119.701,116.643
199-D5-143,573701.53,151784.26,119.355,111.735
199-D5-145,573215.62,151396.28,121.867,109.675
199-D5-147,572993.13,151380.78,121.59,112.446
199-D5-149,573327.62,151461.82,120.061,110.917
199-D5-15,573738.61,151673.75,120.35,113.919
199-D5-150,573429.42,151401.85,120.703,111.556
199-D5-151,573312.03,151391.88,121.032,111.879
199-D5-152,573300.18,151349.1,120.414,111.255
199-D5-16,573917.45,151652.51,120.809,114.47
199-D5-160,573517.16,151429.17,120.816,111.672
199-D5-17,573730.52,151322.83,120.285,113.93
199-D5-18,573861.7,151325.18,121.773,114.031
199-D5-19,573849.12,151243.19,119.139,112.982
199-D5-33,573095.03,151714.54,120.092,112.578
199-D5-34,573240.42,151554.12,120.324,112.689
199-D5-36,572909.82,151746.32,120.295,114.199
199-D5-37,573092.24,151916.37,119.359,114.784
199-D5-38,572996.82,151545.59,119.005,112.906
199-D5-40,573003.26,151272.02,118.821,112.722
199-D5-41,573358.16,151792.19,118.593,112.497
199-D5-42,573479.77,151622.67,118.56,112.455
199-D5-43,573179.98,151269.43,119.852,112.223
199-D5-44,572993.58,151835.74,119.097,114.525
199-D5-97,573250.11,151302.47,119.34,110.196
199-D6-3,574159.09,151643.85,120.732,113.112
199-D8-101,574069.46,152262.43,118.17,115.122
199-D8-102,573661.84,152076.09,117.893,110.273
199-D8-4,573447.19,152090.21,120.663,114.567
199-D8-5,573537.15,152243.5,118.969,112.873
199-D8-54A,573781.17,152408.03,119.175,112.744
199-D8-54B,573768.24,152398.65,95.27148,92.0406
199-D8-6,573434.69,152060.82,118.746,112.559
199-D8-70,573942.1,152508.74,119.451,110.307
199-D8-71,573837.1,152429.39,119.696,110.552
199-D8-93,574148.7,153085.8,117.339,115.812
199-D8-94,574047.82,152949.53,117.243,112.665
199-H1-3,576163.04,153372.22,118.808,115.76
199-H1-5,574850.72,153090.3,119.092,111.466
199-H1-50,576877,153482,105.638152,99.542152
199-H1-7,577629.6,153172.1,118.251,115.203
199-H2-1,577752.31,153239.89,103.851992,100.803992
199-H3-10,577545.14,152723.52,96.894272,93.846272
199-H3-11,577786.74,152490.41,117.389,114.326
199-H3-12,577842.58,152839,102.678856,98.106856
199-H3-13,577950.47,152815.56,103.329648,95.688312
199-H3-22,577897,152848,105.259,96.115
199-H3-28,577655.35,152822.58,101.328424,95.232424
199-H3-29,577921.46,152884.22,110.1716,100.418
199-H3-3,577562.09,152363.17,119.214,113.118
199-H3-30,578100.23,152712.09,107.827496,101.728448
199-H3-32,577710,153063,101.899248,98.8482
199-H3-5,577454.7,152287.5,118.366,112.27
199-H3-6,578266.47,152425.33,118.017,111.921
199-H3-7,577931.74,152279.97,117.708,113.136
199-H3-9,578039.12,152913.6,102.546928,99.498928
199-H4-10,577827.21,153155.81,116.69,112.118
199-H4-11,578141.91,152728.43,116.098,111.526
199-H4-13,578219.3,152595.27,117.372,112.8
199-H4-15CS,577907.681,153059.983,100.11,91.12
199-H4-16,577981.91,152591.57,116.866,111.989
199-H4-45,578156.39,152433.39,117.374,111.035
199-H4-46,577883.86,152439.87,117.584,111.244
199-H4-47,577891.18,152553.3,117.728,111.388
199-H4-49,577713.83,152445.15,118.033,113.247
199-H4-5,577944.94,152939.78,117.572,109.648
199-H4-6,577585.32,152888.39,115.604,112.556
199-H4-65,577998.26,152787.29,116.937,113.889
199-H4-8,577860.69,152921.7,117.014,113.966
199-H4-82,574906.99,152677.72,119.647,113.576
199-H4-83,578135.04,152634.01,116.773,113.725
199-H4-84,577902.58,152848.73,117.18,114.132
199-H4-85,577980.02,152880.81,119.681,113.585
199-H4-86,577704.55,152745.65,118.421,110.795
199-H4-87,577736.16,152667.79,117.957,111.852
199-H4-88,577850.51,152833.59,119.335,114.763
199-H4-89,577923.32,152893.98,118.621,114.064
199-H4-90,577922.94,152592.59,107.069656,102.49156
199-H4-91,578126.58,152524.1,106.82204,102.25004
199-H4-92,576723.3,152233.84,118.216,110.571
199-H5-16,576906.8,151646.31,118.745,110.881
199-H5-1A,577650.08,152257.72,117.565,112.658
199-H6-1,578236.56,152247.63,117.219,110.879
199-H6-3,578340.4,151929.35,117.123,109.503
199-H6-4,577771.59,151737.1,117.733,110.113
199-H7-1,575643,153389,108.146328,103.57128
699-100-43B,576675.9,154008.65,116.259,113.192
699-101-45,576032.4,154124.17,117.024,113.97
699-88-41A,577406.82,150957.6,119.087,111.467
699-89-35,579121.74,150543.51,115.705,99.551
699-90-45,576169.25,151024.53,119.486,116.438
699-91-46A,575910.95,151156.64,120.245,113.905
699-92-49,575063.14,151647.47,120.104,114.252
699-93-37A,578449.32,151455.62,117.434,106.751
699-93-48A,575094.13,151795.3,120.986,114.646
699-94-41,577223.05,152111.68,117.065,114.017
699-94-43,576625.6,152087.9,117.591,113.019
699-95-45,576257,152556.28,117.533,114.485
699-95-45C,576257.17,152576.21,100.106072,97.048928
699-95-48,575253.42,152323.05,118.573,112.477
699-95-51,574439.5,152528.59,118.271,112.175
699-96-42B,577211,152703,103.308608,97.20956
699-96-43,576761.45,152605.31,118.838,113.931
699-96-44,576773.1,152608.21,118.314,112.194
699-96-45,576768.17,152607.03,118.218,112.098
