sp,SPstart,SPend,spLen,nsp,mutl,ss
1,1/1/2014,1/31/2014,31,1,1,1
2,2/1/2014,2/28/2014,28,1,1,0
3,3/1/2014,3/31/2014,31,1,1,0
4,4/1/2014,4/30/2014,30,1,1,0
5,5/1/2014,5/31/2014,31,1,1,0
6,6/1/2014,6/30/2014,30,1,1,0
7,7/1/2014,7/31/2014,31,1,1,0
8,8/1/2014,8/31/2014,31,1,1,0
9,9/1/2014,9/30/2014,30,1,1,0
10,10/1/2014,10/31/2014,31,1,1,0
11,11/1/2014,11/30/2014,30,1,1,0
12,12/1/2014,12/31/2014,31,1,1,0
13,1/1/2015,1/31/2015,31,1,1,0
14,2/1/2015,2/28/2015,28,1,1,0
15,3/1/2015,3/31/2015,31,1,1,0
16,4/1/2015,4/30/2015,30,1,1,0
17,5/1/2015,5/31/2015,31,1,1,0
18,6/1/2015,6/30/2015,30,1,1,0
19,7/1/2015,7/31/2015,31,1,1,0
20,8/1/2015,8/31/2015,31,1,1,0
21,9/1/2015,9/30/2015,30,1,1,0
22,10/1/2015,10/31/2015,31,1,1,0
23,11/1/2015,11/30/2015,30,1,1,0
24,12/1/2015,12/31/2015,31,1,1,0
25,1/1/2016,1/31/2016,31,1,1,0
26,2/1/2016,2/29/2016,29,1,1,0
27,3/1/2016,3/31/2016,31,1,1,0
28,4/1/2016,4/30/2016,30,1,1,0
29,5/1/2016,5/31/2016,31,1,1,0
30,6/1/2016,6/30/2016,30,1,1,0
31,7/1/2016,7/31/2016,31,1,1,0
32,8/1/2016,8/31/2016,31,1,1,0
33,9/1/2016,9/30/2016,30,1,1,0
34,10/1/2016,10/31/2016,31,1,1,0
35,11/1/2016,11/30/2016,30,1,1,0
36,12/1/2016,12/31/2016,31,1,1,0
37,1/1/2017,1/31/2017,31,1,1,0
38,2/1/2017,2/28/2017,28,1,1,0
39,3/1/2017,3/31/2017,31,1,1,0
40,4/1/2017,4/30/2017,30,1,1,0
41,5/1/2017,5/31/2017,31,1,1,0
42,6/1/2017,6/30/2017,30,1,1,0
43,7/1/2017,7/31/2017,31,1,1,0
44,8/1/2017,8/31/2017,31,1,1,0
45,9/1/2017,9/30/2017,30,1,1,0
46,10/1/2017,10/31/2017,31,1,1,0
47,11/1/2017,11/30/2017,30,1,1,0
48,12/1/2017,12/31/2017,31,1,1,0
49,1/1/2018,1/31/2018,31,1,1,0
50,2/1/2018,2/28/2018,28,1,1,0
51,3/1/2018,3/31/2018,31,1,1,0
52,4/1/2018,4/30/2018,30,1,1,0
53,5/1/2018,5/31/2018,31,1,1,0
54,6/1/2018,6/30/2018,30,1,1,0
55,7/1/2018,7/31/2018,31,1,1,0
56,8/1/2018,8/31/2018,31,1,1,0
57,9/1/2018,9/30/2018,30,1,1,0
58,10/1/2018,10/31/2018,31,1,1,0
59,11/1/2018,11/30/2018,30,1,1,0
60,12/1/2018,12/31/2018,31,1,1,0
61,1/1/2019,1/31/2019,31,1,1,0
62,2/1/2019,2/28/2019,28,1,1,0
63,3/1/2019,3/31/2019,31,1,1,0
64,4/1/2019,4/30/2019,30,1,1,0
65,5/1/2019,5/31/2019,31,1,1,0
66,6/1/2019,6/30/2019,30,1,1,0
67,7/1/2019,7/31/2019,31,1,1,0
68,8/1/2019,8/31/2019,31,1,1,0
69,9/1/2019,9/30/2019,30,1,1,0
70,10/1/2019,10/31/2019,31,1,1,0
71,11/1/2019,11/30/2019,30,1,1,0
72,12/1/2019,12/31/2019,31,1,1,0
73,1/1/2020,1/31/2020,31,1,1,0
74,2/1/2020,2/29/2020,29,1,1,0
75,3/1/2020,3/31/2020,31,1,1,0
76,4/1/2020,4/30/2020,30,1,1,0
77,5/1/2020,5/31/2020,31,1,1,0
78,6/1/2020,6/30/2020,30,1,1,0
79,7/1/2020,7/31/2020,31,1,1,0
80,8/1/2020,8/31/2020,31,1,1,0
81,9/1/2020,9/30/2020,30,1,1,0
82,10/1/2020,10/31/2020,31,1,1,0
83,11/1/2020,11/30/2020,30,1,1,0
84,12/1/2020,12/31/2020,31,1,1,0
85,1/1/2021,1/31/2021,31,1,1,0
86,2/1/2021,2/28/2021,28,1,1,0
87,3/1/2021,3/31/2021,31,1,1,0
88,4/1/2021,4/30/2021,30,1,1,0
89,5/1/2021,5/31/2021,31,1,1,0
90,6/1/2021,6/30/2021,30,1,1,0
91,7/1/2021,7/31/2021,31,1,1,0
92,8/1/2021,8/31/2021,31,1,1,0
93,9/1/2021,9/30/2021,30,1,1,0
94,10/1/2021,10/31/2021,31,1,1,0
95,11/1/2021,11/30/2021,30,1,1,0
96,12/1/2021,12/31/2021,31,1,1,0
97,1/1/2022,1/31/2022,31,1,1,0
98,2/1/2022,2/28/2022,28,1,1,0
99,3/1/2022,3/31/2022,31,1,1,0
100,4/1/2022,4/30/2022,30,1,1,0
101,5/1/2022,5/31/2022,31,1,1,0
102,6/1/2022,6/30/2022,30,1,1,0
103,7/1/2022,7/31/2022,31,1,1,0
104,8/1/2022,8/31/2022,31,1,1,0
105,9/1/2022,9/30/2022,30,1,1,0
106,10/1/2022,10/31/2022,31,1,1,0
107,11/1/2022,11/30/2022,30,1,1,0
108,12/1/2022,12/31/2022,31,1,1,0
109,1/1/2023,1/31/2023,31,1,1,0
110,2/1/2023,2/28/2023,28,1,1,0
111,3/1/2023,3/31/2023,31,1,1,0
112,4/1/2023,4/30/2023,30,1,1,0
113,5/1/2023,5/31/2023,31,1,1,0
114,6/1/2023,6/30/2023,30,1,1,0
115,7/1/2023,7/31/2023,31,1,1,0
