wname,Type,System,XW,YW,NNODES,LOSSTYPE,PUMPLOC,Qlimit,PPFLAG,PUMPCAP,ScrnCorrFac,Ztop,Zbot,Rw,Group,ISTRTSP,Notes
199-D1-1,,DX,573381,151558,-1,THIEM,0,1,0,0,0,119.868,110.73,0.0762,1,0,
199-D11-1,,DX,574429.62,152988.34,-1,THIEM,0,1,0,0,0,109.613,108.059,0.0762,1,0,
199-D11-2,,HX,575081.55,153367.05,-1,THIEM,0,1,0,0,0,104.217,99.602,0.0762,1,0,
199-D2-10,,DX,574470.87,153465.19,-1,THIEM,0,1,0,0,0,117.288624,112.716624,0.0762,1,0,
199-D2-12,,DX,574343.45,153300.01,-1,THIEM,0,1,0,0,0,116.962168,112.390168,0.0762,1,0,
199-D2-14,,DX,573504.05,151518.91,-1,THIEM,0,1,0,0,0,118.962,111.333,0.0762,1,0,
199-D4-101,,DX,572800.1,151425.94,-1,THIEM,0,1,0,0,0,118.85524,112.756192,0.0762,1,0,
199-D4-14,,DX,572839.81,151641.64,-1,THIEM,0,1,0,0,0,120.277816,114.169624,0.0762,1,0,
199-D4-34,,DX,572804.6,151590.03,-1,THIEM,0,1,0,0,0,118.219688,113.641592,0.0762,1,0,
199-D4-38,,DX,572671.32,151537.86,-1,THIEM,0,1,0,0,0,119.860656,113.764656,0.0762,1,0,
199-D4-39,,DX,572747.45,151650.84,-1,THIEM,0,1,0,0,0,120.568792,114.466696,0.0762,1,0,
199-D4-83,,DX,572859.43,151723.42,-1,THIEM,0,1,0,0,0,119.4184,114.8464,0.0762,1,0,
199-D4-84,,DX,572568.04,151433.52,-1,THIEM,0,1,0,0,0,120.478488,112.864584,0.0762,1,0,
199-D4-85,,DX,572486.16,151324.2,-1,THIEM,0,1,0,0,0,119.5336,110.3896,0.0762,1,0,
199-D4-95,,DX,572612.82,151226.7,-1,THIEM,0,1,0,0,0,119.243032,108.565888,0.0762,1,0,
199-D4-96,,DX,572777.03,151519.78,-1,THIEM,0,1,0,0,0,117.3816,114.3336,0.0762,1,0,
199-D4-97,,DX,572906.23,151625.33,-1,THIEM,0,1,0,0,0,117.01712,112.44512,0.0762,1,0,
199-D4-98,,DX,572574.52,151481.65,-1,THIEM,0,1,0,0,0,118.65904,112.56304,0.0762,1,0,
199-D4-99,,DX,572527.36,151377.08,-1,THIEM,0,1,0,0,0,119.47132,110.321224,0.0762,1,0,
199-D5-101,,DX,572943.04,151521.52,-1,THIEM,0,1,0,0,0,120.590096,111.443048,0.0762,1,0,
199-D5-103,,DX,573505.87,151460.87,-1,THIEM,0,1,0,0,0,119.13056,110.04752,0.0762,1,0,
199-D5-104,,DX,573265.48,151422.43,-1,THIEM,0,1,0,0,0,119.664,110.52,0.0762,1,0,
199-D5-106,,DX,573503.74,151597.97,-1,THIEM,0,1,0,0,0,122.898,112.233,0.0762,1,0,
199-D5-108,,DX,572923.34,151222.9,-1,THIEM,0,1,0,0,0,118.84076,112.74476,0.0762,1,0,
199-D5-111,,DX,572943.24,151281.47,-1,THIEM,0,1,0,0,0,119.676232,113.580232,0.0508,1,0,
199-D5-127,,DX,572992.26,151428.31,-1,THIEM,0,1,0,0,0,119.631928,113.538976,0.0762,1,0,
199-D5-128,,DX,573622.4,151237.35,-1,THIEM,0,1,0,0,0,119.398984,113.302984,0.0762,1,0,
199-D5-129,,DX,573735.5,151465.13,-1,THIEM,0,1,0,0,0,119.560552,111.934456,0.0762,1,0,
199-D5-130,,DX,574039.2,151928.51,-1,THIEM,0,1,0,0,0,118.312608,113.734512,0.0762,1,0,
199-D5-131,,DX,573684.39,152006.75,-1,THIEM,0,1,0,0,0,119.008336,111.388336,0.0762,1,0,
199-D5-134,,DX,573675.32,151862.46,-1,THIEM,0,1,0,0,0,103.473,100.394,0.0762,1,0,
199-D5-141,,DX,573243.43,151424.51,-1,THIEM,0,1,0,0,0,95.137,92.092,0.0762,1,0,
199-D5-146,,DX,573219.79,151345.59,-1,THIEM,0,1,0,0,0,120.737088,110.059944,0.0762,1,0,
199-D5-148,,DX,573361.48,151083.48,-1,THIEM,0,1,0,0,0,122.620688,110.42564,0.0762,1,0,
199-D5-151,,DX,573312.03,151391.88,-1,THIEM,0,1,0,0,0,121.032,111.879,0.0762,1,0,
199-D5-153,,DX,573329.77,151992.82,-1,THIEM,0,1,0,0,0,119.242144,111.613,0.0762,1,0,
199-D5-154,,DX,573632.26,151831.74,-1,THIEM,0,1,0,0,0,120.6871,111.537,0.0762,1,0,
199-D5-159,,DX,573474.25,151910.82,-1,THIEM,0,1,0,0,0,120.8443,113.2243,0.0762,1,0,
199-D5-20,,DX,573239.97,152030.15,-1,THIEM,0,1,0,0,0,119.74224,113.4024,0.0762,1,0,
199-D5-32,,DX,573372.04,151903.39,-1,THIEM,0,1,0,0,0,119.456088,111.8178,0.0762,1,0,
199-D5-33,,DX,573095.03,151714.54,-1,THIEM,0,1,0,0,0,120.092,112.578,0.0762,1,0,
199-D5-34,,DX,573240.42,151554.12,-1,THIEM,0,1,0,0,0,120.32,112.69,0.0762,1,0,
199-D5-39,,DX,573142.86,151428.43,-1,THIEM,0,1,0,0,0,119.586904,113.475664,0.0762,1,0,
199-D5-42,,DX,573479.77,151622.67,-1,THIEM,0,1,0,0,0,118.562792,112.457648,0.0762,1,0,
199-D5-44,,DX,572993.58,151835.74,-1,THIEM,0,1,0,0,0,119.09696,114.52496,0.0762,1,0,
199-D5-92,,DX,573131.93,152009.82,-1,THIEM,0,1,0,0,0,119.43212,113.03132,0.0762,1,0,
199-D6-1,,DX,574129.87,151691.71,-1,THIEM,0,1,0,0,0,119.836,113.74,0.0762,1,0,
199-D6-2,,DX,574544.61,151970.2,-1,THIEM,0,1,0,0,0,119.3984,111.769256,0.0762,1,0,
199-D7-3,,DX,574151.38,152363.41,-1,THIEM,0,1,0,0,0,120.973056,110.302008,0.0762,1,0,
199-D7-4,,DX,574377.07,152369.64,-1,THIEM,0,1,0,0,0,118.516,112.42,0.0762,1,0,
199-D7-5,,DX,574434.31,152678.72,-1,THIEM,0,1,0,0,0,121.317832,115.218784,0.0762,1,0,
199-D7-6,,DX,574429.2,152980.43,-1,THIEM,0,1,0,0,0,120.313984,114.1936,0.0762,1,0,
199-D7-7,,DX,574433.17,152667.9,-1,THIEM,0,1,0,0,0,105.446,100.877,0.0762,1,0,
199-D8-53,,DX,573889.86,152452.26,-1,THIEM,0,1,0,0,0,119.177,112.9286,0.0762,1,0,
199-D8-54B,,DX,573768.24,152398.65,-1,THIEM,0,1,0,0,0,95.271,92.041,0.0762,1,0,
199-D8-55,,DX,573620.95,152364.35,-1,THIEM,0,1,0,0,0,118.65612,112.40772,0.0762,1,0,
199-D8-6,,DX,573434.69,152060.82,-1,THIEM,0,1,0,0,0,118.746,112.55856,0.0762,1,0,
199-D8-68,,DX,573711.67,152427.1,-1,THIEM,0,1,0,0,0,120.1936,112.5736,0.0762,1,0,
199-D8-69,,DX,573843.61,152552.2,-1,THIEM,0,1,0,0,0,119.218872,113.12592,0.0762,1,0,
199-D8-73,,DX,573388.7,152167.38,-1,THIEM,0,1,0,0,0,120.063808,114.876112,0.0762,1,0,
199-D8-88,,DX,573292.33,152141.26,-1,THIEM,0,1,0,0,0,118.408736,111.992696,0.0762,1,0,
199-D8-89,,DX,573478.64,152249.65,-1,THIEM,0,1,0,0,0,117.65616,114.605112,0.0762,1,0,
199-D8-90,,DX,573948.64,152646.23,-1,THIEM,0,1,0,0,0,118.517832,110.894784,0.0762,1,0,
199-D8-91,,DX,574036.89,152741.44,-1,THIEM,0,1,0,0,0,117.516032,111.42308,0.0762,1,0,
199-D8-93,,DX,574148.7,153085.8,-1,THIEM,0,1,0,0,0,117.33876,115.811712,0.0762,1,0,
199-D8-94,,DX,574047.82,152949.53,-1,THIEM,0,1,0,0,0,117.243048,112.664952,0.0762,1,0,
199-D8-95,,DX,573611.96,152160.61,-1,THIEM,0,1,0,0,0,118.954144,112.861192,0.0762,1,0,
199-D8-96,,DX,573706,152152.24,-1,THIEM,0,1,0,0,0,119.120664,113.024664,0.0762,1,0,
199-D8-97,,DX,573859.56,152087.42,-1,THIEM,0,1,0,0,0,120.773824,111.617632,0.0762,1,0,
199-D8-98,,DX,574013.12,152123.02,-1,THIEM,0,1,0,0,0,120.373984,112.74484,0.0762,1,0,
199-D8-99,,DX,574006.77,152364.37,-1,THIEM,0,1,0,0,0,119.798288,112.172192,0.0762,1,0,
199-H1-1,,HX,576702.31,153384.49,-1,THIEM,0,1,0,0,0,118.0326,113.4606,0.0762,7,0,
199-H1-12,,HX,576597.9,153898.8,-1,THIEM,0,1,0,0,0,118.464232,113.748976,0.0762,7,0,
199-H1-2,,HX,576451.07,153378.26,-1,THIEM,0,1,0,0,0,117.33808,114.29008,0.0762,7,0,
199-H1-20,,HX,575706.04,154183.61,-1,THIEM,0,1,0,0,0,117.633184,111.531088,0.0762,7,0,
199-H1-21,,HX,575896.84,154163.8,-1,THIEM,0,1,0,0,0,116.17092,111.595872,0.0762,7,0,
199-H1-25,,HX,576279.64,154069.97,-1,THIEM,0,1,0,0,0,119.432512,113.33956,0.0762,7,0,
199-H1-27,,HX,576403.86,154024.21,-1,THIEM,0,1,0,0,0,119.23684,113.14084,0.0762,7,0,
199-H1-3,,HX,576163.04,153372.22,-1,THIEM,0,1,0,0,0,118.8084,115.7604,0.0762,7,0,
199-H1-32,,HX,576767.07,153766,-1,THIEM,0,1,0,0,0,120.599,114.503,0.0762,7,0,
199-H1-33,,HX,576833.29,153716.23,-1,THIEM,0,1,0,0,0,119.0766,114.5046,0.0762,7,0,
199-H1-34,,HX,576883.13,153667.06,-1,THIEM,0,1,0,0,0,118.46952,113.89752,0.0762,7,0,
199-H1-35,,HX,576958.26,153628.14,-1,THIEM,0,1,0,0,0,117.7986,113.2266,0.0762,7,0,
199-H1-36,,HX,576885.62,153486.51,-1,THIEM,0,1,0,0,0,118.4456,113.8736,0.0762,7,0,
