SAMP_SITE_NAME,SAMP_DATE,STD_VALUE_RPTD,tte
199-D5-34,2014-02-01,247.0,59
199-D5-34,2014-03-01,266.0,90
199-D5-34,2014-04-01,182.66666666666666,120
199-D5-34,2014-12-01,422.5,365
199-D5-34,2015-01-01,301.5,396
199-D5-34,2015-02-01,324.0,424
199-D5-34,2015-03-01,388.5,455
199-D5-34,2015-04-01,578.5,485
199-D5-34,2015-05-01,612.5,516
199-D5-34,2015-06-01,544.5,546
199-D5-34,2015-07-01,482.3333333333333,577
199-D5-34,2015-08-01,452.9305555555556,608
199-D5-34,2015-09-01,365.0,638
199-D5-34,2015-10-01,336.96666666666664,669
199-D5-34,2015-11-01,286.6,699
199-D5-34,2015-12-01,257.8333333333333,730
199-D5-34,2016-01-01,227.75,761
199-D5-34,2016-02-01,198.6,790
199-D5-34,2016-03-01,185.2,821
199-D5-34,2016-04-01,166.5,851
199-D5-34,2016-05-01,144.4,882
199-D5-34,2016-06-01,128.6,912
199-D5-34,2016-07-01,119.33333333333333,943
199-D5-34,2016-08-01,109.0,974
199-D5-34,2016-09-01,108.66666666666667,1004
199-D5-34,2016-10-01,93.0,1035
199-D5-34,2016-11-01,87.91666666666667,1065
199-D5-34,2016-12-01,85.0,1096
199-D5-34,2017-01-01,91.0,1127
199-D5-34,2017-02-01,83.125,1155
199-D5-34,2017-03-01,69.0,1186
199-D5-34,2017-04-01,77.0,1216
199-D5-34,2017-05-01,79.0,1247
199-D5-34,2017-06-01,75.75,1277
199-D5-34,2017-07-01,70.0,1308
199-D5-34,2017-08-01,65.5,1339
199-D5-34,2017-09-01,64.0,1369
199-D5-34,2017-10-01,78.0,1400
199-D5-34,2017-11-01,56.75,1430
199-D5-34,2017-12-01,71.0,1461
199-D5-34,2018-02-01,46.75,1520
199-D5-34,2018-03-01,77.0,1551
199-D5-34,2018-04-01,68.0,1581
199-D5-34,2018-05-01,78.0,1612
199-D5-34,2018-06-01,76.0,1642
199-D5-34,2018-07-01,67.0,1673
199-D5-34,2018-08-01,54.625,1704
199-D5-34,2018-09-01,60.0,1734
199-D5-34,2018-10-01,44.0,1765
199-D5-34,2018-11-01,47.25,1795
199-D5-34,2018-12-01,47.0,1826
199-D5-34,2019-01-01,50.0,1857
199-D5-34,2019-02-01,41.0,1885
199-D5-34,2019-03-01,35.0,1916
199-D5-34,2019-04-01,44.0,1946
199-D5-34,2019-05-01,41.2,1977
199-D5-34,2019-06-01,47.0,2007
199-D5-34,2019-07-01,44.0,2038
199-D5-34,2019-08-01,39.2,2069
199-D5-34,2019-10-01,35.0,2130
199-D5-34,2019-11-01,28.85,2160
199-D5-34,2019-12-01,31.0,2191
199-D5-34,2020-01-01,20.0,2222
199-D5-34,2020-02-01,25.8,2251
199-D5-34,2020-03-01,25.0,2282
199-D5-34,2020-08-01,18.7,2435
199-D5-34,2020-09-01,22.0,2465
199-D5-34,2020-10-01,22.0,2496
199-D5-34,2020-11-01,19.45,2526
199-D5-42,2016-12-01,1.5,1096
199-D5-42,2017-02-01,1.5,1155
199-D5-42,2017-05-01,1.5,1247
199-D5-42,2017-11-01,1.5,1430
199-D5-42,2018-02-01,9.5,1520
199-D5-42,2018-05-01,1.5,1612
199-D5-42,2018-11-01,1.8,1795
199-D5-42,2019-03-01,1.95,1916
199-D5-42,2019-05-01,1.59,1977
199-D5-42,2019-11-01,1.39,2160
199-D5-42,2020-02-01,1.84,2251
199-D5-42,2020-11-01,1.3,2526
199-D5-43,2014-01-01,47.0,31
199-D5-43,2014-03-01,33.4,90
199-D5-43,2014-12-01,9.45,365
199-D5-43,2015-02-01,4.6,424
199-D5-43,2015-05-01,8.149999999999999,516
199-D5-43,2015-08-01,4.05,608
199-D5-43,2015-12-01,3.7,730
199-D5-43,2016-03-01,5.25,821
199-D5-43,2016-06-01,4.4,912
199-D5-43,2016-12-01,3.7,1096
199-D5-43,2017-11-01,8.9,1430
199-D5-43,2018-10-01,2.7,1765
199-D5-43,2019-10-01,3.27,2130
199-D5-43,2020-12-01,3.07,2557
199-D5-97,2014-01-01,19.549999999999997,31
199-D5-97,2014-02-01,19.2,59
199-D5-97,2014-03-01,18.925,90
199-D5-97,2014-04-01,19.533333333333335,120
199-D5-97,2014-12-01,18.8,365
199-D5-97,2015-01-01,13.25,396
199-D5-97,2015-02-01,17.049999999999994,424
199-D5-97,2015-03-01,11.5,455
199-D5-97,2015-05-01,8.5,516
199-D5-97,2015-08-01,1.5,608
199-D5-97,2015-11-01,3.9,699
199-D5-97,2016-02-01,4.15,790
199-D5-97,2016-05-01,4.949999999999998,882
199-D5-97,2016-11-01,3.3,1065
199-D5-97,2017-02-01,3.65,1155
199-D5-97,2017-05-01,2.95,1247
199-D5-97,2017-11-01,2.2,1430
199-D5-97,2018-02-01,2.55,1520
199-D5-97,2018-05-01,2.45,1612
199-D5-97,2018-11-01,2.2,1795
199-D5-97,2019-02-01,3.1,1885
199-D5-97,2019-05-01,3.3,1977
199-D5-97,2019-10-01,3.1,2130
199-D5-97,2020-02-01,2.65,2251
199-D5-97,2020-11-01,1.89,2526
199-D5-98,2014-12-01,23.0,365
199-D5-98,2018-04-01,17.0,1581
199-D5-103,2014-01-01,807.5,31
199-D5-103,2014-02-01,474.0,59
199-D5-103,2014-03-01,730.0,90
199-D5-103,2014-04-01,867.6666666666666,120
199-D5-103,2014-12-01,307.0,365
199-D5-103,2015-01-01,245.0,396
199-D5-103,2015-02-01,207.0,424
199-D5-103,2015-03-01,183.5,455
199-D5-103,2015-04-01,168.5,485
199-D5-103,2015-05-01,136.0,516
199-D5-103,2015-06-01,104.5,546
199-D5-103,2015-07-01,102.5,577
199-D5-103,2015-08-01,89.0,608
199-D5-103,2015-09-01,78.5,638
199-D5-103,2015-10-01,59.0,669
199-D5-103,2015-11-01,74.0,699
199-D5-103,2015-12-01,57.5,730
199-D5-103,2016-01-01,55.5,761
199-D5-103,2016-02-01,56.0,790
199-D5-103,2016-03-01,54.5,821
