NAME,Well Type,Well ID,Screened Water Column Lengtha (m [ft]),Screen Interval (Depth to Top – Depth to Bottom) (m [ft]),WELL_ID,TYPE,STATUS,TD,BOH,ZCOORDS,YCOORDS,XCOORDS,OU,ShortName
AT-D-1-M,Aquifer Tube ,C4306 ,N/A ,,C4306,AQUIFER TUBE,IN-USE,11.33,,118.662,151850.404,572861.512,100-HR-3-D,AT-D-1-M
C6272,Aquifer Tube ,C6272 ,N/A ,,C6272,AQUIFER TUBE,IN-USE,11.2,,118.71,151926.86,572920.42,100-HR-3-D,C6272
35-S,Aquifer Tube ,B8255 ,N/A ,,B8255,AQUIFER TUBE,IN-USE,8.5,,117.63,151930.04,572918.04,100-HR-3-D,35-S
199-D1-1,Monitoring ,C9935 ,6.3 (20.6) ,23.78-32.92 (78.01-107.99),C9935,GROUNDWATER WELL,IN-USE,114.3,,144.358,151558,573381,100-HR-3-D,D1-1
199-D2-11,Monitoring ,C5394 ,8.4 (27.7) ,24.41-33.56 (80.07-110.10),C5394,GROUNDWATER WELL,IN-USE,114,,144.188,151120.73,573328.16,100-HR-3-D,D2-11
199-D2-14,Monitoring ,C9718 ,6.8 (22.2) ,24.68-32.31 (80.98-106.01),C9718,GROUNDWATER WELL,IN-USE,115,,144.358,151518.91,573504.05,100-HR-3-D,D2-14
199-D5-106,Monitoring ,C5511 ,5.9 (19.4) ,20.78-31.44 (68.17-103.16),C5511,GROUNDWATER WELL,IN-USE,107.2,,144.375,151597.97,573503.74,100-HR-3-D,D5-106
199-D5-123,Monitoring ,C6387 ,9.9 (32.4) ,24.01-36.28 (78.76-119.02),C6387,GROUNDWATER WELL,IN-USE,123.7,,144.604,151639.41,573824.21,100-HR-3-D,D5-123
199-D5-133,Monitoring ,C7621 ,6.9 (22.8) ,22.86-32.00 (74.99-104.97),C7621,GROUNDWATER WELL,IN-USE,112,,144.12,151497.37,573731.55,100-HR-3-D,D5-133
199-D5-142,Monitoring ,C7857 ,2.0 (6.6) ,23.46-26.52 (76.97-87.00),C7857,GROUNDWATER WELL,IN-USE,89.8,,143.229,151563.26,573791.87,100-HR-3-D,D5-142
199-D5-145,Monitoring ,C8725 ,7.1 (23.3) ,22.34-34.53 (73.3-113.3),C8725,GROUNDWATER WELL,IN-USE,118.9,,144.969,151396.28,573215.62,100-HR-3-D,D5-145
199-D5-149,Monitoring ,C8729 ,5.8 (19.0) ,23.86-33.00 (78.27-108.27),C8729,GROUNDWATER WELL,IN-USE,112.67,,144.669,151461.82,573327.62,100-HR-3-D,D5-149
199-D5-15,Monitoring ,A4572 ,3.7 (12.0) ,23.5-29.93 (77.1-98.2),A4572,GROUNDWATER WELL,IN-USE,101.8,,144.733,151673.75,573738.61,100-HR-3-D,D5-15
