,NAME,SAMP_DATE_TIME,STD_VALUE_RPTD,tte
0,199-H3-2A,2014-03-01,2.0,90
1,199-H3-2A,2014-06-01,8.0,181
2,199-H3-2A,2014-09-01,8.0,273
3,199-H3-2A,2014-12-01,1.5,365
4,199-H3-2A,2015-03-01,1.5,455
5,199-H3-2A,2015-05-01,1.55,516
6,199-H3-2A,2015-09-01,1.5,638
7,199-H3-2A,2015-12-01,1.5,730
8,199-H3-2A,2016-03-01,1.5,821
9,199-H3-2A,2016-06-01,1.5,912
10,199-H3-2A,2016-11-01,5.5,1065
11,199-H3-2A,2017-11-01,1.9,1430
12,199-H3-2A,2018-10-01,3.65,1765
13,199-H3-2A,2019-11-01,1.3,2160
14,199-H3-2A,2020-12-01,3.63,2557
15,199-H3-25,2014-01-01,9.0,31
16,199-H3-25,2015-06-01,4.0,546
17,199-H3-25,2015-07-01,1.0,577
18,199-H3-25,2015-08-01,5.0,608
19,199-H3-25,2015-09-01,7.0,638
20,199-H3-25,2015-10-01,21.0,669
21,199-H3-25,2015-11-01,7.0,699
22,199-H3-25,2015-12-01,8.0,730
23,199-H3-25,2016-01-01,10.0,761
24,199-H3-25,2016-02-01,11.0,790
25,199-H3-25,2016-03-01,13.0,821
26,199-H3-25,2016-04-01,13.0,851
27,199-H3-25,2016-05-01,8.0,882
28,199-H3-25,2016-06-01,14.0,912
29,199-H3-25,2016-07-01,22.0,943
30,199-H3-25,2016-08-01,14.0,974
31,199-H3-25,2016-09-01,15.0,1004
32,199-H3-25,2016-10-01,14.0,1035
33,199-H3-25,2016-11-01,12.0,1065
34,199-H3-25,2016-12-01,14.0,1096
35,199-H3-25,2017-01-01,14.5,1127
36,199-H3-25,2017-02-01,2.0,1155
37,199-H3-25,2017-03-01,9.8,1186
38,199-H3-25,2017-04-01,9.0,1216
39,199-H3-25,2017-05-01,7.0,1247
40,199-H3-25,2017-06-01,2.2,1277
41,199-H3-25,2017-07-01,10.0,1308
42,199-H3-25,2017-08-01,4.0,1339
43,199-H3-25,2017-09-01,13.0,1369
44,199-H3-25,2017-10-01,17.0,1400
45,199-H3-25,2017-11-01,4.0,1430
46,199-H3-25,2017-12-01,11.4,1461
47,199-H3-25,2018-01-01,10.0,1492
48,199-H3-25,2018-02-01,15.0,1520
49,199-H3-25,2018-03-01,6.825,1551
50,199-H3-25,2018-04-01,10.0,1581
51,199-H3-25,2018-05-01,9.0,1612
52,199-H3-25,2018-06-01,11.0,1642
53,199-H3-25,2018-07-01,8.025,1673
54,199-H3-25,2018-08-01,6.0,1704
55,199-H3-25,2018-09-01,8.15,1734
56,199-H3-25,2018-10-01,11.0,1765
57,199-H3-25,2018-11-01,17.0,1795
58,199-H3-25,2018-12-01,11.05,1826
59,199-H3-25,2019-01-01,9.0,1857
60,199-H3-25,2019-08-01,7.0,2069
61,199-H3-25,2019-09-01,6.22,2099
62,199-H3-25,2019-10-01,8.0,2130
63,199-H3-25,2019-11-01,8.0,2160
64,199-H3-25,2019-12-01,8.059999999999999,2191
65,199-H3-25,2020-01-01,4.0,2222
66,199-H3-25,2020-02-01,4.0,2251
67,199-H3-25,2020-03-01,7.26,2282
68,199-H3-25,2020-07-01,9.0,2404
69,199-H3-25,2020-08-01,8.0,2435
70,199-H3-25,2020-09-01,7.0,2465
71,199-H3-25,2020-10-01,9.26,2496
72,199-H3-25,2020-11-01,14.0,2526
73,199-H3-25,2020-12-01,6.87,2557
74,199-H3-26,2014-01-01,28.0,31
75,199-H3-26,2015-06-01,17.0,546
76,199-H3-26,2015-07-01,0.0,577
77,199-H3-26,2015-08-01,2.0,608
78,199-H3-26,2015-09-01,3.0,638
79,199-H3-26,2016-05-01,5.0,882
80,199-H3-26,2016-06-01,5.0,912
81,199-H3-26,2016-07-01,9.0,943
82,199-H3-26,2016-08-01,9.0,974
