SAMP_SITE_NAME,SAMP_DATE_TIME,STD_VALUE_RPTD,REVIEW_QUALIFIER,COLLECTION_PURPOSE_DESC,LAB_CODE,SAMP_DATE
199-H3-2A,2014-03-19 12:48:00,2.0,,"Routine (i.e., repetitive)",WSCF,2014-03-19
199-H3-2A,2014-06-20 11:38:00,8.0,,"Routine (i.e., repetitive)",TARL,2014-06-20
199-H3-2A,2014-09-05 12:44:00,8.0,,"Routine (i.e., repetitive)",TARL,2014-09-05
199-H3-2A,2014-12-12 11:34:00,1.5,,"Routine (i.e., repetitive)",TARL,2014-12-12
199-H3-2A,2014-12-12 11:34:00,1.5,,"Routine (i.e., repetitive)",TARL,2014-12-12
199-H3-2A,2015-03-13 13:56:00,1.5,,"Routine (i.e., repetitive)",TARL,2015-03-13
199-H3-2A,2015-03-13 13:56:00,1.5,,"Routine (i.e., repetitive)",TARL,2015-03-13
199-H3-2A,2015-05-29 12:58:00,1.5,,"Routine (i.e., repetitive)",TARL,2015-05-29
199-H3-2A,2015-05-29 12:58:00,1.6,,"Routine (i.e., repetitive)",TARL,2015-05-29
199-H3-2A,2015-09-18 13:43:00,1.5,,"Routine (i.e., repetitive)",TARL,2015-09-18
199-H3-2A,2015-09-18 13:43:00,1.5,,"Routine (i.e., repetitive)",TARL,2015-09-18
199-H3-2A,2015-12-03 12:14:00,1.5,,"Routine (i.e., repetitive)",TARL,2015-12-03
199-H3-2A,2015-12-03 12:14:00,1.5,,"Routine (i.e., repetitive)",TARL,2015-12-03
199-H3-2A,2016-03-16 14:32:00,1.5,,"Routine (i.e., repetitive)",TARL,2016-03-16
199-H3-2A,2016-03-16 14:32:00,1.5,,"Routine (i.e., repetitive)",TARL,2016-03-16
199-H3-2A,2016-06-15 13:19:00,1.5,,"Routine (i.e., repetitive)",TARL,2016-06-15
199-H3-2A,2016-06-15 13:19:00,1.5,,"Routine (i.e., repetitive)",TARL,2016-06-15
199-H3-2A,2016-11-16 09:46:00,5.3,,"Routine (i.e., repetitive)",TARL,2016-11-16
199-H3-2A,2016-11-16 09:46:00,5.7,,"Routine (i.e., repetitive)",TARL,2016-11-16
199-H3-2A,2017-11-03 13:06:00,2.1,,"Routine (i.e., repetitive)",TARL,2017-11-03
199-H3-2A,2017-11-03 13:06:00,1.7,,"Routine (i.e., repetitive)",TARL,2017-11-03
199-H3-2A,2018-10-30 10:16:00,4.0,,"Routine (i.e., repetitive)",TARL,2018-10-30
199-H3-2A,2018-10-30 10:16:00,3.3,,"Routine (i.e., repetitive)",TARL,2018-10-30
199-H3-2A,2019-11-01 11:56:00,1.3,,"Routine (i.e., repetitive)",GEL,2019-11-01
199-H3-2A,2020-12-18 11:34:00,3.63,,"Routine (i.e., repetitive)",RJ LEE,2020-12-18
199-H3-25,2014-01-02 13:00:00,9.0,,In Process,FIELD,2014-01-02
199-H3-25,2015-06-29 10:00:00,4.0,,In Process,FIELD,2015-06-29
199-H3-25,2015-07-06 09:30:00,1.0,,In Process,FIELD,2015-07-06
199-H3-25,2015-08-03 09:30:00,5.0,,In Process,FIELD,2015-08-03
199-H3-25,2015-09-08 08:30:00,7.0,,In Process,FIELD,2015-09-08
199-H3-25,2015-10-05 08:30:00,21.0,,In Process,FIELD,2015-10-05
199-H3-25,2015-11-02 09:00:00,7.0,,In Process,FIELD,2015-11-02
199-H3-25,2015-12-01 08:30:00,8.0,,In Process,FIELD,2015-12-01
199-H3-25,2016-01-04 08:00:00,10.0,,In Process,FIELD,2016-01-04
199-H3-25,2016-02-01 07:45:00,11.0,,In Process,FIELD,2016-02-01
199-H3-25,2016-03-01 08:30:00,13.0,,In Process,FIELD,2016-03-01
199-H3-25,2016-04-05 09:30:00,13.0,,In Process,FIELD,2016-04-05
199-H3-25,2016-05-02 09:00:00,8.0,,In Process,FIELD,2016-05-02
199-H3-25,2016-06-13 09:30:00,14.0,,In Process,FIELD,2016-06-13
199-H3-25,2016-07-05 08:00:00,22.0,,In Process,FIELD,2016-07-05
199-H3-25,2016-08-01 09:00:00,14.0,,In Process,FIELD,2016-08-01
199-H3-25,2016-09-07 07:30:00,18.0,,In Process,FIELD,2016-09-07
199-H3-25,2016-09-20 11:15:00,12.0,,"Routine (i.e., repetitive)",TARL,2016-09-20
199-H3-25,2016-09-20 11:15:00,12.0,,"Routine (i.e., repetitive)",TARL,2016-09-20
199-H3-25,2016-10-03 08:00:00,14.0,,In Process,FIELD,2016-10-03
199-H3-25,2016-11-01 09:30:00,12.0,,In Process,FIELD,2016-11-01
199-H3-25,2016-12-07 09:30:00,14.0,,In Process,FIELD,2016-12-07
199-H3-25,2017-01-03 13:10:00,15.0,,"Routine (i.e., repetitive)",TARL,2017-01-03
199-H3-25,2017-01-03 13:10:00,17.0,,"Routine (i.e., repetitive)",TARL,2017-01-03
199-H3-25,2017-01-04 09:00:00,13.0,,In Process,FIELD,2017-01-04
199-H3-25,2017-02-01 09:00:00,2.0,,In Process,FIELD,2017-02-01
199-H3-25,2017-03-01 08:30:00,11.0,,In Process,FIELD,2017-03-01
199-H3-25,2017-03-22 12:53:00,8.9,A,"Routine (i.e., repetitive)",TARL,2017-03-22
199-H3-25,2017-03-22 12:53:00,8.3,A,"Routine (i.e., repetitive)",TARL,2017-03-22
199-H3-25,2017-04-04 09:30:00,9.0,,In Process,FIELD,2017-04-04
199-H3-25,2017-05-01 12:30:00,7.0,,In Process,FIELD,2017-05-01
199-H3-25,2017-06-07 09:00:00,1.0,,In Process,FIELD,2017-06-07
199-H3-25,2017-06-08 11:04:00,3.3,,"Routine (i.e., repetitive)",TARL,2017-06-08
199-H3-25,2017-06-08 11:04:00,3.5,,"Routine (i.e., repetitive)",TARL,2017-06-08
199-H3-25,2017-07-06 08:00:00,10.0,,In Process,FIELD,2017-07-06
199-H3-25,2017-08-01 13:45:00,4.0,,In Process,FIELD,2017-08-01
199-H3-25,2017-09-06 13:00:00,12.0,,In Process,FIELD,2017-09-06
199-H3-25,2017-09-28 11:06:00,14.0,,"Routine (i.e., repetitive)",TARL,2017-09-28
199-H3-25,2017-09-28 11:06:00,14.0,,"Routine (i.e., repetitive)",TARL,2017-09-28
199-H3-25,2017-10-03 13:30:00,17.0,,In Process,FIELD,2017-10-03
199-H3-25,2017-11-02 08:00:00,4.0,,In Process,FIELD,2017-11-02
199-H3-25,2017-12-04 13:00:00,13.0,,In Process,FIELD,2017-12-04
199-H3-25,2017-12-11 11:39:00,9.7,,"Routine (i.e., repetitive)",TARL,2017-12-11
199-H3-25,2017-12-11 11:39:00,9.9,,"Routine (i.e., repetitive)",TARL,2017-12-11
199-H3-25,2018-01-03 08:30:00,10.0,,In Process,FIELD,2018-01-03
199-H3-25,2018-02-01 08:00:00,15.0,,In Process,FIELD,2018-02-01
199-H3-25,2018-03-06 08:45:00,6.0,,In Process,FIELD,2018-03-06
199-H3-25,2018-03-14 10:15:00,7.3,,"Routine (i.e., repetitive)",TARL,2018-03-14
199-H3-25,2018-03-14 10:15:00,8.0,,"Routine (i.e., repetitive)",TARL,2018-03-14
199-H3-25,2018-04-04 08:10:00,10.0,,In Process,FIELD,2018-04-04
199-H3-25,2018-05-07 08:10:00,9.0,,In Process,FIELD,2018-05-07
199-H3-25,2018-06-06 10:00:00,11.0,,In Process,FIELD,2018-06-06
199-H3-25,2018-07-09 12:00:00,4.9,,"Routine (i.e., repetitive)",TARL,2018-07-09
199-H3-25,2018-07-09 12:00:00,5.2,,"Routine (i.e., repetitive)",TARL,2018-07-09
199-H3-25,2018-07-10 11:30:00,11.0,,In Process,FIELD,2018-07-10
199-H3-25,2018-08-13 12:30:00,6.0,,In Process,FIELD,2018-08-13
199-H3-25,2018-09-05 09:00:00,10.0,,In Process,FIELD,2018-09-05
199-H3-25,2018-09-19 10:08:00,6.4,,"Routine (i.e., repetitive)",TARL,2018-09-19
199-H3-25,2018-09-19 10:08:00,6.2,,"Routine (i.e., repetitive)",TARL,2018-09-19
199-H3-25,2018-10-01 09:25:00,11.0,,In Process,FIELD,2018-10-01
199-H3-25,2018-11-06 12:00:00,17.0,,In Process,FIELD,2018-11-06
199-H3-25,2018-12-11 10:20:00,9.0,,"Routine (i.e., repetitive)",TARL,2018-12-11
