SAMP_SITE_NAME,SAMP_DATE,STD_VALUE_RPTD
199-H3-2A,2014-03-19,2.0
199-H3-2A,2014-06-20,8.0
199-H3-2A,2014-09-05,8.0
199-H3-2A,2019-11-01,1.3
199-H3-2A,2020-12-18,3.63
199-H3-25,2014-01-02,9.0
199-H3-25,2015-06-29,4.0
199-H3-25,2015-07-06,1.0
199-H3-25,2015-08-03,5.0
199-H3-25,2015-09-08,7.0
199-H3-25,2015-10-05,21.0
199-H3-25,2015-11-02,7.0
199-H3-25,2015-12-01,8.0
199-H3-25,2016-01-04,10.0
199-H3-25,2016-02-01,11.0
199-H3-25,2016-03-01,13.0
199-H3-25,2016-04-05,13.0
199-H3-25,2016-05-02,8.0
199-H3-25,2016-06-13,14.0
199-H3-25,2016-07-05,22.0
199-H3-25,2016-08-01,14.0
199-H3-25,2016-09-07,18.0
199-H3-25,2016-10-03,14.0
199-H3-25,2016-11-01,12.0
199-H3-25,2016-12-07,14.0
199-H3-25,2017-01-04,13.0
199-H3-25,2017-02-01,2.0
199-H3-25,2017-03-01,11.0
199-H3-25,2017-04-04,9.0
199-H3-25,2017-05-01,7.0
199-H3-25,2017-06-07,1.0
199-H3-25,2017-07-06,10.0
199-H3-25,2017-08-01,4.0
199-H3-25,2017-09-06,12.0
199-H3-25,2017-10-03,17.0
199-H3-25,2017-11-02,4.0
199-H3-25,2017-12-04,13.0
199-H3-25,2018-01-03,10.0
199-H3-25,2018-02-01,15.0
199-H3-25,2018-03-06,6.0
199-H3-25,2018-04-04,10.0
199-H3-25,2018-05-07,9.0
199-H3-25,2018-06-06,11.0
199-H3-25,2018-07-10,11.0
199-H3-25,2018-08-13,6.0
199-H3-25,2018-09-05,10.0
199-H3-25,2018-10-01,11.0
199-H3-25,2018-11-06,17.0
199-H3-25,2018-12-12,13.0
199-H3-25,2019-01-02,9.0
199-H3-25,2019-08-26,7.0
199-H3-25,2019-09-11,6.22
199-H3-25,2019-10-10,8.0
199-H3-25,2019-11-05,8.0
199-H3-25,2019-12-04,8.0
199-H3-25,2019-12-11,8.12
199-H3-25,2020-01-07,4.0
199-H3-25,2020-02-19,4.0
199-H3-25,2020-03-12,7.26
199-H3-25,2020-07-23,9.0
199-H3-25,2020-08-18,8.0
199-H3-25,2020-09-22,7.0
199-H3-25,2020-10-07,8.52
199-H3-25,2020-10-20,10.0
199-H3-25,2020-11-17,14.0
199-H3-25,2020-12-15,6.87
199-H3-25,2021-01-27,9.0
199-H3-25,2021-02-25,8.0
199-H3-25,2021-03-16,13.0
199-H3-25,2021-03-22,7.43
199-H3-25,2021-04-05,10.0
199-H3-25,2021-06-23,8.41
199-H3-25,2021-06-28,12.0
199-H3-25,2021-07-07,12.0
199-H3-26,2014-01-02,28.0
199-H3-26,2015-06-29,17.0
