NAME,DATE,STD_VALUE_RPTD,REVIEW_QUALIFIER,COLLECTION_PURPOSE_DESC,LAB_CODE
199-D1-1,2022-05-18,4.31,,,
199-D1-1,2022-08-04,4.24,,,
199-D1-1,2022-11-14,5.03,,,
199-D1-1,2023-02-28,7.07,,,
199-D1-1,2023-04-19,7.02,,,
199-D1-1,2023-04-19,6.89,,,
199-D1-1,2023-05-11,6.83,,,
199-D1-1,2023-05-23,7.82,,,
199-D1-1,2023-06-13,7.85,,,
199-D1-1,2023-07-11,8.32,,,
199-D1-1,2023-08-10,7.7,,,
199-D1-1,2023-09-13,6.34,,,
199-D2-11,2023-04-19,2.5,,,
199-D2-11,2023-06-15,2.5,,,
199-D2-11,2023-08-17,3.52,,,
199-D2-14,2022-05-18,2.5,,,
199-D2-14,2022-08-04,2.86,,,
199-D2-14,2022-11-14,4.28,,,
199-D2-14,2023-02-28,5.08,,,
199-D2-14,2023-04-20,4.49,,,
199-D2-14,2023-05-02,3.63,,,
199-D2-14,2023-05-02,3.23,,,
199-D2-14,2023-05-11,3.6,,,
199-D2-14,2023-05-16,4.03,,,
199-D2-14,2023-05-31,7.58,,,
199-D2-14,2023-06-13,12.6,,,
199-D2-14,2023-06-13,12.5,,,
199-D2-14,2023-07-11,23.4,,,
199-D2-14,2023-08-10,45.4,,,
199-D2-14,2023-09-13,46.5,,,
199-D5-103,2022-01-11,34.6,,,
199-D5-103,2022-01-11,33.2,,,
199-D5-103,2022-01-19,32.0,,,
199-D5-103,2022-02-03,32.0,,,
199-D5-103,2022-03-16,35.0,,,
199-D5-103,2022-04-19,38.0,,,
199-D5-103,2022-05-19,21.0,,,
199-D5-103,2022-06-23,24.0,,,
199-D5-103,2022-07-28,28.0,,,
199-D5-103,2022-08-16,25.0,,,
199-D5-103,2022-09-28,28.0,,,
199-D5-103,2022-10-24,23.6,,,
199-D5-103,2022-10-26,19.0,,,
199-D5-103,2022-11-09,26.0,,,
199-D5-103,2022-12-14,28.0,,,
199-D5-103,2023-02-13,32.0,,,
199-D5-103,2023-03-30,114.0,,,
199-D5-103,2023-04-20,110.0,,,
199-D5-103,2023-05-02,102.0,,,
199-D5-103,2023-05-30,56.1,,,
199-D5-103,2023-05-30,54.7,,,
199-D5-103,2023-06-21,43.5,,,
199-D5-103,2023-07-24,53.6,,,
199-D5-103,2023-08-24,32.6,,,
199-D5-104,2022-01-11,27.1,,,
199-D5-104,2022-01-26,28.0,,,
199-D5-104,2022-02-24,28.0,,,
199-D5-104,2022-03-28,28.0,,,
199-D5-104,2022-04-06,28.0,,,
199-D5-104,2022-05-03,21.0,,,
199-D5-104,2022-06-07,37.0,,,
199-D5-104,2022-07-19,28.0,,,
199-D5-104,2022-08-04,24.0,,,
199-D5-104,2022-09-13,24.0,,,
199-D5-104,2022-10-11,19.0,,,
199-D5-104,2022-10-24,24.8,,,
199-D5-104,2022-11-09,34.0,,,
199-D5-104,2022-12-13,29.0,,,
199-D5-104,2023-02-07,29.0,,,
199-D5-104,2023-03-13,20.0,,,
199-D5-104,2023-04-20,18.9,,,
199-D5-104,2023-05-02,13.0,,,
199-D5-104,2023-05-30,13.6,,,
199-D5-104,2023-05-30,14.1,,,
199-D5-104,2023-05-30,13.8,,,
199-D5-104,2023-06-21,15.8,,,
199-D5-104,2023-07-24,14.0,,,
199-D5-104,2023-08-24,12.8,,,
199-D5-104,2023-08-24,13.8,,,
199-D5-106,2023-04-19,5.79,,,
199-D5-106,2023-05-11,5.26,,,
199-D5-106,2023-06-20,8.37,,,
199-D5-106,2023-07-13,6.8,,,
199-D5-106,2023-08-22,7.11,,,
199-D5-123,2022-10-31,3.93,,,
199-D5-123,2023-04-20,5.78,,,
199-D5-123,2023-06-20,4.13,,,
199-D5-123,2023-08-17,5.86,,,
199-D5-128,2023-05-09,4.7,,,
199-D5-128,2023-06-20,7.07,,,
199-D5-128,2023-08-22,5.05,,,
199-D5-133,2022-11-15,2.5,,,
199-D5-133,2023-04-19,4.13,,,
199-D5-133,2023-05-09,20.2,,,
199-D5-133,2023-06-20,34.1,,,
199-D5-133,2023-07-12,34.2,,,
199-D5-133,2023-08-17,33.0,,,
199-D5-133,2023-09-13,32.2,,,
199-D5-142,2022-10-28,3.62,,,
199-D5-142,2023-04-19,2.77,,,
199-D5-142,2023-06-20,2.85,,,
199-D5-142,2023-08-23,3.14,,,
199-D5-145,2022-11-14,4.36,,,
199-D5-145,2023-04-20,6.0,,,
199-D5-145,2023-04-20,5.89,,,
199-D5-145,2023-05-02,2.57,,,
199-D5-145,2023-05-16,4.27,,,
