NAME,DATE,STD_VALUE_RPTD,REVIEW_QUALIFIER,COLLECTION_PURPOSE_DESC,LAB_CODE
199-D1-1,5/20/2021,3.51,,Characterization,RJ LEE
199-D1-1,5/20/2021,3.34,,Characterization,RJ LEE
199-D1-1,5/20/2021,3.51,,Characterization,RJ LEE
199-D1-1,5/20/2021,3.34,,Characterization,RJ LEE
199-D1-1,12/10/2021,2.84,,"Routine (i.e., repetitive)",RJ LEE
199-D1-1,5/18/2022,4.31,,,
199-D1-1,5/18/2022,4.31,,"Routine (i.e., repetitive)",RJ LEE
199-D1-1,8/4/2022,4.24,,,
199-D1-1,8/4/2022,4.24,,"Routine (i.e., repetitive)",RJ LEE
199-D1-1,11/14/2022,5.03,,,
199-D1-1,11/14/2022,5.03,,"Routine (i.e., repetitive)",RJ LEE
199-D1-1,2/28/2023,7.07,,,
199-D1-1,2/28/2023,7.07,,"Routine (i.e., repetitive)",RJ LEE
199-D1-1,4/19/2023,7.02,,,
199-D1-1,4/19/2023,6.89,,,
199-D1-1,4/19/2023,6.89,,Special Studies,RJ LEE
199-D1-1,4/19/2023,7.02,,Special Studies,RJ LEE
199-D1-1,5/11/2023,6.83,,,
199-D1-1,5/11/2023,6.83,,Special Studies,RJ LEE
199-D1-1,5/23/2023,7.82,,,
199-D1-1,5/23/2023,7.82,,"Routine (i.e., repetitive)",RJ LEE
199-D1-1,6/13/2023,7.85,,,
199-D1-1,6/13/2023,7.85,,Special Studies,RJ LEE
199-D1-1,7/11/2023,8.32,,,
199-D1-1,7/11/2023,8.32,,"Routine (i.e., repetitive)",RJ LEE
199-D1-1,8/10/2023,7.7,,,
199-D1-1,8/10/2023,7.7,,"Routine (i.e., repetitive)",RJ LEE
199-D1-1,9/13/2023,6.34,,,
199-D1-1,9/13/2023,6.34,,"Routine (i.e., repetitive)",GEL
199-D1-1,10/12/2023,7.21,,Special Studies,RJ LEE
199-D1-1,11/5/2023,7.02,,"Routine (i.e., repetitive)",RJ LEE
199-D2-11,1/31/2014,12.2,,"Routine (i.e., repetitive)",WSCF
199-D2-11,2/7/2014,13.7,,"Routine (i.e., repetitive)",WSCF
199-D2-11,3/7/2014,15,,Special Studies,WSCF
199-D2-11,3/21/2014,11.7,,"Routine (i.e., repetitive)",WSCF
199-D2-11,4/4/2014,15.7,,"Routine (i.e., repetitive)",WSCF
199-D2-11,4/18/2014,14.9,,"Routine (i.e., repetitive)",WSCF
199-D2-11,4/30/2014,16.7,,"Routine (i.e., repetitive)",WSCF
199-D2-11,5/15/2014,20,AY,"Routine (i.e., repetitive)",TARL
199-D2-11,6/12/2014,8,G,"Routine (i.e., repetitive)",TARL
199-D2-11,7/10/2014,8,,"Routine (i.e., repetitive)",TARL
199-D2-11,7/24/2014,8,,"Routine (i.e., repetitive)",TARL
199-D2-11,8/7/2014,8,,"Routine (i.e., repetitive)",TARL
199-D2-11,8/21/2014,8,,"Routine (i.e., repetitive)",TARL
199-D2-11,9/4/2014,8,,"Routine (i.e., repetitive)",TARL
199-D2-11,11/14/2014,5.5,,"Routine (i.e., repetitive)",TARL
199-D2-11,2/5/2015,2,,"Routine (i.e., repetitive)",TARL
199-D2-11,2/5/2015,2.1,,"Routine (i.e., repetitive)",TARL
199-D2-11,5/18/2015,1.6,,"Routine (i.e., repetitive)",TARL
199-D2-11,5/18/2015,1.5,,"Routine (i.e., repetitive)",TARL
199-D2-11,8/13/2015,1.5,,"Routine (i.e., repetitive)",TARL
199-D2-11,11/11/2015,1.5,H,"Routine (i.e., repetitive)",TARL
199-D2-11,11/11/2015,2.2,H,"Routine (i.e., repetitive)",TARL
199-D2-11,2/16/2016,1.5,H,"Routine (i.e., repetitive)",TARL
199-D2-11,2/16/2016,3.4,H,"Routine (i.e., repetitive)",TARL
199-D2-11,5/22/2016,1.8,,"Routine (i.e., repetitive)",TARL
199-D2-11,5/22/2016,1.5,,"Routine (i.e., repetitive)",TARL
199-D2-11,11/8/2016,1.5,,"Routine (i.e., repetitive)",TARL
199-D2-11,11/7/2017,1.5,,"Routine (i.e., repetitive)",TARL
199-D2-11,11/9/2018,1.5,,"Routine (i.e., repetitive)",TARL
199-D2-11,10/25/2019,3,H,"Routine (i.e., repetitive)",GEL
199-D2-11,10/30/2020,2.54,,"Routine (i.e., repetitive)",RJ LEE
199-D2-11,11/12/2021,2.5,,"Routine (i.e., repetitive)",RJ LEE
199-D2-11,4/19/2023,2.5,,,
199-D2-11,4/19/2023,2.5,,Special Studies,RJ LEE
199-D2-11,6/15/2023,2.5,,,
199-D2-11,6/15/2023,2.5,,Special Studies,RJ LEE
199-D2-11,8/17/2023,3.52,,,
199-D2-11,8/17/2023,3.52,,"Routine (i.e., repetitive)",RJ LEE
199-D2-11,10/13/2023,2.61,,Special Studies,RJ LEE
199-D2-14,5/13/2021,3.8,,Characterization,RJ LEE
199-D2-14,5/13/2021,2.7,,Characterization,RJ LEE
199-D2-14,5/18/2022,2.5,,,
199-D2-14,5/18/2022,2.5,,"Routine (i.e., repetitive)",RJ LEE
199-D2-14,8/4/2022,2.86,,,
199-D2-14,8/4/2022,2.86,,"Routine (i.e., repetitive)",RJ LEE
199-D2-14,11/14/2022,4.28,,,
199-D2-14,11/14/2022,4.28,,"Routine (i.e., repetitive)",RJ LEE
199-D2-14,2/28/2023,5.08,,,
199-D2-14,2/28/2023,5.08,,"Routine (i.e., repetitive)",RJ LEE
199-D2-14,4/20/2023,4.49,,,
199-D2-14,4/20/2023,4.49,,"Routine (i.e., repetitive)",RJ LEE
199-D2-14,5/2/2023,3.63,,,
199-D2-14,5/2/2023,3.23,,,
199-D2-14,5/2/2023,3.63,,"Routine (i.e., repetitive)",RJ LEE
199-D2-14,5/2/2023,3.23,,"Routine (i.e., repetitive)",RJ LEE
199-D2-14,5/11/2023,3.6,,,
199-D2-14,5/11/2023,3.6,,"Routine (i.e., repetitive)",RJ LEE
199-D2-14,5/16/2023,4.03,,,
199-D2-14,5/16/2023,4.03,,"Routine (i.e., repetitive)",RJ LEE
199-D2-14,5/31/2023,7.58,,,
199-D2-14,5/31/2023,7.58,,"Routine (i.e., repetitive)",RJ LEE
199-D2-14,6/13/2023,12.6,,,
199-D2-14,6/13/2023,12.5,,,
199-D2-14,6/13/2023,12.5,,Special Studies,RJ LEE
199-D2-14,6/13/2023,12.6,,Special Studies,RJ LEE
199-D2-14,7/11/2023,23.4,,,
199-D2-14,7/11/2023,23.4,,"Routine (i.e., repetitive)",RJ LEE
199-D2-14,8/10/2023,45.4,,,
199-D2-14,8/10/2023,45.4,,"Routine (i.e., repetitive)",RJ LEE
199-D2-14,9/13/2023,46.5,,,
199-D2-14,9/13/2023,46.5,,"Routine (i.e., repetitive)",GEL
199-D2-14,10/13/2023,49.6,,Special Studies,RJ LEE
199-D2-14,11/28/2023,70.2,,"Routine (i.e., repetitive)",RJ LEE
199-D5-103,1/22/2014,1030,,"Routine (i.e., repetitive)",WSCF
199-D5-103,1/31/2014,585,,"Routine (i.e., repetitive)",WSCF
199-D5-103,2/14/2014,474,,"Routine (i.e., repetitive)",WSCF
199-D5-103,3/7/2014,797,,Special Studies,WSCF
199-D5-103,3/21/2014,663,,"Routine (i.e., repetitive)",WSCF
199-D5-103,4/4/2014,871,,"Routine (i.e., repetitive)",WSCF
199-D5-103,4/18/2014,947,,"Routine (i.e., repetitive)",WSCF
199-D5-103,4/30/2014,785,,"Routine (i.e., repetitive)",WSCF
199-D5-103,12/17/2014,307,Q,"Routine (i.e., repetitive)",TARL
199-D5-103,1/16/2015,245,,"Routine (i.e., repetitive)",TARL
199-D5-103,2/19/2015,206,,"Routine (i.e., repetitive)",TARL
199-D5-103,2/19/2015,208,,"Routine (i.e., repetitive)",TARL
199-D5-103,3/24/2015,183,,"Routine (i.e., repetitive)",TARL
199-D5-103,3/24/2015,184,,"Routine (i.e., repetitive)",TARL
199-D5-103,4/16/2015,169,,"Routine (i.e., repetitive)",TARL
199-D5-103,4/16/2015,168,,"Routine (i.e., repetitive)",TARL
199-D5-103,5/18/2015,134,,"Routine (i.e., repetitive)",TARL
199-D5-103,5/18/2015,138,,"Routine (i.e., repetitive)",TARL
199-D5-103,6/18/2015,103,,"Routine (i.e., repetitive)",TARL
199-D5-103,6/18/2015,106,,"Routine (i.e., repetitive)",TARL
199-D5-103,7/17/2015,102,,"Routine (i.e., repetitive)",TARL
199-D5-103,7/17/2015,103,,"Routine (i.e., repetitive)",TARL
199-D5-103,8/13/2015,89,,"Routine (i.e., repetitive)",TARL
199-D5-103,9/11/2015,78,,"Routine (i.e., repetitive)",TARL
199-D5-103,9/11/2015,79,,"Routine (i.e., repetitive)",TARL
199-D5-103,10/9/2015,45,Q,"Routine (i.e., repetitive)",TARL
199-D5-103,10/9/2015,71,Q,"Routine (i.e., repetitive)",TARL
199-D5-103,10/9/2015,60,,"Routine (i.e., repetitive)",TARL
199-D5-103,11/1/2015,73,,"Routine (i.e., repetitive)",TARL
199-D5-103,11/1/2015,75,,"Routine (i.e., repetitive)",TARL
199-D5-103,12/18/2015,57,,"Routine (i.e., repetitive)",TARL
199-D5-103,12/18/2015,58,,"Routine (i.e., repetitive)",TARL
199-D5-103,1/14/2016,54,,"Routine (i.e., repetitive)",TARL
199-D5-103,1/14/2016,57,,"Routine (i.e., repetitive)",TARL
199-D5-103,2/3/2016,56,,"Routine (i.e., repetitive)",TARL
199-D5-103,3/14/2016,53,,"Routine (i.e., repetitive)",TARL
199-D5-103,3/14/2016,56,,"Routine (i.e., repetitive)",TARL
199-D5-103,4/11/2016,54,,"Routine (i.e., repetitive)",TARL
199-D5-103,5/24/2016,43,,"Routine (i.e., repetitive)",TARL
199-D5-103,5/24/2016,44,,"Routine (i.e., repetitive)",TARL
199-D5-103,6/17/2016,65,,"Routine (i.e., repetitive)",TARL
199-D5-103,7/20/2016,45,,"Routine (i.e., repetitive)",TARL
199-D5-103,11/14/2016,630,G,"Routine (i.e., repetitive)",TARL
199-D5-103,11/14/2016,640,G,"Routine (i.e., repetitive)",TARL
199-D5-103,2/22/2017,540,,"Routine (i.e., repetitive)",TARL
199-D5-103,4/14/2017,280,,"Routine (i.e., repetitive)",TARL
199-D5-103,4/14/2017,270,,"Routine (i.e., repetitive)",TARL
199-D5-103,5/2/2017,240,,"Routine (i.e., repetitive)",TARL
199-D5-103,5/2/2017,230,,"Routine (i.e., repetitive)",TARL
199-D5-103,5/2/2017,250,,"Routine (i.e., repetitive)",TARL
199-D5-103,6/13/2017,340,,"Routine (i.e., repetitive)",TARL
199-D5-103,6/13/2017,330,,"Routine (i.e., repetitive)",TARL
199-D5-103,7/20/2017,290,,"Routine (i.e., repetitive)",TARL
199-D5-103,7/20/2017,280,,"Routine (i.e., repetitive)",TARL
199-D5-103,8/10/2017,330,,"Routine (i.e., repetitive)",TARL
199-D5-103,9/22/2017,530,,"Routine (i.e., repetitive)",TARL
199-D5-103,9/22/2017,540,,"Routine (i.e., repetitive)",TARL
199-D5-103,10/19/2017,660,,"Routine (i.e., repetitive)",TARL
199-D5-103,10/19/2017,670,,"Routine (i.e., repetitive)",TARL
199-D5-103,11/16/2017,640,,"Routine (i.e., repetitive)",TARL
199-D5-103,11/16/2017,680,,"Routine (i.e., repetitive)",TARL
199-D5-103,12/8/2017,720,,"Routine (i.e., repetitive)",TARL
199-D5-103,12/8/2017,730,,"Routine (i.e., repetitive)",TARL
199-D5-103,1/17/2018,800,,"Routine (i.e., repetitive)",TARL
199-D5-103,1/17/2018,790,,"Routine (i.e., repetitive)",TARL
199-D5-103,2/21/2018,430,,"Routine (i.e., repetitive)",TARL
199-D5-103,2/21/2018,440,,"Routine (i.e., repetitive)",TARL
199-D5-103,3/19/2018,250,,"Routine (i.e., repetitive)",TARL
199-D5-103,4/24/2018,140,,"Routine (i.e., repetitive)",TARL
199-D5-103,5/16/2018,90,,"Routine (i.e., repetitive)",TARL
199-D5-103,5/16/2018,91,,"Routine (i.e., repetitive)",TARL
199-D5-103,6/27/2018,67,,"Routine (i.e., repetitive)",TARL
199-D5-103,6/27/2018,66,,"Routine (i.e., repetitive)",TARL
199-D5-103,9/20/2018,230,,"Routine (i.e., repetitive)",TARL
199-D5-103,10/8/2018,270,,"Routine (i.e., repetitive)",TARL
199-D5-103,10/11/2018,248,,In Process,FIELD
199-D5-103,11/7/2018,202,,In Process,FIELD
199-D5-103,11/14/2018,181,,In Process,FIELD
199-D5-103,11/20/2018,162,,In Process,FIELD
199-D5-103,11/29/2018,156,,In Process,FIELD
199-D5-103,12/3/2018,153,,In Process,FIELD
199-D5-103,12/11/2018,141,,In Process,FIELD
199-D5-103,12/19/2018,140,,In Process,FIELD
199-D5-103,12/27/2018,131,,In Process,FIELD
199-D5-103,1/3/2019,122,,In Process,FIELD
199-D5-103,1/10/2019,125,,In Process,FIELD
199-D5-103,1/10/2019,120,,"Routine (i.e., repetitive)",TARL
199-D5-103,1/16/2019,122,,In Process,FIELD
199-D5-103,1/24/2019,129,,In Process,FIELD
199-D5-103,1/28/2019,116,,In Process,FIELD
199-D5-103,2/7/2019,125,,In Process,FIELD
199-D5-103,2/21/2019,125,,In Process,FIELD
199-D5-103,2/26/2019,122,,In Process,FIELD
199-D5-103,3/6/2019,116,,In Process,FIELD
199-D5-103,3/11/2019,118,,In Process,FIELD
199-D5-103,3/18/2019,107,,In Process,FIELD
199-D5-103,3/28/2019,101,,In Process,FIELD
199-D5-103,4/1/2019,104,,In Process,FIELD
199-D5-103,4/11/2019,86,,In Process,FIELD
199-D5-103,4/15/2019,84,,In Process,FIELD
199-D5-103,4/16/2019,78.1,,"Routine (i.e., repetitive)",GEL
199-D5-103,4/22/2019,75,,In Process,FIELD
199-D5-103,4/29/2019,88,,In Process,FIELD
199-D5-103,5/9/2019,68,,In Process,FIELD
199-D5-103,5/15/2019,61,,In Process,FIELD
199-D5-103,5/21/2019,55,,In Process,FIELD
199-D5-103,5/30/2019,53,,In Process,FIELD
199-D5-103,6/6/2019,51,,In Process,FIELD
199-D5-103,6/12/2019,52,,In Process,FIELD
199-D5-103,6/17/2019,50,,In Process,FIELD
199-D5-103,6/25/2019,48,,In Process,FIELD
199-D5-103,7/1/2019,42,,In Process,FIELD
199-D5-103,7/11/2019,44,,In Process,FIELD
199-D5-103,7/17/2019,39,,In Process,FIELD
199-D5-103,7/22/2019,39,,In Process,FIELD
199-D5-103,7/29/2019,35.2,,"Routine (i.e., repetitive)",GEL
199-D5-103,8/1/2019,36,,In Process,FIELD
199-D5-103,8/5/2019,38,,In Process,FIELD
199-D5-103,8/15/2019,31,,In Process,FIELD
199-D5-103,8/19/2019,33,,In Process,FIELD
199-D5-103,8/26/2019,31,,In Process,FIELD
199-D5-103,9/9/2019,30,,In Process,FIELD
199-D5-103,9/17/2019,35,,In Process,FIELD
199-D5-103,10/7/2019,30,,In Process,FIELD
199-D5-103,10/30/2019,22.2,H,"Routine (i.e., repetitive)",GEL
199-D5-103,11/7/2019,34,,In Process,FIELD
199-D5-103,12/16/2019,16,,In Process,FIELD
199-D5-103,1/7/2020,15,,In Process,FIELD
199-D5-103,1/14/2020,21.3,H,"Routine (i.e., repetitive)",GEL
199-D5-103,2/13/2020,25,,In Process,FIELD
199-D5-103,3/3/2020,18,,In Process,FIELD
