NAME,DATE,STD_VALUE_RPTD
199-H3-25,2021-01-27,9.0
199-H3-25,2021-02-25,8.0
199-H3-25,2021-03-16,13.0
199-H3-25,2021-03-22,7.43
199-H3-25,2021-04-05,10.0
199-H3-25,2021-06-23,8.41
199-H3-25,2021-06-28,12.0
199-H3-25,2021-07-07,12.0
199-H3-25,2021-11-01,6.36
199-H3-25,2021-11-10,3.0
199-H3-25,2022-01-12,6.72
199-H3-25,2022-01-18,13.0
199-H3-25,2022-04-11,7.0
199-H3-25,2022-10-20,5.31
199-H3-25,2022-10-20,5.16
199-H3-25,2023-03-23,5.41
199-H3-25,2023-04-12,6.13
199-H3-25,2023-06-21,7.3
199-H3-25,2023-08-24,2.5
199-H3-26,2021-08-30,9.0
199-H3-26,2022-10-20,4.92
199-H3-26,2023-03-23,3.25
199-H3-26,2023-06-21,4.93
199-H3-26,2023-08-24,2.5
199-H3-27,2022-10-27,2.5
199-H3-27,2022-12-20,2.5
199-H3-27,2023-02-14,2.5
199-H3-27,2023-04-12,2.5
199-H3-27,2023-06-08,2.5
199-H3-27,2023-08-03,2.5
199-H3-2A,2021-11-17,2.97
199-H3-2A,2022-10-28,4.32
199-H3-2A,2022-11-01,4.83
199-H3-2A,2022-12-19,4.63
199-H3-2A,2023-02-14,5.03
199-H3-2A,2023-04-12,4.47
199-H3-2A,2023-06-08,4.62
199-H3-2A,2023-08-03,5.17
199-H4-12A,2021-02-04,2.44
199-H4-12A,2021-05-13,2.18
199-H4-12A,2021-11-21,2.5
199-H4-12A,2022-10-28,2.5
199-H4-12A,2022-11-18,2.5
199-H4-12A,2022-12-19,2.5
199-H4-12A,2023-01-20,2.5
199-H4-12A,2023-02-16,2.5
199-H4-12A,2023-03-20,2.84
199-H4-12A,2023-04-12,2.5
199-H4-12A,2023-05-01,2.5
199-H4-12A,2023-06-12,11.0
199-H4-12A,2023-07-17,2.5
199-H4-12A,2023-08-03,2.63
199-H4-12A,2023-09-12,1.73
199-H4-15A,2021-01-20,0.0
199-H4-15A,2021-02-08,1.91
199-H4-15A,2021-02-09,4.0
199-H4-15A,2021-03-10,7.0
199-H4-15A,2021-04-13,0.0
199-H4-15A,2021-05-05,1.83
199-H4-15A,2021-05-17,10.0
199-H4-15A,2021-06-28,4.0
199-H4-15A,2021-07-07,3.0
199-H4-15A,2021-08-24,2.5
199-H4-15A,2021-08-26,1.0
199-H4-15A,2021-09-14,0.0
199-H4-15A,2021-10-07,-2.0
199-H4-15A,2021-10-27,2.5
199-H4-15A,2021-11-02,16.0
199-H4-15A,2022-01-13,0.0
199-H4-15A,2022-01-13,2.5
199-H4-15A,2022-02-22,0.0
199-H4-15A,2022-03-21,6.0
199-H4-15A,2022-04-07,5.0
199-H4-15A,2022-05-18,7.0
199-H4-15A,2022-06-22,0.0
199-H4-15A,2022-12-19,2.5
199-H4-15A,2023-01-20,2.5
199-H4-15A,2023-02-16,2.5
199-H4-15A,2023-03-20,2.5
199-H4-15A,2023-04-13,2.5
199-H4-15A,2023-05-01,2.5
199-H4-15A,2023-06-08,2.5
199-H4-15A,2023-07-17,2.5
199-H4-15A,2023-08-03,2.5
199-H4-15A,2023-09-12,1.33
199-H4-17,2023-02-16,2.5
199-H4-17,2023-06-12,2.5
199-H4-17,2023-08-10,2.5
199-H4-18,2022-10-28,2.5
199-H4-18,2022-12-14,2.5
199-H4-18,2022-12-20,4.12
199-H4-18,2023-02-16,2.6
199-H4-18,2023-04-13,2.5
199-H4-18,2023-06-12,5.87
199-H4-18,2023-08-10,2.5
199-H4-18,2023-10-19,2.5
199-H4-4,2021-01-20,0.0
199-H4-4,2021-02-08,2.13
199-H4-4,2021-02-09,7.0
199-H4-4,2022-02-15,2.5
199-H4-4,2022-02-22,5.0
199-H4-4,2022-05-18,8.0
199-H4-4,2022-06-22,8.0
199-H4-4,2022-07-27,8.0
199-H4-4,2022-08-09,4.0
199-H4-4,2023-05-30,2.5
199-H4-4,2023-06-21,2.5
199-H4-4,2023-07-24,2.53
199-H4-5,2021-11-19,2.5
199-H4-5,2022-10-28,2.5
199-H4-5,2022-11-18,2.5
199-H4-5,2022-12-19,2.5
199-H4-5,2023-01-20,2.5
199-H4-5,2023-02-16,2.5
199-H4-5,2023-03-20,2.5
199-H4-5,2023-04-12,2.65
199-H4-5,2023-05-01,2.5
199-H4-5,2023-06-08,2.5
199-H4-5,2023-07-17,2.5
199-H4-5,2023-08-03,3.07
199-H4-5,2023-09-12,1.78
199-H4-64,2021-09-30,2.5
199-H4-64,2021-11-02,201.0
199-H4-64,2021-11-10,199.0
199-H4-64,2022-02-15,2.5
199-H4-64,2022-10-28,2.5
199-H4-64,2022-11-18,2.5
199-H4-64,2022-12-19,2.5
199-H4-64,2023-01-20,2.5
199-H4-64,2023-02-16,2.5
199-H4-64,2023-03-20,2.5
199-H4-64,2023-04-13,2.5
199-H4-64,2023-05-01,2.5
199-H4-64,2023-06-08,2.5
199-H4-64,2023-07-17,2.5
199-H4-64,2023-08-10,2.5
199-H4-64,2023-09-12,1.3
199-H4-65,2021-11-21,4.97
199-H4-65,2022-10-28,5.43
199-H4-65,2022-11-06,5.97
199-H4-65,2022-12-20,8.05
199-H4-65,2023-02-16,10.7
199-H4-65,2023-04-13,9.65
199-H4-65,2023-06-12,5.37
199-H4-65,2023-08-10,8.1
199-H4-65,2023-10-19,7.38
199-H4-8,2021-06-08,4.6
199-H4-8,2021-12-15,3.57
199-H4-8,2023-02-16,4.39
199-H4-8,2023-06-08,2.68
199-H4-8,2023-08-04,3.66
199-H4-84,2021-02-22,13.99
199-H4-84,2021-06-08,10.8
199-H4-84,2021-12-15,27.6
199-H4-84,2023-02-14,18.3
199-H4-84,2023-02-14,20.1
199-H4-84,2023-05-10,22.3
199-H4-84,2023-06-08,428.0
199-H4-84,2023-07-27,40.8
199-H4-84,2023-08-04,32.1
199-H4-85,2021-02-09,3.1
199-H4-85,2021-06-08,3.07
199-H4-85,2021-09-16,3.18
199-H4-85,2021-10-14,2.79
199-H4-85,2022-12-20,2.5
199-H4-85,2023-02-16,2.5
199-H4-85,2023-04-13,2.5
199-H4-85,2023-06-08,2.5
199-H4-85,2023-08-04,4.46
199-H4-85,2023-10-19,2.73
199-H4-86,2021-01-27,7.0
199-H4-86,2021-02-25,7.0
199-H4-86,2021-03-16,4.0
199-H4-86,2021-03-22,3.7
199-H4-86,2021-04-05,6.0
199-H4-86,2021-05-05,5.82
199-H4-86,2021-05-12,0.0
199-H4-86,2021-06-28,9.0
199-H4-86,2021-07-07,10.0
199-H4-86,2021-08-24,4.26
199-H4-86,2021-08-30,8.0
199-H4-86,2021-09-13,1.0
199-H4-86,2021-10-12,5.0
199-H4-86,2021-11-01,5.79
199-H4-86,2022-01-18,12.0
199-H4-86,2022-02-09,9.0
199-H4-86,2022-02-15,7.83
199-H4-86,2022-03-16,6.0
199-H4-86,2022-04-11,7.0
199-H4-86,2022-06-14,0.0
199-H4-86,2022-07-19,8.0
199-H4-86,2022-08-17,12.0
199-H4-86,2022-09-12,12.0
199-H4-86,2022-10-20,9.23
199-H4-86,2022-10-20,8.63
199-H4-86,2023-01-19,9.84
199-H4-86,2023-03-23,8.17
199-H4-86,2023-04-12,5.75
199-H4-86,2023-06-21,4.44
199-H4-86,2023-08-24,3.21
199-H4-88,2021-02-22,4.85
199-H4-88,2021-02-22,5.15
199-H4-88,2021-06-08,6.21
199-H4-88,2021-06-08,6.35
199-H4-88,2021-09-16,4.18
199-H4-88,2021-10-14,5.27
199-H4-88,2022-12-19,4.28
199-H4-88,2023-02-14,5.06
199-H4-88,2023-04-13,5.05
199-H4-88,2023-05-10,6.0
199-H4-88,2023-06-08,9.15
199-H4-88,2023-06-08,9.27
199-H4-88,2023-08-04,6.13
199-H4-88,2023-08-04,5.74
199-H4-88,2023-10-17,4.99
199-H4-89,2021-02-18,3.57
199-H4-89,2021-06-08,2.51
199-H4-89,2021-06-08,2.5
199-H4-89,2021-09-16,3.4
199-H4-89,2021-10-14,3.13
199-H4-89,2022-01-13,7.0
199-H4-89,2023-02-14,3.94
199-H4-89,2023-04-13,2.66
199-H4-89,2023-05-10,2.64
199-H4-89,2023-06-08,2.57
199-H4-89,2023-08-04,3.02
199-H4-89,2023-10-17,2.96
199-H4-89,2023-10-17,2.5
