NAME,DATE,VAL,TYPE,FLAG
199-D5-15,2023-04-01,3.87,Mon,
199-D5-123,2023-04-01,5.78,Mon,
199-D5-142,2023-04-01,2.77,Mon,
199-D5-133,2023-04-01,4.13,Mon,
199-D5-17,2023-04-01,6.18,Mon,
199-D2-11,2023-04-01,2.5,Mon,U
199-D5-106,2023-04-01,5.79,Mon,
199-D1-1,2023-04-01,7.02,Mon,
199-D2-14,2023-04-01,4.49,Mon,
199-D5-103,2023-04-01,110,Ext,
199-D5-160,2023-04-01,16.2,Ext,
199-D5-150,2023-04-01,3.49,Mon,
199-D5-151,2023-04-01,35.3,Ext,
199-D5-149,2023-04-01,8.31,Mon,
199-D5-152,2023-04-01,4.51,Mon,
199-D5-43,2023-04-01,2.5,Mon,U
199-D5-146,2023-04-01,25.5,Ext,
199-D5-145,2023-04-01,6,Mon,
199-D5-39,2023-04-01,5.74,Ext,
199-D5-104,2023-04-01,18.9,Ext,
199-D5-34,2023-04-01,7.27,Ext,
199-D5-41,2023-04-01,23.4,Mon,
199-D5-33,2023-04-01,2.50,Mon,U
199-D5-44,2023-04-01,20.2,Mon,
199-D5-37,2023-04-01,4.8,Mon,
C6272,2023-04-01,2.50,AT,U
AT-D-1-M,2023-04-01,2.50,AT,U
199-D5-15,2023-05-01,3.13,Mon,
199-D5-133,2023-05-01,20.2,Mon,
199-D5-128,2023-05-01,4.7,Inj,
199-D5-36,2023-05-01,2.5,Mon,U
199-D5-38,2023-05-01,2.5,Mon,U
199-D5-106,2023-05-01,5.26,Mon,
199-D1-1,2023-05-01,7.82,Mon,
199-D2-14,2023-05-01,3.36,Mon,
199-D5-103,2023-05-01,102,Ext,
199-D5-160,2023-05-01,14.5,Ext,
199-D5-150,2023-05-01,2.5,Mon,U
199-D5-151,2023-05-01,36.4,Ext,
199-D5-149,2023-05-01,16.7,Mon,
199-D5-152,2023-05-01,3.04,Mon,
199-D5-43,2023-05-01,2.5,Mon,U
199-D5-146,2023-05-01,20.4,Ext,
199-D5-145,2023-05-01,2.57,Mon,
199-D5-39,2023-05-01,5.07,Ext,
199-D5-104,2023-05-01,13,Ext,
199-D5-34,2023-05-01,8.14,Ext,
199-D5-41,2023-05-01,24.1,Mon,
199-D5-33,2023-05-01,2.50,Mon,U
199-D5-44,2023-05-01,24.9,Mon,
199-D5-37,2023-05-01,3.43,Mon,
199-D2-14,2023-05-01,4.03,Mon,
199-D5-103,2023-05-01,56.1,Ext,
