NAME,DATE,VAL,XCOORDS,YCOORDS
199-D1-1,2023-02-28,7.07,573381.0,151558.0
199-D1-1,2023-03-31,,573381.0,151558.0
199-D1-1,2023-04-30,6.955,573381.0,151558.0
199-D1-1,2023-05-31,7.325,573381.0,151558.0
199-D1-1,2023-06-30,7.85,573381.0,151558.0
199-D1-1,2023-07-31,8.32,573381.0,151558.0
199-D1-1,2023-08-31,7.7,573381.0,151558.0
199-D1-1,2023-09-30,6.34,573381.0,151558.0
199-D1-1,2023-10-31,7.21,573381.0,151558.0
199-D2-11,2023-04-30,2.5,573328.16,151120.73
199-D2-11,2023-05-31,,573328.16,151120.73
199-D2-11,2023-06-30,2.5,573328.16,151120.73
199-D2-11,2023-07-31,,573328.16,151120.73
199-D2-11,2023-08-31,3.52,573328.16,151120.73
199-D2-11,2023-09-30,,573328.16,151120.73
199-D2-11,2023-10-31,2.61,573328.16,151120.73
199-D2-14,2023-02-28,5.08,573504.05,151518.91
199-D2-14,2023-03-31,,573504.05,151518.91
199-D2-14,2023-04-30,4.49,573504.05,151518.91
199-D2-14,2023-05-31,4.414,573504.05,151518.91
199-D2-14,2023-06-30,12.55,573504.05,151518.91
199-D2-14,2023-07-31,23.4,573504.05,151518.91
199-D2-14,2023-08-31,45.4,573504.05,151518.91
199-D2-14,2023-09-30,46.5,573504.05,151518.91
199-D2-14,2023-10-31,49.6,573504.05,151518.91
199-D5-103,2023-02-28,32.0,573505.87,151460.87
199-D5-103,2023-03-31,114.0,573505.87,151460.87
199-D5-103,2023-04-30,110.0,573505.87,151460.87
199-D5-103,2023-05-31,70.93333333333334,573505.87,151460.87
199-D5-103,2023-06-30,43.5,573505.87,151460.87
199-D5-103,2023-07-31,53.6,573505.87,151460.87
199-D5-103,2023-08-31,32.6,573505.87,151460.87
199-D5-103,2023-09-30,34.8,573505.87,151460.87
199-D5-104,2023-02-28,29.0,573265.48,151422.43
199-D5-104,2023-03-31,20.0,573265.48,151422.43
199-D5-104,2023-04-30,18.9,573265.48,151422.43
199-D5-104,2023-05-31,13.625,573265.48,151422.43
199-D5-104,2023-06-30,15.8,573265.48,151422.43
199-D5-104,2023-07-31,14.0,573265.48,151422.43
