SAMP_SITE_NAME,SAMP_DATE_TIME,STD_VALUE_RPTD,REVIEW_QUALIFIER,COLLECTION_PURPOSE_DESC,LAB_CODE,SAMP_DATE
199-D5-34,2014-02-14 08:31:00,247.0,,"Routine (i.e., repetitive)",WSCF,2014-02-14
199-D5-34,2014-03-07 08:37:00,262.0,,Special Studies,WSCF,2014-03-07
199-D5-34,2014-03-21 08:53:00,270.0,,"Routine (i.e., repetitive)",WSCF,2014-03-21
199-D5-34,2014-04-04 11:54:00,244.0,,"Routine (i.e., repetitive)",WSCF,2014-04-04
199-D5-34,2014-04-18 08:35:00,168.0,,"Routine (i.e., repetitive)",WSCF,2014-04-18
199-D5-34,2014-04-30 09:20:00,136.0,,"Routine (i.e., repetitive)",WSCF,2014-04-30
199-D5-34,2014-12-09 12:43:00,425.0,,"Routine (i.e., repetitive)",TARL,2014-12-09
199-D5-34,2014-12-09 12:43:00,420.0,,"Routine (i.e., repetitive)",TARL,2014-12-09
199-D5-34,2015-01-27 08:54:00,300.0,,"Routine (i.e., repetitive)",TARL,2015-01-27
199-D5-34,2015-01-27 08:54:00,303.0,,"Routine (i.e., repetitive)",TARL,2015-01-27
199-D5-34,2015-02-19 08:53:00,325.0,,"Routine (i.e., repetitive)",TARL,2015-02-19
199-D5-34,2015-02-19 08:53:00,323.0,,"Routine (i.e., repetitive)",TARL,2015-02-19
199-D5-34,2015-03-24 10:53:00,388.0,,"Routine (i.e., repetitive)",TARL,2015-03-24
199-D5-34,2015-03-24 10:53:00,389.0,,"Routine (i.e., repetitive)",TARL,2015-03-24
199-D5-34,2015-04-16 14:32:00,577.0,,"Routine (i.e., repetitive)",TARL,2015-04-16
199-D5-34,2015-04-16 14:32:00,580.0,,"Routine (i.e., repetitive)",TARL,2015-04-16
199-D5-34,2015-05-13 09:36:00,614.0,,"Routine (i.e., repetitive)",TARL,2015-05-13
199-D5-34,2015-05-13 09:36:00,611.0,,"Routine (i.e., repetitive)",TARL,2015-05-13
199-D5-34,2015-06-14 14:25:00,543.0,A,"Routine (i.e., repetitive)",TARL,2015-06-14
199-D5-34,2015-06-14 14:25:00,546.0,A,"Routine (i.e., repetitive)",TARL,2015-06-14
199-D5-34,2015-07-27 09:24:00,474.0,,"Routine (i.e., repetitive)",TARL,2015-07-27
199-D5-34,2015-07-27 09:24:00,468.0,,"Routine (i.e., repetitive)",TARL,2015-07-27
199-D5-34,2015-07-28 08:12:00,488.0,,In Process,FIELD,2015-07-28
199-D5-34,2015-07-29 09:45:00,488.0,,In Process,FIELD,2015-07-29
199-D5-34,2015-08-03 13:42:00,466.0,,In Process,FIELD,2015-08-03
199-D5-34,2015-08-04 07:35:00,483.0,,In Process,FIELD,2015-08-04
199-D5-34,2015-08-05 07:44:00,473.0,,In Process,FIELD,2015-08-05
199-D5-34,2015-08-06 07:48:00,469.0,,In Process,FIELD,2015-08-06
199-D5-34,2015-08-10 07:41:00,460.0,,In Process,FIELD,2015-08-10
199-D5-34,2015-08-11 07:37:00,452.0,,In Process,FIELD,2015-08-11
199-D5-34,2015-08-12 07:22:00,448.0,,In Process,FIELD,2015-08-12
199-D5-34,2015-08-12 08:21:00,460.0,H,"Routine (i.e., repetitive)",TARL,2015-08-12
199-D5-34,2015-08-12 08:21:00,570.0,H,"Routine (i.e., repetitive)",TARL,2015-08-12
