SAMP_SITE_NAME,SAMP_DATE,STD_VALUE_RPTD,tte
199-H3-2A,2014-03-01,2.0,90
199-H3-2A,2014-06-01,8.0,181
199-H3-2A,2014-09-01,8.0,273
199-H3-2A,2014-12-01,1.5,365
199-H3-2A,2015-03-01,1.5,455
199-H3-2A,2015-05-01,1.55,516
199-H3-2A,2015-09-01,1.5,638
199-H3-2A,2015-12-01,1.5,730
199-H3-2A,2016-03-01,1.5,821
199-H3-2A,2016-06-01,1.5,912
199-H3-2A,2016-11-01,5.5,1065
199-H3-2A,2017-11-01,1.9,1430
199-H3-2A,2018-10-01,3.65,1765
199-H3-2A,2019-11-01,1.3,2160
199-H3-2A,2020-12-01,3.63,2557
199-H3-25,2014-01-01,9.0,31
199-H3-25,2015-06-01,4.0,546
199-H3-25,2015-07-01,1.0,577
199-H3-25,2015-08-01,5.0,608
199-H3-25,2015-09-01,7.0,638
199-H3-25,2015-10-01,21.0,669
199-H3-25,2015-11-01,7.0,699
199-H3-25,2015-12-01,8.0,730
199-H3-25,2016-01-01,10.0,761
199-H3-25,2016-02-01,11.0,790
199-H3-25,2016-03-01,13.0,821
199-H3-25,2016-04-01,13.0,851
199-H3-25,2016-05-01,8.0,882
199-H3-25,2016-06-01,14.0,912
199-H3-25,2016-07-01,22.0,943
199-H3-25,2016-08-01,14.0,974
199-H3-25,2016-09-01,15.0,1004
199-H3-25,2016-10-01,14.0,1035
199-H3-25,2016-11-01,12.0,1065
199-H3-25,2016-12-01,14.0,1096
199-H3-25,2017-01-01,14.5,1127
199-H3-25,2017-02-01,2.0,1155
199-H3-25,2017-03-01,9.8,1186
199-H3-25,2017-04-01,9.0,1216
199-H3-25,2017-05-01,7.0,1247
199-H3-25,2017-06-01,2.2,1277
199-H3-25,2017-07-01,10.0,1308
199-H3-25,2017-08-01,4.0,1339
199-H3-25,2017-09-01,13.0,1369
199-H3-25,2017-10-01,17.0,1400
199-H3-25,2017-11-01,4.0,1430
199-H3-25,2017-12-01,11.4,1461
199-H3-25,2018-01-01,10.0,1492
199-H3-25,2018-02-01,15.0,1520
199-H3-25,2018-03-01,6.825,1551
199-H3-25,2018-04-01,10.0,1581
199-H3-25,2018-05-01,9.0,1612
199-H3-25,2018-06-01,11.0,1642
199-H3-25,2018-07-01,8.025,1673
199-H3-25,2018-08-01,6.0,1704
199-H3-25,2018-09-01,8.15,1734
199-H3-25,2018-10-01,11.0,1765
199-H3-25,2018-11-01,17.0,1795
199-H3-25,2018-12-01,11.05,1826
199-H3-25,2019-01-01,9.0,1857
199-H3-25,2019-08-01,7.0,2069
199-H3-25,2019-09-01,6.22,2099
199-H3-25,2019-10-01,8.0,2130
199-H3-25,2019-11-01,8.0,2160
199-H3-25,2019-12-01,8.059999999999999,2191
199-H3-25,2020-01-01,4.0,2222
199-H3-25,2020-02-01,4.0,2251
199-H3-25,2020-03-01,7.26,2282
199-H3-25,2020-07-01,9.0,2404
199-H3-25,2020-08-01,8.0,2435
199-H3-25,2020-09-01,7.0,2465
199-H3-25,2020-10-01,9.26,2496
199-H3-25,2020-11-01,14.0,2526
199-H3-25,2020-12-01,6.87,2557
199-H3-26,2014-01-01,28.0,31
199-H3-26,2015-06-01,17.0,546
199-H3-26,2015-07-01,0.0,577
199-H3-26,2015-08-01,2.0,608
199-H3-26,2015-09-01,3.0,638
199-H3-26,2016-05-01,5.0,882
199-H3-26,2016-06-01,5.0,912
199-H3-26,2016-07-01,9.0,943
199-H3-26,2016-08-01,9.0,974
199-H3-26,2016-09-01,17.0,1004
199-H3-26,2017-03-01,4.9,1186
199-H3-26,2017-04-01,6.0,1216
199-H3-26,2017-05-01,8.0,1247
199-H3-26,2017-06-01,1.1,1277
199-H3-26,2017-07-01,8.0,1308
199-H3-26,2017-08-01,5.0,1339
199-H3-26,2017-09-01,8.45,1369
199-H3-26,2018-04-01,4.75,1581
199-H3-26,2018-05-01,5.0,1612
199-H3-26,2018-06-01,4.0,1642
199-H3-26,2018-07-01,3.2,1673
199-H3-26,2018-08-01,5.0,1704
199-H3-26,2018-09-01,3.875,1734
199-H3-26,2018-10-01,9.0,1765
199-H3-26,2018-11-01,13.0,1795
199-H3-26,2018-12-01,5.95,1826
199-H3-26,2019-01-01,5.0,1857
199-H3-26,2019-02-01,0.0,1885
199-H3-26,2019-03-01,5.5425,1916
199-H3-26,2019-04-01,4.0,1946
199-H3-26,2019-05-01,6.0,1977
199-H3-26,2019-06-01,5.43,2007
199-H3-26,2019-07-01,5.0,2038
199-H3-26,2020-07-01,1.0,2404
199-H3-26,2020-08-01,7.0,2435
199-H3-26,2020-09-01,2.0,2465
199-H3-26,2020-10-01,9.33,2496
199-H4-4,2014-01-01,15.7,31
199-H4-4,2014-02-01,23.0,59
199-H4-4,2014-04-01,9.0,120
199-H4-4,2014-05-01,1.0,151
199-H4-4,2014-06-01,4.5,181
199-H4-4,2014-07-01,1.0,212
199-H4-4,2014-08-01,7.0,243
199-H4-4,2015-01-01,6.0,396
199-H4-4,2015-02-01,3.55,424
199-H4-4,2015-03-01,1.0,455
199-H4-4,2015-04-01,1.0,485
199-H4-4,2015-05-01,5.0,516
199-H4-4,2015-06-01,4.45,546
199-H4-4,2015-07-01,13.0,577
199-H4-4,2015-08-01,5.25,608
199-H4-4,2016-02-01,1.975,790
199-H4-4,2016-03-01,3.0,821
199-H4-4,2016-04-01,8.0,851
199-H4-4,2016-05-01,1.75,882
199-H4-4,2016-06-01,3.0,912
199-H4-4,2016-07-01,6.0,943
199-H4-4,2016-08-01,0.975,974
