SAMP_SITE_NAME,SAMP_DATE,STD_VALUE_RPTD
199-D5-34,2014-02-14,247.0
199-D5-34,2014-03-07,262.0
199-D5-34,2014-03-21,270.0
199-D5-34,2014-04-04,244.0
199-D5-34,2014-04-18,168.0
199-D5-34,2014-04-30,136.0
199-D5-34,2015-07-28,488.0
199-D5-34,2015-07-29,488.0
199-D5-34,2015-08-03,466.0
199-D5-34,2015-08-04,483.0
199-D5-34,2015-08-05,473.0
199-D5-34,2015-08-06,469.0
199-D5-34,2015-08-10,460.0
199-D5-34,2015-08-11,452.0
199-D5-34,2015-08-18,425.0
199-D5-34,2015-08-20,423.0
199-D5-34,2015-08-24,419.0
199-D5-34,2015-09-01,396.0
199-D5-34,2015-09-16,328.0
199-D5-34,2015-09-23,359.0
199-D5-34,2015-10-01,358.0
199-D5-34,2015-10-06,344.0
199-D5-34,2015-10-14,335.0
199-D5-34,2015-10-20,325.0
199-D5-34,2015-10-29,313.0
199-D5-34,2015-11-05,293.0
199-D5-34,2015-11-09,306.0
199-D5-34,2015-11-18,264.0
199-D5-34,2015-11-24,280.0
199-D5-34,2015-12-03,271.0
199-D5-34,2015-12-07,263.0
199-D5-34,2015-12-15,255.0
199-D5-34,2015-12-21,255.0
199-D5-34,2015-12-28,238.0
199-D5-34,2016-01-04,225.0
199-D5-34,2016-01-14,231.0
199-D5-34,2016-01-18,235.0
199-D5-34,2016-02-03,211.0
199-D5-34,2016-02-08,195.0
199-D5-34,2016-02-18,205.0
199-D5-34,2016-02-22,202.0
199-D5-34,2016-03-01,196.0
199-D5-34,2016-03-07,190.0
199-D5-34,2016-03-15,187.0
199-D5-34,2016-03-22,179.0
199-D5-34,2016-03-28,174.0
199-D5-34,2016-04-04,169.0
199-D5-34,2016-04-11,168.0
199-D5-34,2016-04-18,164.0
199-D5-34,2016-04-25,165.0
199-D5-34,2016-05-02,144.0
199-D5-34,2016-05-11,149.0
199-D5-34,2016-05-17,147.0
199-D5-34,2016-05-23,142.0
199-D5-34,2016-06-02,148.0
199-D5-34,2016-06-08,140.0
199-D5-34,2016-06-14,132.0
199-D5-34,2016-06-20,119.0
199-D5-34,2016-06-27,104.0
199-D5-34,2016-07-05,132.0
199-D5-34,2016-07-19,111.0
199-D5-34,2016-07-25,115.0
199-D5-34,2016-08-01,107.0
199-D5-34,2016-08-02,115.0
199-D5-34,2016-08-10,115.0
199-D5-34,2016-08-15,115.0
199-D5-34,2016-08-25,105.0
199-D5-34,2016-08-30,106.0
199-D5-34,2016-09-06,110.0
199-D5-34,2016-09-21,128.0
199-D5-34,2016-09-28,88.0
199-D5-34,2016-10-05,92.0
199-D5-34,2016-10-12,93.0
199-D5-34,2016-10-19,93.0
199-D5-34,2016-10-26,94.0
199-D5-34,2016-11-02,92.0
199-D5-34,2016-11-09,89.0
199-D5-34,2016-11-16,78.0
199-D5-34,2016-11-21,94.0
199-D5-34,2016-11-30,90.0
199-D5-34,2016-12-14,85.0
199-D5-34,2017-01-16,91.0
199-D5-34,2017-02-07,82.0
199-D5-34,2017-03-20,69.0
199-D5-34,2017-04-12,77.0
199-D5-34,2017-05-01,79.0
199-D5-34,2017-06-08,79.0
199-D5-34,2017-07-05,70.0
199-D5-34,2017-08-07,68.0
199-D5-34,2017-09-20,64.0
199-D5-34,2017-10-12,78.0
199-D5-34,2017-11-13,56.0
199-D5-34,2017-12-06,71.0
199-D5-34,2018-02-21,70.0
199-D5-34,2018-03-14,77.0
199-D5-34,2018-04-05,68.0
199-D5-34,2018-05-10,82.0
199-D5-34,2018-06-11,76.0
199-D5-34,2018-07-09,67.0
199-D5-34,2018-08-06,57.0
199-D5-34,2018-09-11,60.0
199-D5-34,2018-10-11,44.0
199-D5-34,2018-11-07,46.0
199-D5-34,2018-12-03,47.0
199-D5-34,2019-01-10,50.0
199-D5-34,2019-02-07,42.0
199-D5-34,2019-03-06,35.0
199-D5-34,2019-04-01,44.0
199-D5-34,2019-05-09,42.0
199-D5-34,2019-05-28,40.4
199-D5-34,2019-06-17,47.0
199-D5-34,2019-07-01,44.0
199-D5-34,2019-08-05,42.0
199-D5-34,2019-08-19,36.4
199-D5-34,2019-10-07,35.0
199-D5-34,2019-11-07,31.0
199-D5-34,2019-11-21,26.7
199-D5-34,2019-12-16,31.0
199-D5-34,2020-01-07,20.0
199-D5-34,2020-02-13,30.0
199-D5-34,2020-02-25,21.6
199-D5-34,2020-03-03,25.0
199-D5-34,2020-08-31,18.7
199-D5-34,2020-09-23,22.0
199-D5-34,2020-10-15,22.0
199-D5-34,2020-11-02,13.9
199-D5-34,2020-11-12,25.0
199-D5-34,2021-01-21,14.0
199-D5-34,2021-02-09,11.4
199-D5-34,2021-02-10,11.0
199-D5-34,2021-03-10,8.0
199-D5-34,2021-04-07,9.0
199-D5-34,2021-04-19,12.1
199-D5-34,2021-05-12,8.0
199-D5-34,2021-06-02,7.0
199-D5-34,2021-07-15,12.0
199-D5-34,2021-08-03,11.04
199-D5-42,2019-05-17,1.59
199-D5-42,2019-11-01,1.39
199-D5-42,2020-02-10,1.84
199-D5-42,2020-11-09,1.3
199-D5-42,2021-02-01,1.3
199-D5-42,2021-05-17,1.3
199-D5-43,2014-01-08,47.0
199-D5-43,2014-03-24,33.4
199-D5-43,2019-10-25,3.27
199-D5-43,2020-12-21,3.07
199-D5-97,2014-01-22,20.4
199-D5-97,2014-01-31,18.7
199-D5-97,2014-02-14,19.2
199-D5-97,2014-03-07,19.5
199-D5-97,2014-04-04,19.9
199-D5-97,2014-04-18,19.1
199-D5-97,2014-04-30,19.6
199-D5-97,2014-12-17,18.8
199-D5-97,2019-05-21,3.3
199-D5-97,2019-10-25,3.1
199-D5-97,2020-02-11,2.65
199-D5-97,2020-11-09,1.89
199-D5-97,2021-02-02,2.43
199-D5-97,2021-05-17,2.53
199-D5-98,2014-12-02,23.0
199-D5-98,2018-04-19,17.0
199-D5-103,2014-01-22,1030.0
199-D5-103,2014-01-31,585.0
199-D5-103,2014-02-14,474.0
199-D5-103,2014-03-07,797.0
199-D5-103,2014-03-21,663.0
199-D5-103,2014-04-04,871.0
199-D5-103,2014-04-18,947.0
199-D5-103,2014-04-30,785.0
199-D5-103,2014-12-17,307.0
199-D5-103,2018-10-11,248.0
199-D5-103,2018-11-07,202.0
199-D5-103,2018-11-14,181.0
199-D5-103,2018-11-20,162.0
199-D5-103,2018-11-29,156.0
199-D5-103,2018-12-03,153.0
199-D5-103,2018-12-11,141.0
199-D5-103,2018-12-19,140.0
199-D5-103,2018-12-27,131.0
199-D5-103,2019-01-03,122.0
199-D5-103,2019-01-16,122.0
199-D5-103,2019-01-24,129.0
199-D5-103,2019-01-28,116.0
199-D5-103,2019-02-07,125.0
199-D5-103,2019-02-21,125.0
199-D5-103,2019-02-26,122.0
199-D5-103,2019-03-06,116.0
199-D5-103,2019-03-11,118.0
199-D5-103,2019-03-18,107.0
199-D5-103,2019-03-28,101.0
199-D5-103,2019-04-01,104.0
199-D5-103,2019-04-11,86.0
199-D5-103,2019-04-15,84.0
199-D5-103,2019-04-16,78.1
199-D5-103,2019-04-22,75.0
199-D5-103,2019-04-29,88.0
199-D5-103,2019-05-09,68.0
199-D5-103,2019-05-15,61.0
199-D5-103,2019-05-21,55.0
199-D5-103,2019-05-30,53.0
199-D5-103,2019-06-06,51.0
199-D5-103,2019-06-12,52.0
199-D5-103,2019-06-17,50.0
199-D5-103,2019-06-25,48.0
199-D5-103,2019-07-01,42.0
199-D5-103,2019-07-11,44.0
199-D5-103,2019-07-17,39.0
199-D5-103,2019-07-22,39.0
199-D5-103,2019-07-29,35.2
199-D5-103,2019-08-01,36.0
199-D5-103,2019-08-05,38.0
199-D5-103,2019-08-15,31.0
199-D5-103,2019-08-19,33.0
199-D5-103,2019-08-26,31.0
199-D5-103,2019-09-09,30.0
199-D5-103,2019-09-17,35.0
199-D5-103,2019-10-07,30.0
199-D5-103,2019-10-30,22.2
