WELL_NAME,EASTING,NORTHING,WELL_PROJECT_PURPOSES,WELL_TYPE,Type,Area,NICKNAME
199-D5-146,573219.79,151345.59,EXTRACTION,GROUNDWATER WELL,Extraction,100-D-100 Sidewall 1,D5-146
199-D5-152,573300.18,151349.1,,GROUNDWATER WELL,Monitoring,100-D-100 Sidewall 1,D5-152
199-D5-98,573369.56,151272.44,,GROUNDWATER WELL,Monitoring,100-D-100 Sidewall 1,D5-98
199-D5-97,573250.11,151302.47,GROUNDWATER SAMPLE,GROUNDWATER WELL,Monitoring,100-D-100 Sidewall 1,D5-97
199-D5-43,573179.976,151269.43,GROUNDWATER SAMPLE,GROUNDWATER WELL,Monitoring,100-D-100 Sidewall 1,D5-43
199-D5-104,573265.48,151422.43,"EXTRACTION, GROUNDWATER SAMPLE",GROUNDWATER WELL,Extraction,100-D-100 Sidewall 2,D5-104
199-D5-151,573312.03,151391.88,,GROUNDWATER WELL,Monitoring,100-D-100 Sidewall 2,D5-151
199-D5-34,573240.42,151554.12,"EXTRACTION, GROUNDWATER SAMPLE",GROUNDWATER WELL,Extraction,100-D-100 Sidewall 2,D5-34
199-D5-145,573215.62,151396.28,,GROUNDWATER WELL,Monitoring,100-D-100 Sidewall 3,D5-145
199-D5-149,573327.62,151461.82,,GROUNDWATER WELL,Monitoring,100-D-100 Sidewall 3,D5-149
199-D5-157,573347.66,151358.83,,GROUNDWATER WELL,Monitoring,100-D-100 Sidewall 3,D5-157
199-D5-141,573243.43,151424.51,,GROUNDWATER WELL,Monitoring,100-D-100 Sidewall 3,D5-141
199-D5-103,573505.87,151460.87,GROUNDWATER SAMPLE,GROUNDWATER WELL,Extraction,100-D-56-2 Pipeline 1,D5-103
199-D5-160,573517.16,151429.17,,GROUNDWATER WELL,Monitoring,100-D-56-2 Pipeline 1,D5-160
199-D5-150,573429.42,151401.85,,GROUNDWATER WELL,Monitoring,100-D-56-2 Pipeline 2,D5-150
199-D5-106,573503.74,151597.97,,GROUNDWATER WELL,Monitoring,100-D-56-2 Pipeline 2,D5-106
199-D5-42,573479.771,151622.674,,GROUNDWATER WELL,Monitoring,100-D-56-2 Pipeline 2,D5-42
199-H4-86,577704.55,152745.65,EXTRACTION,GROUNDWATER WELL,Extraction,100-H-46 Waste Site 1,H4-86
199-H4-87,577736.16,152667.79,,GROUNDWATER WELL,Monitoring,100-H-46 Waste Site 1,H4-87
199-H3-2C,577632.065,152750.302,"EXTRACTION, GROUNDWATER SAMPLE",GROUNDWATER WELL,Extraction,100-H-46 Waste Site 2,H3-2C
199-H3-2A,577624.608,152750.068,GROUNDWATER SAMPLE,GROUNDWATER WELL,Monitoring,100-H-46 Waste Site 2,H3-2A
199-H4-13,578219.304,152595.273,GROUNDWATER SAMPLE,GROUNDWATER WELL,Monitoring,107-H Retention Basin 1,H4-13
199-H3-21,578127.91,152630.66,,GROUNDWATER WELL,Monitoring,107-H Retention Basin 1,H3-21
199-H4-63,578185.825,152665.531,"EXTRACTION, GROUNDWATER SAMPLE",GROUNDWATER WELL,Extraction,107-H Retention Basin 1,H4-63
199-H4-83,578135.04,152634.01,,GROUNDWATER WELL,Monitoring,107-H Retention Basin 1,H4-83
199-H4-69,578014.05,152686.66,EXTRACTION,GROUNDWATER WELL,Extraction,107-H Retention Basin 2,H4-69
199-H4-70,578003.82,152646.45,EXTRACTION,GROUNDWATER WELL,Extraction,107-H Retention Basin 2,H4-70
199-H4-71,578010.64,152581.53,INJECTION,GROUNDWATER WELL,Injection,107-H Retention Basin 2,H4-71
199-H4-11,578141.906,152728.433,GROUNDWATER SAMPLE,GROUNDWATER WELL,Monitoring,107-H Retention Basin 2,H4-11
199-H4-84,577902.58,152848.73,,GROUNDWATER WELL,Monitoring,183-H Solar Evaporation Basins 1,H4-84
199-H4-88,577850.51,152833.59,,GROUNDWATER WELL,Monitoring,183-H Solar Evaporation Basins 1,H4-88
199-H3-29,577921.46,152884.22,,GROUNDWATER WELL,Extraction,183-H Solar Evaporation Basins 2,H3-29
199-H4-89,577923.32,152893.98,,GROUNDWATER WELL,Monitoring,183-H Solar Evaporation Basins 2,H4-89
199-H4-85,577980.02,152880.81,,GROUNDWATER WELL,Monitoring,183-H Solar Evaporation Basins 2,H4-85
