Group,SP,tte,Mass (ug/month),WasteSite
1.0,1,31,5576621.0,100-D-100 Sidewall
1.0,2,59,17915800.0,100-D-100 Sidewall
1.0,3,90,33885170.0,100-D-100 Sidewall
1.0,4,120,28483200.0,100-D-100 Sidewall
1.0,5,151,32280300.0,100-D-100 Sidewall
1.0,6,181,52885800.0,100-D-100 Sidewall
1.0,7,212,81833490.0,100-D-100 Sidewall
1.0,8,243,175053900.0,100-D-100 Sidewall
1.0,9,273,337596000.0,100-D-100 Sidewall
1.0,10,304,463316700.0,100-D-100 Sidewall
1.0,11,334,424677000.0,100-D-100 Sidewall
1.0,12,365,287627300.0,100-D-100 Sidewall
1.0,13,396,216841900.0,100-D-100 Sidewall
1.0,14,424,134554560.0,100-D-100 Sidewall
1.0,15,455,127264920.0,100-D-100 Sidewall
1.0,16,485,172137000.0,100-D-100 Sidewall
1.0,17,516,247733400.0,100-D-100 Sidewall
1.0,18,546,288645000.0,100-D-100 Sidewall
1.0,19,577,370136900.0,100-D-100 Sidewall
1.0,20,608,449310900.0,100-D-100 Sidewall
1.0,21,638,520941000.0,100-D-100 Sidewall
1.0,22,669,566072400.0,100-D-100 Sidewall
1.0,23,699,409029000.0,100-D-100 Sidewall
1.0,24,730,315186300.0,100-D-100 Sidewall
1.0,25,761,292038600.0,100-D-100 Sidewall
1.0,26,790,232029000.0,100-D-100 Sidewall
1.0,27,821,219523400.0,100-D-100 Sidewall
1.0,28,851,159329400.0,100-D-100 Sidewall
1.0,29,882,112071820.0,100-D-100 Sidewall
1.0,30,912,113130000.0,100-D-100 Sidewall
1.0,31,943,125447080.0,100-D-100 Sidewall
1.0,32,974,212151600.0,100-D-100 Sidewall
1.0,33,1004,353592000.0,100-D-100 Sidewall
1.0,34,1035,470989200.0,100-D-100 Sidewall
1.0,35,1065,387819000.0,100-D-100 Sidewall
1.0,36,1096,246251600.0,100-D-100 Sidewall
1.0,37,1127,136810440.0,100-D-100 Sidewall
1.0,38,1155,108469200.0,100-D-100 Sidewall
1.0,39,1186,109132090.0,100-D-100 Sidewall
1.0,40,1216,107042700.0,100-D-100 Sidewall
1.0,41,1247,107686250.0,100-D-100 Sidewall
1.0,42,1277,119900100.0,100-D-100 Sidewall
1.0,43,1308,252631400.0,100-D-100 Sidewall
1.0,44,1339,394862500.0,100-D-100 Sidewall
1.0,45,1369,477834000.0,100-D-100 Sidewall
1.0,46,1400,625415700.0,100-D-100 Sidewall
1.0,47,1430,636090000.0,100-D-100 Sidewall
1.0,48,1461,407910400.0,100-D-100 Sidewall
1.0,49,1492,223125600.0,100-D-100 Sidewall
1.0,50,1520,110195680.0,100-D-100 Sidewall
1.0,51,1551,136908400.0,100-D-100 Sidewall
1.0,52,1581,145070400.0,100-D-100 Sidewall
1.0,53,1612,96037070.0,100-D-100 Sidewall
1.0,54,1642,119054700.0,100-D-100 Sidewall
1.0,55,1673,219901600.0,100-D-100 Sidewall
1.0,56,1704,349125100.0,100-D-100 Sidewall
1.0,57,1734,470310000.0,100-D-100 Sidewall
1.0,58,1765,530986600.0,100-D-100 Sidewall
1.0,59,1795,438249000.0,100-D-100 Sidewall
1.0,60,1826,274188800.0,100-D-100 Sidewall
1.0,61,1857,236740800.0,100-D-100 Sidewall
1.0,62,1885,182797440.0,100-D-100 Sidewall
1.0,63,1916,196984540.0,100-D-100 Sidewall
1.0,64,1946,182313600.0,100-D-100 Sidewall
1.0,65,1977,156294560.0,100-D-100 Sidewall
1.0,66,2007,138093600.0,100-D-100 Sidewall
1.0,67,2038,155271560.0,100-D-100 Sidewall
1.0,68,2069,168395100.0,100-D-100 Sidewall
1.0,69,2099,189535800.0,100-D-100 Sidewall
1.0,70,2130,196602620.0,100-D-100 Sidewall
1.0,71,2160,177771000.0,100-D-100 Sidewall
