Lay,Row,Col,R_C,Val,SP,Group,Zone,sp,spLen,tte,Mass (ug),Mass (ug/month)
3,203,611,203_611,0.0,1,,,1,31,31,0.0,0.0
3,203,610,203_610,0.0,1,,,1,31,31,0.0,0.0
4,202,611,202_611,0.0,1,,,1,31,31,0.0,0.0
3,202,610,202_610,0.0,1,,,1,31,31,0.0,0.0
4,201,611,201_611,0.0,1,,,1,31,31,0.0,0.0
3,201,610,201_610,0.0,1,,,1,31,31,0.0,0.0
3,200,617,200_617,0.0,1,,,1,31,31,0.0,0.0
3,200,616,200_616,0.0,1,,,1,31,31,0.0,0.0
3,200,615,200_615,0.0,1,,,1,31,31,0.0,0.0
3,199,617,199_617,0.0,1,,,1,31,31,0.0,0.0
3,199,616,199_616,0.0,1,,,1,31,31,0.0,0.0
3,199,615,199_615,0.0,1,,,1,31,31,0.0,0.0
3,198,617,198_617,0.0,1,,,1,31,31,0.0,0.0
3,198,616,198_616,0.0,1,,,1,31,31,0.0,0.0
3,198,615,198_615,0.0,1,,,1,31,31,0.0,0.0
3,203,613,203_613,1608.0,1,4.0,10.0,1,31,31,49848.0,49848.0
3,203,612,203_612,1608.0,1,4.0,10.0,1,31,31,49848.0,49848.0
4,202,614,202_614,1608.0,1,4.0,10.0,1,31,31,49848.0,49848.0
4,202,613,202_613,1608.0,1,4.0,10.0,1,31,31,49848.0,49848.0
4,202,612,202_612,1608.0,1,4.0,10.0,1,31,31,49848.0,49848.0
3,201,614,201_614,1608.0,1,4.0,10.0,1,31,31,49848.0,49848.0
4,201,613,201_613,1608.0,1,4.0,10.0,1,31,31,49848.0,49848.0
4,201,612,201_612,1608.0,1,4.0,10.0,1,31,31,49848.0,49848.0
3,200,614,200_614,1608.0,1,4.0,10.0,1,31,31,49848.0,49848.0
3,200,613,200_613,1608.0,1,4.0,10.0,1,31,31,49848.0,49848.0
4,200,612,200_612,1608.0,1,4.0,10.0,1,31,31,49848.0,49848.0
2,219,640,219_640,938.0,1,5.0,25.0,1,31,31,29078.0,29078.0
2,219,639,219_639,938.0,1,5.0,25.0,1,31,31,29078.0,29078.0
2,219,638,219_638,938.0,1,5.0,25.0,1,31,31,29078.0,29078.0
2,219,637,219_637,938.0,1,5.0,25.0,1,31,31,29078.0,29078.0
2,219,636,219_636,938.0,1,5.0,25.0,1,31,31,29078.0,29078.0
