Well,Time,Observed
699-101-45,1/31/2014,115.991
699-101-45,2/14/2014,
699-101-45,3/16/2014,115.82
699-101-45,4/15/2014,116.489
699-101-45,5/16/2014,
699-101-45,6/15/2014,
699-101-45,7/16/2014,116.977
699-101-45,8/16/2014,116.2331
699-101-45,9/15/2014,115.3065
699-101-45,10/16/2014,115.4377
699-101-45,11/15/2014,115.82
699-101-45,12/16/2014,116.1639
699-101-45,1/16/2015,116.825
699-101-45,2/14/2015,116.9799
699-101-45,3/16/2015,116.829
699-101-45,4/15/2015,116.039
699-101-45,7/16/2015,116.221
699-101-45,9/15/2015,115.5185
699-101-45,10/16/2015,115.5049
699-101-45,11/15/2015,115.8459
699-101-45,12/16/2015,115.895
699-101-45,1/16/2016,116.0034
699-101-45,2/15/2016,116.0809
699-101-45,3/16/2016,116.3128
699-101-45,4/15/2016,116.8414
699-101-45,6/15/2016,116.6921
699-101-45,7/16/2016,116.3282
699-101-45,8/16/2016,116.0414
699-101-45,9/15/2016,115.4505
699-101-45,10/16/2016,115.6138
699-101-45,11/15/2016,116.1085
699-101-45,12/16/2016,116.3441
699-101-45,1/16/2017,116.5182
699-101-45,2/14/2017,116.3662
699-101-45,3/16/2017,116.8219
699-101-45,4/15/2017,117.6812
699-101-45,7/16/2017,
699-101-45,10/16/2017,115.569
699-101-45,3/16/2018,116.724
699-101-45,5/16/2018,
699-101-45,6/15/2018,117.5791
699-101-45,7/16/2018,116.6791
699-101-45,8/16/2018,116.1755
699-101-45,9/15/2018,115.4972
699-101-45,10/16/2018,115.3782
699-101-45,11/15/2018,115.953
699-101-45,12/16/2018,115.8938
699-101-45,1/16/2019,116.0032
699-101-45,2/14/2019,116.0028
699-101-45,3/16/2019,115.6801
699-101-45,4/15/2019,115.6313
699-101-45,5/16/2019,116.7441
699-101-45,6/15/2019,116.4723
699-101-45,7/16/2019,115.9935
699-101-45,8/16/2019,116.0012
699-101-45,9/15/2019,115.2108
699-101-45,10/16/2019,115.183
699-101-45,11/15/2019,115.8973
699-101-45,12/16/2019,115.8933
699-101-45,1/16/2020,116.0946
699-101-45,2/14/2020,116.4433
699-101-45,3/16/2020,115.8218
699-101-45,4/15/2020,115.7408
699-101-45,5/16/2020,117.3246
699-101-45,6/15/2020,117.8123
699-101-45,7/16/2020,117.1413
699-101-45,8/16/2020,116.4836
699-101-45,9/15/2020,115.6083
699-101-45,10/16/2020,115.5139
699-101-45,11/15/2020,116.1415
699-101-45,12/16/2020,116.1388
699-100-43B,1/31/2014,115.5454
699-100-43B,2/14/2014,115.2192
699-100-43B,3/16/2014,115.296
699-100-43B,4/15/2014,116.013
699-100-43B,5/16/2014,117.2168
699-100-43B,6/15/2014,117.057
699-100-43B,7/16/2014,116.403
699-100-43B,8/16/2014,115.4754
699-100-43B,9/15/2014,115.1916
699-100-43B,10/16/2014,115.1696
699-100-43B,11/15/2014,115.6073
699-100-43B,12/16/2014,115.8303
699-100-43B,1/16/2015,116.2523
699-100-43B,2/14/2015,116.5625
699-100-43B,3/16/2015,116.3043
699-100-43B,4/15/2015,115.8896
699-100-43B,5/16/2015,115.9105
699-100-43B,6/15/2015,115.8426
699-100-43B,7/16/2015,115.7533
699-100-43B,8/16/2015,115.898
699-100-43B,9/15/2015,115.3161
699-100-43B,10/16/2015,115.2515
699-100-43B,11/15/2015,115.6047
699-100-43B,12/16/2015,115.5385
699-100-43B,1/16/2016,115.6443
699-100-43B,2/15/2016,115.727
699-100-43B,3/16/2016,115.9403
699-100-43B,4/15/2016,116.6954
