Well,Time,Observed,Simulated
699-101-45,2014-01-31,115.991,116.1564
699-101-45,2014-02-14,,116.0218
699-101-45,2014-03-16,115.82,116.136
699-101-45,2014-04-15,116.489,116.5675
699-101-45,2014-05-16,,117.066
699-101-45,2014-06-15,,117.3865
699-101-45,2014-07-16,116.977,117.326
699-101-45,2014-08-16,116.2331,116.9633
699-101-45,2014-09-15,115.3065,116.325
699-101-45,2014-10-16,115.4377,115.8306
699-101-45,2014-11-15,115.82,115.8378
699-101-45,2014-12-16,116.1639,116.1247
699-101-45,2015-01-16,116.825,116.5477
699-101-45,2015-02-14,116.9799,116.9337
699-101-45,2015-03-16,116.829,117.0591
699-101-45,2015-04-15,116.039,116.9177
699-101-45,2015-07-16,116.221,116.5879
699-101-45,2015-09-15,115.5185,116.2525
699-101-45,2015-10-16,115.5049,115.894
699-101-45,2015-11-15,115.8459,115.9032
699-101-45,2015-12-16,115.895,116.0195
699-101-45,2016-01-16,116.0034,116.103
699-101-45,2016-02-15,116.0809,116.1988
699-101-45,2016-03-16,116.3128,116.3579
699-101-45,2016-04-15,116.8414,116.7402
699-101-45,2016-06-15,116.6921,116.9316
699-101-45,2016-07-16,116.3282,116.7843
699-101-45,2016-08-16,116.0414,116.5172
699-101-45,2016-09-15,115.4505,116.1236
699-101-45,2016-10-16,115.6138,115.8825
699-101-45,2016-11-15,116.1085,116.0498
699-101-45,2016-12-16,116.3441,116.3722
699-101-45,2017-01-16,116.5182,116.6278
699-101-45,2017-02-14,116.3662,116.7029
699-101-45,2017-03-16,116.8219,116.8734
699-101-45,2017-04-15,117.6812,117.3961
699-101-45,2017-07-16,,117.646
699-101-45,2017-10-16,115.569,115.9208
699-101-45,2018-03-16,116.724,116.8268
699-101-45,2018-05-16,,117.7055
699-101-45,2018-06-15,117.5791,118.1115
699-101-45,2018-07-16,116.6791,117.4794
699-101-45,2018-08-16,116.1755,116.8666
699-101-45,2018-09-15,115.4972,116.3073
699-101-45,2018-10-16,115.3782,115.9036
699-101-45,2018-11-15,115.953,115.9337
699-101-45,2018-12-16,115.8938,116.0998
699-101-45,2019-01-16,116.0032,116.1939
699-101-45,2019-02-14,116.0028,116.2625
699-101-45,2019-03-16,115.6801,116.1364
699-101-45,2019-04-15,115.6313,115.9829
699-101-45,2019-05-16,116.7441,116.3408
699-101-45,2019-06-15,116.4723,116.6569
699-101-45,2019-07-16,115.9935,116.4337
699-101-45,2019-08-16,116.0012,116.2268
699-101-45,2019-09-15,115.2108,115.8984
699-101-45,2019-10-16,115.183,115.5452
699-101-45,2019-11-15,115.8973,115.6957
699-101-45,2019-12-16,115.8933,115.9522
699-101-45,2020-01-16,116.0946,116.0368
699-101-45,2020-02-14,116.4433,116.1978
699-101-45,2020-03-16,115.8218,116.1166
699-101-45,2020-04-15,115.7408,115.873
699-101-45,2020-05-16,117.3246,116.4067
699-101-45,2020-06-15,117.8123,117.2207
699-101-45,2020-07-16,117.1413,117.3024
699-101-45,2020-08-16,116.4836,116.8915
699-101-45,2020-09-15,115.6083,116.3169
699-101-45,2020-10-16,115.5139,115.8271
