ID,Date,Water Level (m)
199-H3-25,2022-10-03,116.44623789540002
199-H3-25,2022-10-04,116.4405150087
199-H3-25,2022-10-05,116.43223770750001
199-H3-25,2022-10-06,116.4237117403
199-H3-25,2022-10-07,116.41816810140001
199-H3-25,2022-10-08,116.41333777070001
199-H3-25,2022-10-09,116.40785453300002
199-H3-25,2022-10-10,116.4037777695
199-H3-25,2022-10-11,116.3885034795
199-H3-25,2022-10-12,116.37897486000001
199-H3-25,2022-10-13,116.3744573303
199-H3-25,2022-10-14,116.3729114482
199-H3-25,2022-10-15,116.3717100028
199-H3-25,2022-10-16,116.3646629887
199-H3-25,2022-10-17,116.3594111958
199-H3-25,2022-10-18,116.35193987470001
199-H3-25,2022-10-19,116.34595257400001
199-H3-25,2022-10-20,116.34230872810001
199-H3-25,2022-10-21,116.3426102261
199-H3-25,2022-10-22,116.32981082320002
199-H3-25,2022-10-23,116.3148042365
199-H3-25,2022-10-24,116.3161880158
199-H3-25,2022-10-25,116.30674999810002
199-H3-25,2022-10-26,116.30019494390001
199-H3-25,2022-10-27,116.29709671540002
199-H3-25,2022-10-28,116.28903370130001
199-H3-25,2022-10-29,116.2789373156
199-H3-25,2022-10-30,116.2734085611
199-H3-25,2022-10-31,116.27356993999999
199-H3-25,2022-11-01,116.28433848424348
199-H3-25,2022-11-02,116.29651614760002
199-H3-25,2022-11-03,116.2832038171
199-H3-25,2022-11-04,116.2972659556
199-H3-25,2022-11-05,116.29014681718401
199-H3-25,2022-11-06,116.29039575344001
199-H3-25,2022-11-07,116.28836683700001
199-H3-25,2022-11-08,116.30677173773914
199-H3-25,2022-11-09,116.32107247813335
199-H3-25,2022-11-10,
199-H3-25,2022-11-11,
199-H3-25,2022-11-12,
199-H3-25,2022-11-13,
199-H3-25,2022-11-14,
199-H3-25,2022-11-15,
199-H3-25,2022-11-16,
199-H3-25,2022-11-17,
199-H3-25,2022-11-18,
199-H3-25,2022-11-19,
199-H3-25,2022-11-20,
199-H3-25,2022-11-21,
199-H3-25,2022-11-22,
199-H3-25,2022-11-23,
199-H3-25,2022-11-24,
199-H3-25,2022-11-25,
199-H3-25,2022-11-26,
