ID,Date,Water Level (m)
199-H3-25,2022-10-01,116.35799274593927
199-H3-25,2022-11-01,116.29336924303284
199-H3-25,2022-12-01,116.16576631897098
199-H3-25,2023-01-01,116.10032740832841
199-H3-25,2023-02-01,116.18900433438621
199-H3-25,2023-03-01,115.92172766509071
199-H3-25,2023-04-01,115.78931821043004
199-H3-25,2023-05-01,115.9099847316664
199-H3-25,2023-06-01,116.1837195760012
199-H3-25,2023-07-01,115.99006886419355
199-H3-25,2023-08-01,115.93538550440711
199-H3-26,2022-10-01,116.30633625474886
199-H3-26,2022-11-01,116.1850135476923
199-H3-26,2022-12-01,116.1257162245387
199-H3-26,2023-01-01,116.05971463212704
199-H3-26,2023-02-01,116.01583778692678
199-H3-26,2023-03-01,115.95726573322315
199-H3-26,2023-04-01,115.82534592431043
199-H3-26,2023-05-01,115.92642080250212
199-H3-26,2023-06-01,116.21512886875509
199-H3-26,2023-07-01,116.0301372384129
199-H3-26,2023-08-01,115.97168847735148
199-H3-27,2023-02-01,114.8983471839444
199-H3-27,2023-03-01,114.85553646041991
199-H3-27,2023-04-01,114.73174966409582
199-H3-27,2023-05-01,114.82200690533446
199-H3-27,2023-06-01,115.13708665584637
199-H3-27,2023-07-01,114.94209735371936
199-H3-27,2023-08-01,114.88034248518694
199-H3-2A,2022-10-01,115.45903766666667
199-H3-2A,2022-11-01,115.40788166666665
199-H3-2A,2022-12-01,115.36383010752688
199-H3-2A,2023-01-01,115.30026132080538
199-H3-2A,2023-02-01,115.2543819940476
199-H3-2A,2023-03-01,115.20157330469799
199-H3-2A,2023-04-01,115.07916652777777
199-H3-2A,2023-05-01,115.18224543010753
199-H3-2A,2023-06-01,115.47540799445214
199-H3-2A,2023-07-01,115.29246975806453
199-H3-2A,2023-08-01,115.24021602564102
199-H4-12A,2021-02-01,115.368
199-H4-12A,2021-05-01,115.986
199-H4-12A,2021-11-01,114.89750000000001
199-H4-12A,2022-05-01,115.775
199-H4-12A,2022-10-01,113.5925
199-H4-12A,2022-11-01,115.638
199-H4-12A,2022-12-01,115.01
199-H4-12A,2023-01-01,114.286
199-H4-12A,2023-02-01,114.671
199-H4-12A,2023-04-01,113.575
199-H4-12A,2023-05-01,113.503
199-H4-12A,2023-06-01,114.945
199-H4-12A,2023-07-01,114.811
199-H4-12A,2023-08-01,114.572
199-H4-15A,2022-12-01,114.763
199-H4-15A,2023-01-01,114.382
199-H4-15A,2023-02-01,114.776
199-H4-15A,2023-03-01,114.191
199-H4-15A,2023-04-01,113.734
199-H4-15A,2023-05-01,113.6
199-H4-15A,2023-06-01,115.37
199-H4-15A,2023-07-01,114.867
199-H4-15A,2023-08-01,114.636
199-H4-17,2022-10-01,114.98433589725472
199-H4-17,2022-11-01,115.06166168262759
199-H4-17,2022-12-01,115.07705326949333
199-H4-17,2023-01-01,115.07028570413314
199-H4-17,2023-02-01,115.022026332027
199-H4-17,2023-03-01,114.9035571070094
199-H4-17,2023-04-01,114.75046179630708
199-H4-17,2023-05-01,114.6060973702366
199-H4-17,2023-06-01,114.72453051160414
199-H4-17,2023-07-01,114.8845131414387
199-H4-17,2023-08-01,115.12921919818936
199-H4-18,2022-10-01,114.7
199-H4-18,2022-12-01,114.8445
199-H4-18,2023-02-01,114.775
199-H4-18,2023-04-01,114.422
199-H4-18,2023-06-01,115.356
199-H4-4,2022-10-01,114.9305574799615
199-H4-4,2022-11-01,115.46187665157606
199-H4-4,2022-12-01,115.36627871432258
199-H4-4,2023-01-01,115.06379622686407
199-H4-4,2023-02-01,115.18975061423707
199-H4-4,2023-03-01,114.95393830781265
199-H4-4,2023-04-01,114.93064983031545
199-H4-4,2023-05-01,116.74795092006809
199-H4-4,2023-06-01,115.48724361712024
199-H4-4,2023-07-01,115.3344324679871
199-H4-4,2023-08-01,115.38119332466272
199-H4-5,2021-01-01,115.52515026881721
199-H4-5,2021-02-01,115.62884553571428
199-H4-5,2021-03-01,114.67727110215054
199-H4-5,2021-04-01,114.50355888888888
199-H4-5,2021-05-01,115.61081586021506
199-H4-5,2021-06-01,116.09673819444444
199-H4-5,2021-07-01,115.66637029569893
199-H4-5,2021-08-01,115.25970403225807
199-H4-5,2021-09-01,115.13914102564101
199-H4-5,2021-10-01,114.168264
199-H4-5,2022-02-01,115.32141703125
199-H4-5,2022-03-01,114.95688669354838
199-H4-5,2022-04-01,114.52577875
199-H4-5,2022-05-01,115.12311653225807
199-H4-5,2022-06-01,116.96869541666666
199-H4-5,2022-07-01,116.38217782258064
199-H4-5,2022-08-01,115.54809879032258
199-H4-5,2022-09-01,114.58426083333333
199-H4-5,2022-10-01,114.05145309139785
199-H4-5,2022-11-01,114.75871513888889
199-H4-5,2022-12-01,114.75592123655915
199-H4-5,2023-01-01,114.53861101208054
199-H4-5,2023-02-01,114.73244880952382
199-H4-5,2023-03-01,114.42608386577182
199-H4-5,2023-04-01,113.85773583333334
199-H4-5,2023-05-01,115.95108252688172
199-H4-5,2023-06-01,115.1686875
199-H4-5,2023-07-01,114.85938306451612
199-H4-5,2023-08-01,114.88328161764706
199-H4-64,2022-02-01,115.337
199-H4-64,2022-10-01,113.374
199-H4-64,2022-11-01,115.168
199-H4-64,2022-12-01,114.443
199-H4-64,2023-01-01,113.776
199-H4-64,2023-02-01,114.187
199-H4-64,2023-04-01,113.013
199-H4-64,2023-05-01,112.901
199-H4-64,2023-06-01,114.762
199-H4-64,2023-07-01,114.243
199-H4-65,2021-02-01,114.905
199-H4-65,2021-05-01,114.785
199-H4-65,2021-08-01,114.701
199-H4-65,2021-11-01,114.471
199-H4-65,2022-10-01,114.701
199-H4-65,2022-11-01,114.817
199-H4-65,2022-12-01,114.983
199-H4-65,2023-02-01,114.764
199-H4-65,2023-04-01,114.422
199-H4-65,2023-06-01,115.353
199-H4-8,2021-01-01,114.69213860589812
199-H4-8,2021-02-01,114.88213020833334
199-H4-8,2021-03-01,114.62028204419889
199-H4-8,2021-04-01,
199-H4-8,2021-05-01,114.74197929292929
199-H4-8,2021-06-01,115.1453126388889
199-H4-8,2021-07-01,115.08504784946236
199-H4-8,2021-08-01,114.60645201612903
199-H4-8,2021-09-01,114.47208964497041
199-H4-8,2021-10-01,
199-H4-8,2021-11-01,
199-H4-8,2021-12-01,114.75885544554454
199-H4-8,2022-01-01,115.11421344086021
199-H4-8,2022-02-01,115.06193990490341
199-H4-8,2022-03-01,114.86455282258065
199-H4-8,2022-04-01,114.48198902077151
199-H4-8,2022-05-01,114.90626545454545
199-H4-8,2022-06-01,116.22663861111111
199-H4-8,2022-07-01,116.52084865591398
199-H4-8,2022-08-01,115.81136048387097
199-H4-8,2022-09-01,115.17495902777777
199-H4-8,2022-10-01,114.63447311827956
199-H4-8,2022-11-01,114.63732624999999
199-H4-8,2022-12-01,114.73833615591398
199-H4-8,2023-01-01,114.6246269261745
199-H4-8,2023-02-01,114.77950014880952
199-H4-8,2023-03-01,114.5730856
199-H4-8,2023-04-01,114.30085888157895
199-H4-8,2023-05-01,115.61663347921225
199-H4-8,2023-06-01,115.3650558779473
199-H4-8,2023-07-01,114.77137473118279
199-H4-8,2023-08-01,114.72240588235294
199-H4-84,2021-01-01,114.69674629213483
199-H4-84,2021-02-01,114.87075818452381
199-H4-84,2021-03-01,114.43604034090909
199-H4-84,2021-04-01,
199-H4-84,2021-05-01,114.6548356238698
199-H4-84,2021-06-01,115.05563305555556
199-H4-84,2021-07-01,115.02416962365591
199-H4-84,2021-08-01,114.66061384408603
199-H4-84,2021-09-01,114.37571767810026
199-H4-84,2021-10-01,
199-H4-84,2021-11-01,
199-H4-84,2021-12-01,114.7235513245033
199-H4-84,2022-01-01,114.99748143712574
199-H4-84,2022-02-01,114.96399686775631
199-H4-84,2022-03-01,114.82648198924731
199-H4-84,2022-04-01,114.28940973782773
199-H4-84,2022-05-01,114.78564471057884
199-H4-84,2022-06-01,115.93587375
199-H4-84,2022-07-01,116.38053212365593
199-H4-84,2022-08-01,115.81406478494624
199-H4-84,2022-09-01,115.27189874999999
199-H4-84,2022-10-01,114.81265591397849
199-H4-84,2022-11-01,114.88323125000001
199-H4-84,2022-12-01,114.93450621301776
199-H4-84,2023-01-01,114.7793784
199-H4-84,2023-02-01,114.78471116071428
199-H4-84,2023-03-01,114.63108742550337
199-H4-84,2023-04-01,114.21899869888476
199-H4-84,2023-05-01,115.3732055
199-H4-84,2023-06-01,115.32488092094314
199-H4-84,2023-07-01,114.9354318548387
199-H4-84,2023-08-01,114.89187594936708
199-H4-85,2021-02-01,115.114
199-H4-85,2021-06-01,116.168
199-H4-85,2021-07-01,115.292
199-H4-85,2021-09-01,114.232
199-H4-85,2021-10-01,114.048
199-H4-85,2021-12-01,115.528
199-H4-85,2022-06-01,116.483
199-H4-85,2022-10-01,114.182
199-H4-85,2022-12-01,115.018
199-H4-85,2023-02-01,114.629
199-H4-85,2023-04-01,113.868
199-H4-85,2023-06-01,115.396
199-H4-85,2023-08-01,114.876
199-H4-86,2022-10-01,116.31617385838882
199-H4-86,2022-11-01,116.20571543695726
199-H4-86,2022-12-01,116.15907104997419
199-H4-86,2023-01-01,116.09714534837684
199-H4-86,2023-02-01,116.0502115640931
199-H4-86,2023-03-01,115.99486461408583
199-H4-86,2023-04-01,115.86842116450055
199-H4-86,2023-05-01,115.95605910668596
199-H4-86,2023-06-01,116.2850552485887
199-H4-86,2023-07-01,116.08797624602609
199-H4-86,2023-08-01,116.02430459386508
199-H4-88,2022-10-01,114.98661787878788
199-H4-88,2022-11-01,115.02470722222222
199-H4-88,2022-12-01,115.01586377049182
199-H4-88,2023-01-01,114.92528317327766
199-H4-88,2023-02-01,114.92110580357142
199-H4-88,2023-03-01,114.85179958120806
199-H4-88,2023-04-01,114.68224402777778
199-H4-88,2023-05-01,115.15946102150536
199-H4-88,2023-06-01,115.35023972222223
199-H4-88,2023-07-01,115.01593736559138
