ID,Date,Water Level (m)
199-H3-25,2022-10-03,116.44624302620001
199-H3-25,2022-10-04,116.4402597377231
199-H3-25,2022-10-05,116.43217153626668
199-H3-25,2022-10-06,116.42379972045715
199-H3-25,2022-10-07,116.41772892016
199-H3-25,2022-10-08,116.41266281534546
199-H3-25,2022-10-09,116.4072157992
199-H3-25,2022-10-10,116.4011842136
199-H3-25,2022-10-11,116.38866473648
199-H3-25,2022-10-12,116.37883273723077
199-H3-25,2022-10-13,116.37368141291428
199-H3-25,2022-10-14,116.37221841645714
199-H3-25,2022-10-15,116.37059184400002
199-H3-25,2022-10-16,116.36436312053335
199-H3-25,2022-10-17,116.35919153660001
199-H3-25,2022-10-18,116.35110608160001
199-H3-25,2022-10-19,116.34510782080001
199-H3-25,2022-10-20,116.335773524
199-H3-25,2022-10-21,116.34222725759999
199-H3-25,2022-10-22,116.33003416177145
199-H3-25,2022-10-23,116.31507659816002
199-H3-25,2022-10-24,116.3150889578
199-H3-25,2022-10-25,116.30710407409998
199-H3-25,2022-10-26,116.30001196752943
199-H3-25,2022-10-27,116.29673157007998
199-H3-25,2022-10-28,116.28832809184
199-H3-25,2022-10-29,116.2781904794
199-H3-25,2022-10-30,116.27303431261537
199-H3-25,2022-11-01,116.28913870836367
199-H3-25,2022-11-02,116.29500209424003
199-H3-25,2022-11-03,116.2861547401143
199-H3-25,2022-11-04,116.29891024999999
199-H3-25,2022-11-05,116.29098958173336
199-H3-25,2022-11-06,116.28929797560002
199-H3-25,2022-11-07,116.28862703229093
199-H3-25,2022-11-08,116.3026690346353
199-H3-25,2022-11-09,114.6198566104
199-H3-25,2022-11-10,113.94561045267203
199-H3-25,2022-11-11,113.95325416746667
199-H3-25,2022-11-12,113.94084230705883
199-H3-25,2022-11-13,113.94432335390002
199-H3-25,2022-11-14,113.94020502584002
199-H3-25,2022-11-15,113.95336671275001
199-H3-25,2022-11-16,113.95663070800002
199-H3-25,2022-11-17,114.98180491853914
199-H3-25,2022-11-18,116.55271322220001
199-H3-25,2022-11-19,116.4240255065
199-H3-25,2022-11-20,116.5073042325
199-H3-25,2022-11-21,116.68306355840001
199-H3-25,2022-11-22,116.5432925019
199-H3-25,2022-11-23,116.48172149220001
199-H3-25,2022-11-24,116.52585380170001
199-H3-25,2022-11-25,116.61055896629999
199-H3-25,2022-11-26,116.89790986480004
199-H3-25,2022-11-27,117.1193947279
199-H3-25,2022-11-28,117.34148174879998
199-H3-25,2022-11-29,117.06318767749998
199-H3-25,2022-11-30,116.28055010384
