ID,Date,Water Level (m),TYPE
199-D2-11,4/1/2023 0:00:00,118.7814,XD
199-D2-11,4/1/2023 1:00:00,118.7814,XD
199-D2-11,4/1/2023 2:00:00,118.7814,XD
199-D2-11,4/1/2023 3:00:00,118.7814,XD
199-D2-11,4/1/2023 4:00:00,118.7814,XD
199-D2-11,4/1/2023 5:00:00,118.7814,XD
199-D2-11,4/1/2023 6:00:00,118.7783,XD
199-D2-11,4/1/2023 7:00:00,118.7783,XD
199-D2-11,4/1/2023 8:00:00,118.7783,XD
199-D2-11,4/1/2023 9:00:00,118.7783,XD
199-D2-11,4/1/2023 10:00:00,118.7814,XD
199-D2-11,4/1/2023 11:00:00,118.7814,XD
199-D2-11,4/1/2023 12:00:00,118.7783,XD
199-D2-11,4/1/2023 13:00:00,118.7783,XD
199-D2-11,4/1/2023 14:00:00,118.7814,XD
199-D2-11,4/1/2023 15:00:00,118.7814,XD
199-D2-11,4/1/2023 16:00:00,118.7783,XD
199-D2-11,4/1/2023 17:00:00,118.7814,XD
199-D2-11,4/1/2023 18:00:00,118.7783,XD
199-D2-11,4/1/2023 19:00:00,118.7783,XD
199-D2-11,4/1/2023 20:00:00,118.7753,XD
199-D2-11,4/1/2023 21:00:00,118.7753,XD
199-D2-11,4/1/2023 22:00:00,118.7753,XD
199-D2-11,4/1/2023 23:00:00,118.7753,XD
199-D2-11,4/2/2023 0:00:00,118.7753,XD
199-D2-11,4/2/2023 1:00:00,118.7753,XD
199-D2-11,4/2/2023 2:00:00,118.7753,XD
199-D2-11,4/2/2023 3:00:00,118.7753,XD
199-D2-11,4/2/2023 4:00:00,118.7753,XD
199-D2-11,4/2/2023 5:00:00,118.7753,XD
199-D2-11,4/2/2023 6:00:00,118.7753,XD
199-D2-11,4/2/2023 7:00:00,118.7753,XD
199-D2-11,4/2/2023 8:00:00,118.7753,XD
199-D2-11,4/2/2023 9:00:00,118.7753,XD
199-D2-11,4/2/2023 10:00:00,118.7753,XD
199-D2-11,4/2/2023 11:00:00,118.7753,XD
199-D2-11,4/2/2023 12:00:00,118.7753,XD
199-D2-11,4/2/2023 13:00:00,118.7753,XD
199-D2-11,4/2/2023 14:00:00,118.7753,XD
199-D2-11,4/2/2023 15:00:00,118.7753,XD
199-D2-11,4/2/2023 16:00:00,118.7723,XD
199-D2-11,4/2/2023 17:00:00,118.7723,XD
199-D2-11,4/2/2023 18:00:00,118.7723,XD
199-D2-11,4/2/2023 19:00:00,118.7723,XD
