ID,Date,Water Level (m)
199-H3-25,2022-10-01,116.35361974310928
199-H3-25,2022-11-01,115.92902136572229
199-H3-25,2022-12-01,116.16576631897094
199-H3-25,2023-01-01,116.10032740832831
199-H3-25,2023-02-01,116.51698837842132
199-H3-25,2023-03-01,115.92134515670317
199-H3-25,2023-04-01,115.7896412982882
199-H3-25,2023-05-01,115.9993181816
199-H3-25,2023-06-01,116.18209120127902
199-H3-25,2023-07-01,115.99413913084378
199-H3-25,2023-08-01,115.92687701810685
199-H3-25,2023-09-01,115.84593182055652
199-H3-25,2023-10-01,115.71039667660689
199-H3-26,2022-10-01,116.30593033124705
199-H3-26,2022-11-01,116.18473633306931
199-H3-26,2022-12-01,116.12600294016386
199-H3-26,2023-01-01,116.05949620017223
199-H3-26,2023-02-01,116.01535164283543
199-H3-26,2023-03-01,115.95712580685459
199-H3-26,2023-04-01,115.82388400716765
199-H3-26,2023-05-01,115.91224034573005
199-H3-26,2023-06-01,116.21221209358903
199-H3-26,2023-07-01,116.02934565490189
199-H3-26,2023-08-01,115.96327136445586
199-H3-26,2023-09-01,115.87941105182662
199-H3-26,2023-10-01,115.76105666654877
199-H3-27,2022-10-01,
199-H3-27,2023-02-01,114.89837617010917
199-H3-27,2023-03-01,114.85512463397863
199-H3-27,2023-04-01,114.73140217906551
199-H3-27,2023-05-01,114.82309243611905
199-H3-27,2023-06-01,115.13720006415288
199-H3-27,2023-07-01,114.94272982768189
199-H3-27,2023-08-01,114.86899363355948
199-H3-27,2023-09-01,114.77739965315783
199-H3-27,2023-10-01,114.649780212486
199-H3-2A,2022-10-01,115.4613191111111
199-H3-2A,2022-11-01,115.41731
199-H3-2A,2022-12-01,115.36397333333333
199-H3-2A,2023-01-01,115.29853393103448
199-H3-2A,2023-02-01,115.24814
199-H3-2A,2023-03-01,115.19440683870964
199-H3-2A,2023-04-01,115.0644109375
199-H3-2A,2023-05-01,115.16183484848487
199-H3-2A,2023-06-01,115.53560581818184
199-H3-2A,2023-10-01,114.97971197183098
199-H4-12A,2021-02-01,115.368
199-H4-12A,2021-05-01,115.986
199-H4-12A,2021-11-01,114.89750000000001
199-H4-12A,2022-05-01,115.775
199-H4-12A,2022-10-01,113.5925
199-H4-12A,2022-11-01,115.638
199-H4-12A,2022-12-01,115.01
199-H4-12A,2023-01-01,114.286
199-H4-12A,2023-02-01,114.671
199-H4-12A,2023-04-01,113.575
199-H4-12A,2023-05-01,113.503
199-H4-12A,2023-06-01,114.945
199-H4-12A,2023-07-01,114.811
199-H4-12A,2023-08-01,114.572
199-H4-15A,2022-12-01,114.763
199-H4-15A,2023-01-01,114.382
199-H4-15A,2023-02-01,114.776
199-H4-15A,2023-03-01,114.191
199-H4-15A,2023-04-01,113.734
199-H4-15A,2023-05-01,113.6
199-H4-15A,2023-06-01,115.37
199-H4-15A,2023-07-01,114.867
199-H4-15A,2023-08-01,114.636
199-H4-17,2022-10-01,114.98433589725467
199-H4-17,2022-11-01,115.1275106799509
199-H4-17,2022-12-01,115.95839686863101
199-H4-17,2023-01-01,115.10333568814592
199-H4-17,2023-02-01,114.99378051064116
199-H4-17,2023-03-01,114.90033693649242
199-H4-17,2023-04-01,114.74523067317946
199-H4-17,2023-05-01,114.60631989117228
199-H4-17,2023-06-01,114.71989483844325
199-H4-17,2023-07-01,114.87442988577556
199-H4-17,2023-08-01,115.12999976679379
199-H4-17,2023-09-01,115.13049715717375
199-H4-17,2023-10-01,115.11956635108359
199-H4-18,2022-10-01,114.7
199-H4-18,2022-12-01,114.8445
199-H4-18,2023-02-01,114.775
199-H4-18,2023-04-01,114.422
199-H4-18,2023-06-01,115.356
199-H4-4,2022-10-01,114.93058132816077
199-H4-4,2022-11-01,115.46400337504966
199-H4-4,2022-12-01,115.36357733069823
199-H4-4,2023-01-01,115.06459584823428
199-H4-4,2023-02-01,115.18774421629533
199-H4-4,2023-03-01,114.95569463064697
199-H4-4,2023-04-01,114.93076204806464
199-H4-4,2023-05-01,116.76276760908173
199-H4-4,2023-06-01,115.49064655296006
199-H4-4,2023-07-01,115.32891795242661
199-H4-4,2023-08-01,115.41338091057234
199-H4-4,2023-09-01,114.95742865873024
199-H4-4,2023-10-01,114.93661248522977
199-H4-5,2022-10-01,114.06424934823086
199-H4-5,2022-11-01,114.63351972789118
199-H4-5,2022-12-01,114.6278610169491
199-H4-5,2023-01-01,114.53102483054892
199-H4-5,2023-02-01,114.74714705882347
199-H4-5,2023-03-01,114.3693791566265
199-H4-5,2023-04-01,113.84091448275865
199-H4-5,2023-05-01,115.95562628062368
199-H4-5,2023-06-01,115.37741495327103
199-H4-5,2023-07-01,114.7614848484849
199-H4-5,2023-08-01,114.82514146341462
199-H4-5,2023-09-01,114.01574124087587
199-H4-5,2023-10-01,113.78230582010579
199-H4-64,2022-02-01,115.337
199-H4-64,2022-10-01,113.374
199-H4-64,2022-11-01,115.168
199-H4-64,2022-12-01,114.443
199-H4-64,2023-01-01,113.776
199-H4-64,2023-02-01,114.187
199-H4-64,2023-04-01,113.013
199-H4-64,2023-05-01,112.901
199-H4-64,2023-06-01,114.762
199-H4-64,2023-07-01,114.243
199-H4-65,2021-02-01,114.905
199-H4-65,2021-05-01,114.785
199-H4-65,2021-08-01,114.701
199-H4-65,2021-11-01,114.471
199-H4-65,2022-11-01,114.817
199-H4-65,2022-12-01,114.983
199-H4-65,2023-02-01,114.764
199-H4-65,2023-04-01,114.422
199-H4-65,2023-06-01,115.353
199-H4-8,2022-10-01,114.64701634782607
199-H4-8,2022-11-01,114.65380871559645
199-H4-8,2022-12-01,114.74460348837208
199-H4-8,2023-01-01,114.62867340206192
199-H4-8,2023-02-01,114.78121195652179
199-H4-8,2023-03-01,114.50011813711599
199-H4-8,2023-04-01,114.3010175257732
199-H4-8,2023-05-01,115.6612716417911
199-H4-8,2023-06-01,115.36769673446331
199-H4-8,2023-07-01,114.82336860465115
199-H4-8,2023-08-01,114.72041188118808
199-H4-8,2023-09-01,114.4543821752266
199-H4-84,2022-10-01,114.8236782340862
199-H4-84,2022-11-01,114.89502413793102
199-H4-84,2022-12-01,114.94243969465649
199-H4-84,2023-01-01,114.79976585365853
199-H4-84,2023-02-01,114.81029999999998
199-H4-84,2023-03-01,114.57594868105515
199-H4-84,2023-04-01,114.21932860169495
199-H4-84,2023-05-01,115.47467823129256
199-H4-84,2023-06-01,115.34781303677754
199-H4-84,2023-07-01,114.94800384615385
199-H4-84,2023-08-01,114.85974074074076
199-H4-84,2023-09-01,114.37281198630137
199-H4-84,2023-10-01,114.06091249999996
199-H4-85,2021-02-01,115.114
199-H4-85,2021-06-01,116.168
199-H4-85,2021-07-01,115.292
199-H4-85,2021-09-01,114.232
199-H4-85,2021-10-01,114.048
199-H4-85,2021-12-01,115.528
199-H4-85,2022-06-01,116.483
199-H4-85,2022-10-01,114.182
199-H4-85,2022-12-01,115.018
199-H4-85,2023-02-01,114.629
199-H4-85,2023-04-01,113.868
199-H4-85,2023-06-01,115.396
199-H4-85,2023-08-01,114.876
199-H4-86,2022-10-01,116.29343648265836
199-H4-86,2022-11-01,116.20696102068118
199-H4-86,2022-12-01,116.1584519540289
199-H4-86,2023-01-01,116.09623139090164
