ID,Date,index,Water Level (m)
199-D2-11,2023-04-01,65.5,118.55228939393938
199-D2-11,2023-05-01,147.5,118.2952375
199-D2-11,2023-06-01,164.0,118.319624
199-D2-11,2023-07-01,165.5,118.24340000000001
199-D2-11,2023-08-01,174.0,118.21589999999999
199-D2-11,2023-09-01,194.0,118.15753199999999
199-D2-11,2023-10-01,227.5,118.05499104761904
199-D5-103,2023-05-01,9303.5,117.71962614782859
199-D5-103,2023-06-01,9697.0,117.59524344146358
199-D5-103,2023-07-01,10037.5,117.55877950010154
199-D5-103,2023-08-01,10386.0,117.4860901097688
199-D5-103,2023-09-01,10763.0,116.97432833374614
199-D5-103,2023-10-01,11193.0,117.13964261629367
199-D5-104,2023-05-01,11497.0,117.70277726081834
199-D5-104,2023-06-01,11647.0,117.78775338846712
199-D5-104,2023-07-01,11758.5,117.72445086401628
199-D5-104,2023-08-01,11844.5,117.70151297769728
199-D5-104,2023-09-01,11978.5,117.6424569406639
199-D5-104,2023-10-01,12150.5,117.46263980430393
199-D5-106,2023-04-01,476.5,118.32529802631575
199-D5-106,2023-05-01,902.0,118.04841645569616
199-D5-106,2023-06-01,1180.0,117.94161806211176
199-D5-106,2023-07-01,1352.5,117.88725706521736
199-D5-106,2023-08-01,1537.5,117.82882311827956
199-D5-106,2023-09-01,1729.5,117.76917171717173
199-D5-106,2023-10-01,1954.5,117.68962595238096
199-D5-106,2023-11-01,2083.0,117.65
199-D5-128,2023-05-01,19930.5,115.89103515389354
199-D5-128,2023-06-01,20521.0,115.81746260940103
199-D5-128,2023-07-01,21105.5,115.7663686090675
199-D5-128,2023-08-01,21679.0,115.7059308926602
199-D5-128,2023-09-01,22287.0,115.65745906040968
199-D5-128,2023-10-01,22951.0,115.5867001279697
199-D5-133,2023-04-01,2160.0,118.48196241610738
199-D5-133,2023-05-01,2262.5,118.14341785714284
199-D5-133,2023-06-01,2298.5,118.034083
199-D5-133,2023-07-01,2315.5,117.98492222222222
199-D5-133,2023-08-01,2333.5,117.93005555555558
199-D5-133,2023-09-01,2431.5,117.87037078651684
199-D5-133,2023-10-01,2631.0,117.80494501357464
199-D5-133,2023-11-01,2743.5,117.769925
199-D5-146,2023-05-01,12308.0,118.12583475689823
199-D5-146,2023-06-01,12459.5,118.24231753470852
199-D5-146,2023-07-01,12588.5,118.17392801050171
199-D5-146,2023-08-01,12686.5,118.11904139264618
199-D5-146,2023-09-01,12804.0,118.04972654267017
199-D5-146,2023-10-01,12980.0,117.91746248864001
199-D5-151,2023-05-01,13163.5,118.37321287299764
199-D5-151,2023-06-01,13303.5,118.43701067770186
199-D5-151,2023-07-01,13419.0,118.40445409192726
199-D5-151,2023-08-01,13534.0,118.33507388922573
199-D5-151,2023-09-01,13696.0,117.87188285640185
199-D5-151,2023-10-01,13896.5,117.88252417685163
199-D5-160,2023-05-01,14182.5,118.20131754760622
199-D5-160,2023-06-01,14503.5,118.08972876566509
199-D5-160,2023-07-01,14786.0,118.05118950724693
199-D5-160,2023-08-01,15069.0,117.9886511360988
199-D5-160,2023-09-01,15383.5,117.72043344745933
199-D5-160,2023-10-01,15729.5,117.67520513844214
199-D5-17,2023-04-01,2908.0,118.5675987692308
199-D5-17,2023-05-01,3313.0,118.30369917525763
199-D5-17,2023-06-01,3642.5,118.16976356321841
199-D5-17,2023-07-01,3797.0,118.1242185185185
199-D5-17,2023-08-01,3952.0,118.076208
199-D5-17,2023-09-01,4128.0,118.02174180790954
199-D5-17,2023-10-01,4334.0,117.95327200000001
199-D5-33,2023-04-01,4464.0,117.463812
199-D5-33,2023-05-01,4571.5,117.80127263157897
199-D5-33,2023-06-01,4667.0,117.950576
199-D5-33,2023-08-01,4668.5,117.5007
199-D5-33,2023-09-01,4698.5,117.34104137931034
199-D5-33,2023-10-01,4744.0,117.20416436363638
199-D5-34,2023-05-01,15988.5,117.90699898740611
199-D5-34,2023-06-01,16153.5,118.02876338862353
199-D5-34,2023-07-01,16291.0,117.91393117999426
199-D5-34,2023-08-01,16407.5,117.86894992200001
199-D5-34,2023-09-01,16552.5,117.77931469411838
199-D5-34,2023-10-01,16755.0,117.6384767035981
199-D5-36,2023-04-01,4858.5,117.20664591836734
199-D5-36,2023-05-01,5119.0,117.6327286153846
199-D5-36,2023-06-01,5284.5,117.74381333333334
199-D5-36,2023-07-01,5288.5,117.57695
199-D5-36,2023-08-01,5315.0,117.49649999999998
199-D5-36,2023-09-01,5531.5,117.2546463350785
199-D5-36,2023-10-01,5835.5,117.04756449557524
199-D5-36,2023-11-01,5949.0,117.0658
199-D5-37,2023-04-01,6049.5,117.19298200000003
199-D5-37,2023-05-01,6471.5,117.92509968944103
199-D5-37,2023-06-01,7024.5,117.8180533766234
199-D5-37,2023-07-01,7405.0,117.54014147157186
199-D5-37,2023-08-01,7636.5,117.46522926829265
199-D5-37,2023-09-01,7957.5,117.11155251046031
199-D5-37,2023-10-01,8282.0,116.88799071345034
199-D5-38,2023-04-01,8388.5,117.41617857142856
199-D5-38,2023-05-01,8454.5,117.59946666666666
199-D5-38,2023-06-01,8507.5,117.765726
199-D5-38,2023-10-01,8528.0,117.30284335999998
199-D5-39,2023-05-01,16975.5,117.93139578050427
199-D5-39,2023-06-01,17200.0,118.07436089059729
199-D5-39,2023-07-01,17473.0,117.95595564643676
199-D5-39,2023-08-01,17902.5,117.90286536709482
199-D5-39,2023-09-01,18528.0,117.83382090302199
199-D5-39,2023-10-01,19249.0,117.68448534023902
199-D5-41,2023-04-01,8557.5,117.29440882352941
199-D5-41,2023-05-01,8653.0,117.61512420382167
199-D5-41,2023-06-01,8732.5,116.992892
199-D5-41,2023-09-01,8773.5,117.15190375
199-D5-41,2023-10-01,8834.0,116.97279375609754
199-D5-43,2023-04-01,8879.5,118.17562399999998
199-D5-43,2023-05-01,8914.0,118.06325789473685
199-D5-43,2023-06-01,8924.0,118.212808
199-D5-43,2023-08-01,8925.0,117.9303
199-D5-43,2023-09-01,8938.0,118.00646000000002
199-D5-43,2023-10-01,9008.0,117.86783982608694
