NAME,X,Y,Row,Col
199-H3-25,577410.36,152978.49,186,567
199-H3-26,577440.83,152846.5,199,570
199-H3-27,577567.05,152811.14,202,582
199-H3-2A,577624.63,152750.04,208,588
199-H4-12A,578009.1510000001,152912.729,192,626
199-H4-15A,577904.313,153053.42,178,616
199-H4-17,577779.175,153037.635,180,603
199-H4-18,578018.292,152756.478,208,627
199-H4-4,578060.8589999999,152853.956,198,632
199-H4-5,577944.937,152939.783,190,620
199-H4-64,577946.11,153010.582,182,620
199-H4-65,577998.259,152787.285,205,625
199-H4-8,577860.691,152921.704,191,612
199-H4-84,577902.58,152848.73,199,616
199-H4-85,577980.02,152880.81,195,624
199-H4-86,577704.55,152745.65,209,596
199-H4-88,577850.51,152833.59,200,611
199-H4-89,577923.32,152893.98,194,618
