wellID,scnLen,scnLenL1,scnLenL2,scnLenL3,scnLenL4,scnLenL5,scnLenL6,fracL1,fracL2,fracL3,fracLenL4,fracL5,fracL6
199-H3-25,6.099000,[2.1349990844726534],[1.779998779296875],[1.7700042724609375],[0.41399786376952363],[],[],[0.35005724],[0.29185092],[0.29021221],[0.06787963],[],[],
199-H3-26,4.578000,[1.024002441406239],[1.6299972534179688],[1.6200027465820312],[0.3039975585937498],[],[],[0.223679],[0.35605008],[0.35386692],[0.06640401],[],[],
199-H3-27,6.093000,[1.9240030517578077],[1.7299957275390625],[1.7300033569335938],[0.7089978637695253],[],[],[0.3157727],[0.28393168],[0.28393293],[0.11636269],[],[],
199-H3-2A,4.572000,[1.0210003051757752],[1.4000015258789062],[1.4000015258789062],[0.750996643066415],[],[],[0.2233159],[0.30621206],[0.30621206],[0.16425998],[],[],
199-H4-12A,4.572000,[0.6380033569336092],[1.7099990844726562],[1.6999969482421875],[0.5240006103515498],[],[],[0.13954579],[0.37401555],[0.37182785],[0.11461081],[],[],
199-H4-15A,4.572000,[0.8020033569335965],[1.7599945068359375],[1.75],[0.26000213623046875],[],[],[0.17541631],[0.38495068],[0.38276465],[0.05686836],[],[],
199-H4-17,3.048000,[1.2940009155273344],[1.1399993896484375],[0.6139996948242157],[],[],[],[0.42454098],[0.37401555],[0.20144347],[],[],[],
199-H4-18,3.048000,[0.9620015258788897],[0.9300003051757812],[0.9300003051757812],[0.22599786376953546],[],[],[0.3156173],[0.30511821],[0.30511821],[0.07414628],[],[],
199-H4-4,3.048000,[0.6450036621093602],[1.4899978637695312],[0.9129984741210961],[],[],[],[0.21161537],[0.48884444],[0.29954018],[],[],[],
199-H4-5,7.924000,[1.6939993896484253],[1.279998779296875],[1.279998779296875],[1.2800064086914062],[2.389996643066411],[],[0.21378084],[0.16153442],[0.16153442],[0.16153539],[0.30161492],[],
199-H4-64,6.096000,[3.4210006103515695],[1.8300018310546875],[0.8449975585937466],[],[],[],[0.56118776],[0.30019715],[0.13861509],[],[],[],
199-H4-65,3.048000,[0.7250036621093727],[0.9799957275390625],[0.9800033569335938],[0.36299725341797284],[],[],[0.23786209],[0.32152091],[0.32152341],[0.11909359],[],[],
199-H4-8,3.048000,[0.8239969482422111],[0.970001220703125],[0.970001220703125],[0.28400061035154067],[],[],[0.27034021],[0.31824187],[0.31824187],[0.09317605],[],[],
199-H4-84,3.048000,[0.3640015258789049],[0.8600006103515625],[0.8600006103515625],[0.8600006103515625],[0.10399664306640943],[],[0.11942307],[0.28215243],[0.28215243],[0.28215243],[0.03411963],[],
199-H4-85,6.096000,[3.532996337890623],[1.2400054931640625],[1.2299957275390625],[0.0930024414062558],[],[],[0.57955977],[0.20341297],[0.20177095],[0.01525631],[],[],
199-H4-86,7.626000,[3.2289975585937327],[1.779998779296875],[1.7800064086914062],[0.8369972534179766],[],[],[0.42341956],[0.23341185],[0.23341285],[0.10975574],[],[],
199-H4-88,4.572000,[3.166003051757798],[0.7899932861328125],[0.6160036621093923],[],[],[],[0.69247661],[0.17278943],[0.13473396],[],[],[],
199-H4-89,4.557000,[2.5369972534179794],[0.910003662109375],[0.9099960327148438],[0.20000305175780397],[],[],[0.55672531],[0.19969358],[0.19969191],[0.04388919],[],[],
