,NAME,X,Y,Row,Col,Ztop,Zbot
0,199-D2-10_I_DX,574470.87,153465.19,137,273,117.288624,112.716624
1,199-D2-12_I_DX,574343.45,153300.01,153,260,116.962168,112.390168
2,199-D4-101_E_DX,572800.1,151425.94,341,106,118.85524,112.756192
3,199-D4-14_E_DX,572839.812,151641.64,319,109,120.277816,114.169624
4,199-D4-34_E_DX,572804.601,151590.028,324,106,118.219688,113.641592
5,199-D4-38_E_DX,572671.317,151537.856,330,93,119.860656,113.764656
6,199-D4-39_E_DX,572747.453,151650.84,318,100,120.568792,114.466696
7,199-D4-83_E_DX,572859.432,151723.418,311,111,119.4184,114.8464
8,199-D4-84_E_DX,572568.043,151433.521,340,82,120.478488,112.864584
9,199-D4-85_E_DX,572486.163,151324.202,351,74,119.5336,110.3896
10,199-D4-95_E_DX,572612.82,151226.7,361,87,119.243032,108.565888
11,199-D4-96_E_DX,572777.03,151519.78,332,103,117.3816,114.3336
12,199-D4-97_E_DX,572906.23,151625.33,321,116,117.01712,112.44512
13,199-D4-98_E_DX,572574.52,151481.65,335,83,118.65904,112.56304
14,199-D4-99_E_DX,572527.36,151377.08,346,78,119.47132,110.321224
15,199-D5-101_E_DX,572943.04,151521.52,331,120,120.590096,111.443048
16,199-D5-103_E_DX,573505.87,151460.87,337,176,119.13056,110.04752
17,199-D5-104_E_DX,573265.48,151422.43,341,152,119.664,110.52
18,199-D5-108_I_DX,572923.34,151222.9,361,118,118.84076,112.74476
19,199-D5-111_I_DX,572943.24,151281.47,355,120,119.676232,113.580232
20,199-D5-127_E_DX,572992.26,151428.31,341,125,119.631928,113.538976
21,199-D5-128_I_DX,573622.4,151237.35,360,188,119.398984,113.302984
22,199-D5-129_I_DX,573735.5,151465.13,337,199,119.560552,111.934456
23,199-D5-130_E_DX,574039.2,151928.51,291,229,118.312608,113.734512
24,199-D5-131_E_DX,573684.39,152006.75,283,194,119.008336,111.388336
25,199-D5-146_E_DX,573219.79,151345.59,349,147,120.737088,110.059944
26,199-D5-148_I_DX,573361.48,151083.48,375,162,122.620688,110.42564
27,199-D5-153_E_DX,573329.77,151992.82,284,158,119.242144,111.613
28,199-D5-154_E_DX,573632.26,151831.74,300,189,120.6871,111.537
29,199-D5-159_E_DX,573474.25,151910.82,292,173,120.8443,113.2243
30,199-D5-20_E_DX,573239.97,152030.15,280,149,119.74224,113.4024
31,199-D5-32_E_DX,573372.04,151903.39,293,163,119.456088,111.8178
32,199-D5-34_E_DX,573240.42,151554.12,328,150,120.32,112.69
33,199-D5-39_E_DX,573142.858,151428.428,341,140,119.586904,113.475664
34,199-D5-42_I_DX,573479.771,151622.674,321,173,118.562792,112.457648
35,199-D5-44_I_DX,572993.581,151835.736,300,125,119.09696,114.52496
36,199-D5-92_E_DX,573131.93,152009.82,283,139,119.43212,113.03132
37,199-D6-1_I_DX,574129.87,151691.71,314,238,119.836,113.74
38,199-D6-2_I_DX,574544.61,151970.2,286,280,119.3984,111.769256
39,199-D7-3_E_DX,574151.38,152363.41,247,241,120.973056,110.302008
40,199-D7-4_I_DX,574377.07,152369.64,247,263,118.516,112.42
41,199-D7-5_I_DX,574434.31,152678.72,216,269,121.317832,115.218784
42,199-D7-6_E_DX,574429.2,152980.43,185,268,120.313984,114.1936
43,199-D8-53_E_DX,573889.86,152452.26,238,214,119.177,112.9286
44,199-D8-55_E_DX,573620.954,152364.345,247,188,118.65612,112.40772
45,199-D8-55_I_DX,573620.954,152364.345,247,188,118.65612,112.40772
46,199-D8-6_E_DX,573434.693,152060.822,277,169,118.746,112.55856
47,199-D8-68_E_DX,573711.67,152427.1,241,197,120.1936,112.5736
48,199-D8-69_E_DX,573843.61,152552.201,228,210,119.218872,113.12592
49,199-D8-73_E_DX,573388.7,152167.38,267,164,120.063808,114.876112
50,199-D8-88_E_DX,573292.33,152141.26,269,155,118.408736,111.992696
51,199-D8-89_E_DX,573478.64,152249.65,259,173,117.65616,114.605112
52,199-D8-90_E_DX,573948.64,152646.23,219,220,118.517832,110.894784
53,199-D8-91_E_DX,574036.89,152741.44,209,229,117.516032,111.42308
54,199-D8-93_I_DX,574148.7,153085.8,175,240,117.33876,115.811712
55,199-D8-94_I_DX,574047.82,152949.53,189,230,117.243048,112.664952
56,199-D8-95_E_DX,573611.96,152160.61,267,187,118.954144,112.861192
57,199-D8-96_E_DX,573706.0,152152.24,268,196,119.120664,113.024664
58,199-D8-97_E_DX,573859.56,152087.42,275,211,120.773824,111.617632
59,199-D8-98_E_DX,574013.12,152123.02,271,227,120.373984,112.74484
60,199-D8-99_E_DX,574006.77,152364.37,247,226,119.798288,112.172192
61,199-D8-99_I_DX,574006.77,152364.37,247,226,119.798288,112.172192
62,199-H1-1_E_HX,576702.31,153384.49,145,496,118.0326,113.4606
63,199-H1-12_I_HX,576597.9,153898.8,94,485,118.464232,113.748976
64,199-H1-2_E_HX,576451.07,153378.26,146,471,117.33808,114.29008
65,199-H1-20_I_HX,575706.04,154183.61,65,396,117.633184,111.531088
66,199-H1-21_I_HX,575896.84,154163.8,67,415,116.17092,111.595872
67,199-H1-25_E_HX,576279.64,154069.97,77,453,119.432512,113.33956
68,199-H1-25_I_HX,576279.64,154069.97,77,453,119.432512,113.33956
69,199-H1-27_E_HX,576403.86,154024.21,81,466,119.23684,113.14084
70,199-H1-27_I_HX,576403.86,154024.21,81,466,119.23684,113.14084
71,199-H1-3_E_HX,576163.04,153372.22,146,442,118.8084,115.7604
72,199-H1-32_E_HX,576767.07,153766.0,107,502,120.599,114.503
73,199-H1-33_E_HX,576833.29,153716.23,112,509,119.0766,114.5046
74,199-H1-34_E_HX,576883.13,153667.06,117,514,118.46952,113.89752
75,199-H1-35_E_HX,576958.26,153628.14,121,521,117.7986,113.2266
76,199-H1-36_E_HX,576885.62,153486.51,135,514,118.4456,113.8736
77,199-H1-37_E_HX,577106.92,153641.63,119,536,118.277648,113.696504
78,199-H1-38_E_HX,577161.0,153555.01,128,542,118.156704,113.581656
79,199-H1-39_E_HX,577223.54,153533.4,130,548,118.5566,113.9846
80,199-H1-4_E_HX,575826.78,153366.87,147,408,118.365144,115.317144
81,199-H1-40_E_HX,577279.34,153500.19,133,553,118.9406,114.3686
82,199-H1-42_E_HX,577127.18,153391.65,144,538,116.043976,112.992928
83,199-H1-43_E_HX,577213.74,153384.28,145,547,115.5944,112.5464
84,199-H1-45_E_HX,577240.96,153062.41,177,550,116.050472,111.472376
85,199-H1-46_E_HX,576986.9,153456.95,138,524,119.582224,111.946984
86,199-H1-47_E_HX,577185.49,153309.63,153,544,118.93516,112.83916
87,199-H1-48_E_HX,577185.11,153237.89,160,544,119.171328,113.075328
88,199-H1-49_E_HX,577249.67,153144.38,169,550,119.125384,111.505384
89,199-H1-5_E_DX,574850.72,153090.3,174,311,119.091816,111.46572
90,199-H1-5_I_DX,574850.72,153090.3,174,311,119.091816,111.46572
91,199-H1-6_E_HX,576037.81,153745.74,109,429,117.552872,114.504872
