ID,X,Y,Row,Col,Ztop,Zbot,index,scLen,lenL1,lenL2,lenL3,lenL4,lenL5,lenL6,lenL7,lenL8,lenL9,fL1,fL2,fL3,fL4,fL5,fL6,fL7,fL8,fL9,MaxFrac_Lay,Deepest_Lay,Short,Function,System,Aquifer
199-D2-10_I_DX,574470.87,153465.19,137,273,117.288624,112.716624,0,4.572,,1.3486215585940045,1.779998779296989,1.4433796621090096,,,,,,,0.29497409,0.38932607,0.31569984,,,,,,3,4.0,199-D2-10,I,DX,Unconfined
199-D2-12_I_DX,574343.45,153300.01,153,260,116.962168,112.390168,1,4.572,,1.1121695258790112,1.9399948120119888,1.5198356621090028,,,,,,,0.24325668,0.42432083,0.3324225,,,,,,3,4.0,199-D2-12,I,DX,Unconfined
199-D4-101_E_DX,572800.1,151425.94,341,106,118.85524,112.756192,2,6.099048,1.415237558594001,1.9599990844719883,1.950004577637003,0.7738067792970043,,,,,,0.23204237,0.32136148,0.31972278,0.12687337,,,,,,2,4.0,199-D4-101,E,DX,Unconfined
199-D4-14_E_DX,572839.812,151641.64,319,109,120.277816,114.169624,3,6.108192,2.337813558594007,1.5400009155269885,1.5400009155270027,0.6903766103520041,,,,,,0.38273413,0.25212058,0.25212058,0.11302471,,,,,,1,4.0,199-D4-14,E,DX,Unconfined
199-D4-34_E_DX,572804.601,151590.028,324,106,118.219688,113.641592,4,4.578096,0.3096843378909995,1.5200042724610086,1.5100021362299998,1.2384052534179943,,,,,,0.06764479,0.33201669,0.32983191,0.27050662,,,,,,2,4.0,199-D4-34,E,DX,Unconfined
199-D4-38_E_DX,572671.317,151537.856,330,93,119.860656,113.764656,5,6.096,1.8906547792970088,1.6800003051759944,1.6800003051749997,0.8453446103520008,,,,,,0.31014678,0.2755906,0.2755906,0.13867202,,,,,,1,4.0,199-D4-38,E,DX,Unconfined
199-D4-39_E_DX,572747.453,151650.84,318,100,120.568792,114.466696,6,6.102096,2.5287910844729997,1.5,1.5100021362299998,0.563302779297004,,,,,,0.41441352,0.24581717,0.24745631,0.092313,,,,,,1,4.0,199-D4-39,E,DX,Unconfined
199-D4-83_E_DX,572859.432,151723.418,311,111,119.4184,114.8464,7,4.572,1.2784006103520085,1.3700027465820028,1.3699951171869884,0.553601525879003,,,,,,0.27961518,0.29965064,0.29964898,0.1210852,,,,,,2,4.0,199-D4-83,E,DX,Unconfined
199-D4-84_E_DX,572568.043,151433.521,340,82,120.478488,112.864584,8,7.613904,2.5484876948240043,1.8000030517579972,1.809997558593992,1.455415694824012,,,,,,0.33471498,0.23641,0.23772267,0.19115236,,,,,,1,4.0,199-D4-84,E,DX,Unconfined
199-D4-85_E_DX,572486.163,151324.202,351,74,119.5336,110.3896,9,9.144,2.203598168945007,2.610000610352003,2.610000610350994,1.7204006103520015,,,,,,0.24098843,0.28543314,0.28543314,0.1881453,,,,,,2,4.0,199-D4-85,E,DX,Unconfined
199-D4-95_E_DX,572612.82,151226.7,361,87,119.243032,108.565888,10,10.677144,2.403035662109005,2.8999938964850003,2.9000015258789915,2.4741129155270016,,,,,,0.22506352,0.27160764,0.27160836,0.23172048,,,,,,3,4.0,199-D4-95,E,DX,Unconfined
199-D4-96_E_DX,572777.03,151519.78,332,103,117.3816,114.3336,11,3.048,,0.7615972534180031,1.4000015258790055,0.886401220702993,,,,,,,0.24986787,0.45931809,0.29081405,,,,,,3,4.0,199-D4-96,E,DX,Unconfined
199-D4-97_E_DX,572906.23,151625.33,321,116,117.01712,112.44512,12,4.572,,1.3471218310550055,1.8099975585929968,1.4148806103520002,,,,,,,0.29464607,0.39588748,0.30946645,,,,,,3,4.0,199-D4-97,E,DX,Unconfined
199-D4-98_E_DX,572574.52,151481.65,335,83,118.65904,112.56304,13,6.096,0.8790412207030016,2.019996643067003,2.02000427246,1.1769578637699991,,,,,,0.14419968,0.33136428,0.33136553,0.19307052,,,,,,3,4.0,199-D4-98,E,DX,Unconfined
199-D4-99_E_DX,572527.36,151377.08,346,78,119.47132,110.321224,14,9.150096,2.161322441406,2.5,2.5,1.988773558594005,,,,,,0.23620762,0.27322118,0.27322118,0.21735002,,,,,,2,4.0,199-D4-99,E,DX,Unconfined
199-D5-101_E_DX,572943.04,151521.52,331,120,120.590096,111.443048,15,9.147048,3.5400929482420054,2.0200042724609943,2.029998779297003,1.5569519999999957,,,,,,0.38702027,0.22083674,0.22192939,0.1702136,,,,,,1,4.0,199-D5-101,E,DX,Unconfined
199-D5-103_E_DX,573505.87,151460.87,337,176,119.13056,110.04752,16,9.08304,1.8205624414059969,2.519996643067003,2.520004272461009,2.2224766430659884,,,,,,0.20043537,0.27743978,0.27744062,0.24468423,,,,,,3,4.0,199-D5-103,E,DX,Unconfined
199-D5-104_E_DX,573265.48,151422.43,341,152,119.664,110.52,17,9.144,2.7440018310550016,2.189994812010994,2.190002441407003,2.0200009155270067,,,,,,0.30008769,0.23950074,0.23950158,0.22090999,,,,,,1,4.0,199-D5-104,E,DX,Unconfined
199-D5-108_I_DX,572923.34,151222.9,361,118,118.84076,112.74476,18,6.096,0.950760610352006,1.720001220702997,1.720001220702997,1.7052369482420031,,,,,,0.15596467,0.28215243,0.28215243,0.27973047,,,,,,2,4.0,199-D5-108,I,DX,Unconfined
199-D5-111_I_DX,572943.24,151281.47,355,120,119.676232,113.580232,19,6.096,1.776230474120993,1.5500030517580117,1.5599975585939916,1.2097689155270075,,,,,,0.29137639,0.25426559,0.25590511,0.19845291,,,,,,1,4.0,199-D5-111,I,DX,Unconfined
199-D5-127_E_DX,572992.26,151428.31,341,125,119.631928,113.538976,20,6.092952,2.441925558594008,1.889999389647997,1.761027051757992,,,,,,,0.40077873,0.31019437,0.2890269,,,,,,,1,3.0,199-D5-127,E,DX,Unconfined
199-D5-128_I_DX,573622.4,151237.35,360,188,119.398984,113.302984,21,6.096,0.5789843051759931,1.9499969482420028,1.950004577637003,1.6170141689450048,,,,,,0.09497774,0.31988139,0.31988264,0.26525823,,,,,,3,4.0,199-D5-128,I,DX,Unconfined
199-D5-129_I_DX,573735.5,151465.13,337,199,119.560552,111.934456,22,7.626096,1.2305501689450011,2.4100036621100003,2.409996032715,1.5755461362300025,,,,,,0.16136044,0.31602063,0.31601963,0.20659931,,,,,,2,4.0,199-D5-129,I,DX,Unconfined
199-D5-130_E_DX,574039.2,151928.51,291,229,118.312608,113.734512,23,4.578096,0.5226070844729946,1.480003356932997,1.470001220703011,1.105484337890999,,,,,,0.11415381,0.32327923,0.32109445,0.24147251,,,,,,2,4.0,199-D5-130,E,DX,Unconfined
199-D5-131_E_DX,573684.39,152006.75,283,194,119.008336,111.388336,24,7.62,2.088337831055,2.129997253417997,2.129997253417997,1.2716676621090102,,,,,,0.27406008,0.2795272,0.2795272,0.16688552,,,,,,2,4.0,199-D5-131,E,DX,Unconfined
199-D5-146_E_DX,573219.79,151345.59,349,147,120.737088,110.059944,25,10.677144,3.8970916621090055,2.309997558593992,2.299995422362997,2.1700593569340043,,,,,,0.36499383,0.21634976,0.21541298,0.20324343,,,,,,1,4.0,199-D5-146,E,DX,Unconfined
199-D5-148_I_DX,573361.48,151083.48,375,162,122.620688,110.42564,26,12.195048,4.730688610352004,2.5,2.5,2.464359389647996,,,,,,0.38791882,0.20500124,0.20500124,0.2020787,,,,,,1,4.0,199-D5-148,I,DX,Unconfined
199-D5-153_E_DX,573329.77,151992.82,284,158,119.242144,111.613,27,7.629144,2.002146136229996,1.939994812012003,1.9300003051759944,1.7570027465820033,,,,,,0.26243392,0.25428735,0.25297731,0.23030143,,,,,,1,4.0,199-D5-153,E,DX,Unconfined
199-D5-154_E_DX,573632.26,151831.74,300,189,120.6871,111.537,28,9.1501,3.437100000000001,1.970001220702997,1.9799957275390057,1.763003051757991,,,,,,0.37563524,0.21529833,0.21639061,0.19267582,,,,,,1,4.0,199-D5-154,E,DX,Unconfined
