wellID,scnLen,scnLenL1,scnLenL2,scnLenL3,scnLenL4,scnLenL5,scnLenL6,scnLenL7,scnLenL8,scnLenL9,fracL1,fracL2,fracL3,fracLenL4,fracL5,fracL6,fracLenL7,fracL8,fracL9
199-D2-10_I_DX,4.572000,[],[1.3486215585940045],[1.7799987792969887],[1.4433796621090096],[],[],[],[],[],[],[0.29497409],[0.38932607],[0.31569984],[],[],[],[],[],
199-D2-12_I_DX,4.572000,[],[1.1121695258790112],[1.9399948120119888],[1.5198356621090028],[],[],[],[],[],[],[0.24325668],[0.42432083],[0.3324225],[],[],[],[],[],
199-D4-101_E_DX,6.099048,[1.4152375585940007],[1.9599990844719883],[1.950004577637003],[0.7738067792970043],[],[],[],[],[],[0.23204237],[0.32136148],[0.31972278],[0.12687337],[],[],[],[],[],
199-D4-14_E_DX,6.108192,[2.337813558594007],[1.5400009155269885],[1.5400009155270027],[0.6903766103520041],[],[],[],[],[],[0.38273413],[0.25212058],[0.25212058],[0.11302471],[],[],[],[],[],
199-D4-34_E_DX,4.578096,[0.3096843378909995],[1.5200042724610086],[1.5100021362299998],[1.2384052534179943],[],[],[],[],[],[0.06764479],[0.33201669],[0.32983191],[0.27050662],[],[],[],[],[],
199-D4-38_E_DX,6.096000,[1.8906547792970088],[1.6800003051759944],[1.6800003051749997],[0.8453446103520008],[],[],[],[],[],[0.31014678],[0.2755906],[0.2755906],[0.13867202],[],[],[],[],[],
199-D4-39_E_DX,6.102096,[2.5287910844729993],[1.5],[1.5100021362299998],[0.563302779297004],[],[],[],[],[],[0.41441352],[0.24581717],[0.24745631],[0.092313],[],[],[],[],[],
199-D4-83_E_DX,4.572000,[1.2784006103520085],[1.3700027465820028],[1.3699951171869884],[0.553601525879003],[],[],[],[],[],[0.27961518],[0.29965064],[0.29964898],[0.1210852],[],[],[],[],[],
199-D4-84_E_DX,7.613904,[2.5484876948240043],[1.8000030517579972],[1.8099975585939916],[1.455415694824012],[],[],[],[],[],[0.33471498],[0.23641],[0.23772267],[0.19115236],[],[],[],[],[],
199-D4-85_E_DX,9.144000,[2.203598168945007],[2.610000610352003],[2.610000610350994],[1.7204006103520015],[],[],[],[],[],[0.24098843],[0.28543314],[0.28543314],[0.1881453],[],[],[],[],[],
199-D4-95_E_DX,10.677144,[2.403035662109005],[2.8999938964850003],[2.9000015258789915],[2.4741129155270016],[],[],[],[],[],[0.22506352],[0.27160764],[0.27160836],[0.23172048],[],[],[],[],[],
199-D4-96_E_DX,3.048000,[],[0.7615972534180031],[1.4000015258790057],[0.886401220702993],[],[],[],[],[],[],[0.24986787],[0.45931809],[0.29081405],[],[],[],[],[],
199-D4-97_E_DX,4.572000,[],[1.3471218310550057],[1.8099975585929968],[1.4148806103520002],[],[],[],[],[],[],[0.29464607],[0.39588748],[0.30946645],[],[],[],[],[],
199-D4-98_E_DX,6.096000,[0.8790412207030016],[2.019996643067003],[2.0200042724599996],[1.1769578637699993],[],[],[],[],[],[0.14419968],[0.33136428],[0.33136553],[0.19307052],[],[],[],[],[],
199-D4-99_E_DX,9.150096,[2.161322441406],[2.5],[2.5],[1.988773558594005],[],[],[],[],[],[0.23620762],[0.27322118],[0.27322118],[0.21735002],[],[],[],[],[],
199-D5-101_E_DX,9.147048,[3.5400929482420054],[2.0200042724609943],[2.029998779297003],[1.5569519999999955],[],[],[],[],[],[0.38702027],[0.22083674],[0.22192939],[0.1702136],[],[],[],[],[],
199-D5-103_E_DX,9.083040,[1.8205624414059969],[2.519996643067003],[2.5200042724610086],[2.2224766430659884],[],[],[],[],[],[0.20043537],[0.27743978],[0.27744062],[0.24468423],[],[],[],[],[],
199-D5-104_E_DX,9.144000,[2.7440018310550016],[2.189994812010994],[2.190002441407003],[2.0200009155270067],[],[],[],[],[],[0.30008769],[0.23950074],[0.23950158],[0.22090999],[],[],[],[],[],
199-D5-108_I_DX,6.096000,[0.9507606103520061],[1.720001220702997],[1.720001220702997],[1.7052369482420033],[],[],[],[],[],[0.15596467],[0.28215243],[0.28215243],[0.27973047],[],[],[],[],[],
199-D5-111_I_DX,6.096000,[1.776230474120993],[1.5500030517580115],[1.5599975585939916],[1.2097689155270075],[],[],[],[],[],[0.29137639],[0.25426559],[0.25590511],[0.19845291],[],[],[],[],[],
199-D5-127_E_DX,6.092952,[2.441925558594008],[1.889999389647997],[1.761027051757992],[],[],[],[],[],[],[0.40077873],[0.31019437],[0.2890269],[],[],[],[],[],[],
199-D5-128_I_DX,6.096000,[0.5789843051759931],[1.9499969482420028],[1.950004577637003],[1.6170141689450048],[],[],[],[],[],[0.09497774],[0.31988139],[0.31988264],[0.26525823],[],[],[],[],[],
199-D5-129_I_DX,7.626096,[1.2305501689450011],[2.4100036621100003],[2.409996032715],[1.5755461362300025],[],[],[],[],[],[0.16136044],[0.31602063],[0.31601963],[0.20659931],[],[],[],[],[],
199-D5-130_E_DX,4.578096,[0.5226070844729946],[1.480003356932997],[1.4700012207030113],[1.1054843378909993],[],[],[],[],[],[0.11415381],[0.32327923],[0.32109445],[0.24147251],[],[],[],[],[],
199-D5-131_E_DX,7.620000,[2.088337831055],[2.129997253417997],[2.129997253417997],[1.2716676621090102],[],[],[],[],[],[0.27406008],[0.2795272],[0.2795272],[0.16688552],[],[],[],[],[],
