ID,scLen,lenL1,lenL2,lenL3,lenL4,lenL5,lenL6,lenL7,lenL8,lenL9,fL1,fL2,fL3,fL4,fL5,fL6,fL7,fL8,fL9,MaxFrac_Lay,Deepest_Lay
199-H3-10,3.048,,,,,,,,,3.048000000000002,,,,,,,,,1.0,9,9.0
199-H3-12,4.572,,,,,,,,,4.572000000000003,,,,,,,,,1.0,9,9.0
199-H3-13,3.07,,,,,,,,,3.0699999999999936,,,,,,,,,1.0,9,9.0
199-H3-25,6.099,2.1349990844726534,1.779998779296875,1.7700042724609375,0.4139978637695236,,,,,,0.35005724,0.29185092,0.29021221,0.06787963,,,,,,1,4.0
199-H3-26,4.578,1.024002441406239,1.6299972534179688,1.6200027465820312,0.3039975585937498,,,,,,0.223679,0.35605008,0.35386692,0.06640401,,,,,,2,4.0
199-H3-27,6.093,1.924003051757808,1.7299957275390625,1.7300033569335938,0.7089978637695253,,,,,,0.3157727,0.28393168,0.28393293,0.11636269,,,,,,1,4.0
199-H3-2A,4.572,1.0210003051757752,1.4000015258789062,1.4000015258789062,0.750996643066415,,,,,,0.2233159,0.30621206,0.30621206,0.16425998,,,,,,2,4.0
199-H3-30,6.099,,,,,,,,0.3659996948242252,5.7330003051757785,,,,,,,,0.06000979,0.93999021,9,9.0
199-H3-32,3.051,,,,,,,,,3.050999999999988,,,,,,,,,1.0,9,9.0
199-H4-12A,4.572,0.6380033569336092,1.7099990844726562,1.6999969482421875,0.5240006103515498,,,,,,0.13954579,0.37401555,0.37182785,0.11461081,,,,,,2,4.0
199-H4-15A,4.572,0.8020033569335965,1.7599945068359375,1.75,0.26000213623046875,,,,,,0.17541631,0.38495068,0.38276465,0.05686836,,,,,,2,4.0
199-H4-17,3.048,1.2940009155273344,1.1399993896484375,0.6139996948242157,,,,,,,0.42454098,0.37401555,0.20144347,,,,,,,1,3.0
199-H4-18,3.048,0.9620015258788897,0.9300003051757812,0.9300003051757812,0.22599786376953546,,,,,,0.3156173,0.30511821,0.30511821,0.07414628,,,,,,1,4.0
199-H4-4,3.048,0.6450036621093602,1.4899978637695312,0.912998474121096,,,,,,,0.21161537,0.48884444,0.29954018,,,,,,,2,3.0
199-H4-5,7.924,1.6939993896484251,1.279998779296875,1.279998779296875,1.2800064086914062,2.389996643066411,,,,,0.21378084,0.16153442,0.16153442,0.16153539,0.30161492,,,,,5,4.0
199-H4-64,6.096,3.421000610351569,1.8300018310546875,0.8449975585937466,,,,,,,0.56118776,0.30019715,0.13861509,,,,,,,1,3.0
199-H4-65,3.048,0.7250036621093727,0.9799957275390624,0.9800033569335938,0.3629972534179728,,,,,,0.23786209,0.32152091,0.32152341,0.11909359,,,,,,3,4.0
199-H4-8,3.048,0.8239969482422111,0.970001220703125,0.970001220703125,0.2840006103515407,,,,,,0.27034021,0.31824187,0.31824187,0.09317605,,,,,,2,4.0
199-H4-84,3.048,0.3640015258789049,0.8600006103515625,0.8600006103515625,0.8600006103515625,0.10399664306640943,,,,,0.11942307,0.28215243,0.28215243,0.28215243,0.03411963,,,,,2,4.0
199-H4-85,6.096,3.5329963378906233,1.2400054931640625,1.2299957275390625,0.0930024414062558,,,,,,0.57955977,0.20341297,0.20177095,0.01525631,,,,,,1,4.0
199-H4-86,7.626,3.2289975585937327,1.779998779296875,1.7800064086914062,0.8369972534179766,,,,,,0.42341956,0.23341185,0.23341285,0.10975574,,,,,,1,4.0
199-H4-88,4.572,3.1660030517577984,0.7899932861328125,0.6160036621093923,,,,,,,0.69247661,0.17278943,0.13473396,,,,,,,1,3.0
199-H4-89,4.557,2.5369972534179794,0.910003662109375,0.9099960327148438,0.200003051757804,,,,,,0.55672531,0.19969358,0.19969191,0.04388919,,,,,,1,4.0
199-H4-90,4.578,,,,,,,,0.8079999999999927,3.77000000000001,,,,,,,,0.17649629,0.82350371,9,9.0
