wellID,scnLen,scnLenL1,scnLenL2,scnLenL3,scnLenL4,scnLenL5,scnLenL6,scnLenL7,scnLenL8,scnLenL9,fracL1,fracL2,fracL3,fracLenL4,fracL5,fracL6,fracLenL7,fracL8,fracL9
199-H3-25,6.099000,[2.1349990844729945],[1.779998779297003],[1.7700042724599996],[0.4139978637699926],[],[],[],[],[],[0.35005724],[0.29185092],[0.29021221],[0.06787963],[],[],[],[],[],
199-H3-26,4.578000,[1.0240024414059832],[1.6299972534180114],[1.6200027465819886],[0.30399755859400557],[],[],[],[],[],[0.223679],[0.35605008],[0.35386692],[0.06640401],[],[],[],[],[],
199-H3-27,6.093000,[1.9240030517579925],[1.7299957275390057],[1.730003356932997],[0.7089978637699943],[],[],[],[],[],[0.3157727],[0.28393168],[0.28393293],[0.11636269],[],[],[],[],[],
199-H3-2A,4.572000,[1.0210003051759884],[1.4000015258790057],[1.4000015258790057],[0.7509966430660029],[],[],[],[],[],[0.2233159],[0.30621206],[0.30621206],[0.16425998],[],[],[],[],[],
199-H4-12A,4.572000,[0.6380033569340213],[1.7099990844719883],[1.6999969482420028],[0.5240006103519903],[],[],[],[],[],[0.13954579],[0.37401555],[0.37182785],[0.11461081],[],[],[],[],[],
199-H4-15A,4.572000,[0.8020033569340086],[1.7599945068359943],[1.75],[0.2600021362299998],[],[],[],[],[],[0.17541631],[0.38495068],[0.38276465],[0.05686836],[],[],[],[],[],
199-H4-17,3.048000,[1.2940009155269934],[1.1399993896489917],[0.6139996948240025],[],[],[],[],[],[],[0.42454098],[0.37401555],[0.20144347],[],[],[],[],[],[],
199-H4-18,3.048000,[0.9620015258789891],[0.9300003051759944],[0.9300003051749997],[0.22599786377000441],[],[],[],[],[],[0.3156173],[0.30511821],[0.30511821],[0.07414628],[],[],[],[],[],
199-H4-4,3.048000,[0.6450036621089907],[1.4899978637700002],[0.9129984741209967],[],[],[],[],[],[],[0.21161537],[0.48884444],[0.29954018],[],[],[],[],[],[],
199-H4-5,7.924000,[1.6939993896479848],[1.279998779297003],[1.279998779297003],[1.280006408692003],[2.3899966430659987],[],[],[],[],[0.21378084],[0.16153442],[0.16153442],[0.16153539],[0.30161492],[],[],[],[],
199-H4-64,6.096000,[3.42100061035201],[1.8300018310539912],[0.8449975585940024],[],[],[],[],[],[],[0.56118776],[0.30019715],[0.13861509],[],[],[],[],[],[],
199-H4-65,3.048000,[0.7250036621090032],[0.9799957275389914],[0.9800033569340059],[0.36299725341800126],[],[],[],[],[],[0.23786209],[0.32152091],[0.32152341],[0.11909359],[],[],[],[],[],
199-H4-8,3.048000,[0.8239969482420264],[0.9700012207029971],[0.9700012207029971],[0.2840006103519812],[],[],[],[],[],[0.27034021],[0.31824187],[0.31824187],[0.09317605],[],[],[],[],[],
199-H4-84,3.048000,[0.36400152587900436],[0.8600006103509941],[0.860000610352003],[0.860000610352003],[0.10399664306599732],[],[],[],[],[0.11942307],[0.28215243],[0.28215243],[0.28215243],[0.03411963],[],[],[],[],
199-H4-85,6.096000,[3.5329963378909923],[1.2400054931640057],[1.2299957275390057],[0.093002441406],[],[],[],[],[],[0.57955977],[0.20341297],[0.20177095],[0.01525631],[],[],[],[],[],
199-H4-86,7.626000,[3.2289975585939885],[1.7799987792969887],[1.7800064086910083],[0.836997253418005],[],[],[],[],[],[0.42341956],[0.23341185],[0.23341285],[0.10975574],[],[],[],[],[],
199-H4-88,4.572000,[3.1660030517579827],[0.7899932861329972],[0.6160036621090228],[],[],[],[],[],[],[0.69247661],[0.17278943],[0.13473396],[],[],[],[],[],[],
199-H4-89,4.557000,[2.536997253418008],[0.9100036621090055],[0.9099960327150001],[0.20000305175798871],[],[],[],[],[],[0.55672531],[0.19969358],[0.19969191],[0.04388919],[],[],[],[],[],
