ID,Row,Col,centroid_x,centroid_y,YCOORDS,XCOORDS,Ztop,Zbot,scLen,lenL1,lenL2,lenL3,lenL4,lenL5,lenL6,lenL7,lenL8,lenL9,fL1,fL2,fL3,fL4,fL5,fL6,fL7,fL8,fL9,MaxFrac_Lay,Deepest_Lay,Aquifer
199-D1-1,328,164,573385.0,151555.0,151558.0,573381.0,120.581,111.44300000000001,9.138,3.131003051757816,2.0,1.9899979,2.0,0.0169990844726442,,,,,0.34263548,0.21886629,0.21777172,0.21886629,0.00186026,,,,,1,4.0,Unconfined
199-D2-11,371,158,573325.0,151125.0,151120.73,573328.16,119.78299999999999,110.63,9.153,2.2029981689452995,2.340004,2.3499985,2.259999389648442,,,,,,0.24068591,0.25565434,0.25674626,0.24691351,,,,,,3,4.0,Unconfined
199-D2-14,332,176,573505.0,151515.0,151518.91,573504.05,119.67500000000001,112.046,7.629,2.255001831054699,2.369995,2.3600006,0.6440024414062435,,,,,,0.29558289,0.31065607,0.309346,0.08441505,,,,,,2,4.0,Unconfined
199-D5-103,337,176,573505.0,151465.0,151460.87,573505.87,119.845,110.762,9.083,2.535002441406249,2.5199966,2.5200043,1.5079966430664058,,,,,,0.27909308,0.277441,0.27744183,0.16602407,,,,,,1,4.0,Unconfined
199-D5-104,341,152,573265.0,151425.0,151422.43,573265.48,120.421,111.27700000000002,9.144,3.501001831054694,2.1899948,2.1900024,1.2630009155273283,,,,,,0.38287422,0.23950075,0.23950158,0.13812346,,,,,,1,4.0,Unconfined
199-D5-106,324,176,573505.0,151595.0,151597.97,573503.74,123.59700000000001,112.932,10.665,5.936996337890633,2.140007,2.149994,0.4380027465820291,,,,,,0.55668039,0.20065701,0.20159343,0.04106917,,,,,,1,4.0,Unconfined
199-D5-123,320,208,573825.0,151635.0,151639.41,573824.21,120.59800000000001,108.32700000000001,12.271,3.917999694824232,3.0699997,3.0699997,2.213000915527332,,,,,,0.31928936,0.25018334,0.25018334,0.18034397,,,,,,1,4.0,Unconfined
199-D5-128,360,188,573625.0,151235.0,151237.35,573622.4,120.16300000000001,114.06700000000001,6.096,1.3430003051757922,1.949997,1.9500046,0.8529981689453052,,,,,,0.22030845,0.31988138,0.31988263,0.13992752,,,,,,3,4.0,Unconfined
199-D5-133,334,199,573735.0,151495.0,151497.37,573731.55,121.263,112.125,9.138,3.1330027465820365,2.2799988,2.290001,1.43499755859375,,,,,,0.34285432,0.24950743,0.250602,0.15703628,,,,,,1,4.0,Unconfined
199-D5-142,327,205,573795.0,151565.0,151563.26,573791.87,119.769,116.71100000000001,3.058,1.6489972534179742,1.4090027465820183,,,,,,,,0.53924044,0.46075956,,,,,,,,1,,Unconfined
199-D5-145,344,147,573215.0,151395.0,151396.28,573215.62,122.627,110.435,12.192,5.896996643066402,2.380005,2.3799973,1.5350012207031227,,,,,,0.48367755,0.19521037,0.19520974,0.12590233,,,,,,1,4.0,Unconfined
199-D5-146,349,147,573215.0,151345.0,151345.59,573219.79,121.481,110.804,10.677,4.6410036621093695,2.3099976,2.2999954,1.4260033569335917,,,,,,0.434673,0.21635267,0.21541588,0.13355843,,,,,,1,4.0,Unconfined
199-D5-149,337,158,573325.0,151465.0,151461.82,573327.62,120.81200000000001,114.71300000000001,6.099,3.5420033569336056,1.9899979,0.5669987792968669,,,,,,,0.58075149,0.32628265,0.09296586,,,,,,,1,3.0,Unconfined
199-D5-15,316,199,573735.0,151675.0,151673.75,573738.61,121.233,114.802,6.431,4.063001831054692,2.367998168945306,,,,,,,,0.63178383,0.36821617,,,,,,,,1,,Unconfined
199-D5-150,343,168,573425.0,151405.0,151401.85,573429.42,121.46799999999999,112.321,9.147,3.9380012207031134,2.040001,2.0299988,1.1389990844726583,,,,,,0.4305238,0.22302404,0.22193055,0.1245216,,,,,,1,4.0,Unconfined
199-D5-151,344,157,573315.0,151395.0,151391.88,573312.03,121.359,112.206,9.153,4.159003051757807,1.949997,1.949997,1.0940030517578094,,,,,,0.45438687,0.21304457,0.21304457,0.11952399,,,,,,1,4.0,Unconfined
199-D5-152,349,156,573305.0,151345.0,151349.1,573300.18,121.192,112.033,9.159,4.011999694824212,2.0699997,2.0599976,1.0170030517578112,,,,,,0.43803905,0.22600716,0.2249151,0.11103866,,,,,,1,4.0,Unconfined
199-D5-160,341,177,573515.0,151425.0,151429.17,573517.16,121.516,112.37200000000001,9.144,3.585999694824224,2.1399994,2.1500015,1.2679993896484234,,,,,,0.3921697,0.23403318,0.23512703,0.1386701,,,,,,1,4.0,Unconfined
199-D5-17,351,199,573735.0,151325.0,151322.83,573730.52,121.191,114.836,6.355,3.1310024414062525,2.119995,1.1040024414062517,,,,,,,0.49268331,0.33359483,0.17372186,,,,,,,1,3.0,Unconfined
199-D5-33,312,135,573095.0,151715.0,151714.54,573095.03,120.87799999999999,113.36399999999999,7.514,3.318002441406236,1.8499985,1.8499985,0.4960006103515724,,,,,,0.44157605,0.24620688,0.24620688,0.0660102,,,,,,1,4.0,Unconfined
199-D5-34,328,150,573245.0,151555.0,151554.12,573240.42,121.12200000000001,113.48700000000001,7.635,3.552000305175796,1.6699982,1.6699982,0.7430033569335848,,,,,,0.46522597,0.21872929,0.21872929,0.09731544,,,,,,1,4.0,Unconfined
