ID,Row,Col,Frac,Lay,LocalZ
199-D1-1,328,164,0.21886629,2,0.5
199-D1-1,328,164,0.21777172,3,0.5
199-D1-1,328,164,0.21886629,4,0.5
199-D2-11,371,158,0.25565434,2,0.5
199-D2-11,371,158,0.25674626,3,0.5
199-D2-11,371,158,0.24691351,4,0.5
199-D2-14,332,176,0.31065607,2,0.5
199-D2-14,332,176,0.309346,3,0.5
199-D2-14,332,176,0.08441505,4,0.5
199-D5-103,337,176,0.277441,2,0.5
199-D5-103,337,176,0.27744183,3,0.5
199-D5-103,337,176,0.16602407,4,0.5
199-D5-104,341,152,0.23950075,2,0.5
199-D5-104,341,152,0.23950158,3,0.5
199-D5-104,341,152,0.13812346,4,0.5
199-D5-106,324,176,0.20065701,2,0.5
199-D5-106,324,176,0.20159343,3,0.5
199-D5-106,324,176,0.04106917,4,0.5
199-D5-123,320,208,0.25018334,2,0.5
199-D5-123,320,208,0.25018334,3,0.5
199-D5-123,320,208,0.18034397,4,0.5
199-D5-128,360,188,0.31988138,2,0.5
199-D5-128,360,188,0.31988263,3,0.5
199-D5-128,360,188,0.13992752,4,0.5
199-D5-133,334,199,0.24950743,2,0.5
199-D5-133,334,199,0.250602,3,0.5
199-D5-133,334,199,0.15703628,4,0.5
199-D5-142,327,205,0.46075956,2,0.5
199-D5-145,344,147,0.19521037,2,0.5
199-D5-145,344,147,0.19520974,3,0.5
199-D5-145,344,147,0.12590233,4,0.5
199-D5-146,349,147,0.21635267,2,0.5
199-D5-146,349,147,0.21541588,3,0.5
199-D5-146,349,147,0.13355843,4,0.5
199-D5-149,337,158,0.32628265,2,0.5
199-D5-149,337,158,0.09296586,3,0.5
199-D5-15,316,199,0.36821617,2,0.5
199-D5-150,343,168,0.22302404,2,0.5
199-D5-150,343,168,0.22193055,3,0.5
199-D5-150,343,168,0.1245216,4,0.5
199-D5-151,344,157,0.21304457,2,0.5
199-D5-151,344,157,0.21304457,3,0.5
199-D5-151,344,157,0.11952399,4,0.5
199-D5-152,349,156,0.22600716,2,0.5
199-D5-152,349,156,0.2249151,3,0.5
199-D5-152,349,156,0.11103866,4,0.5
199-D5-160,341,177,0.23403318,2,0.5
199-D5-160,341,177,0.23512703,3,0.5
199-D5-160,341,177,0.1386701,4,0.5
199-D5-17,351,199,0.33359483,2,0.5
199-D5-17,351,199,0.17372186,3,0.5
199-D5-33,312,135,0.24620688,2,0.5
199-D5-33,312,135,0.24620688,3,0.5
199-D5-33,312,135,0.0660102,4,0.5
199-D5-34,328,150,0.21872929,2,0.5
199-D5-34,328,150,0.21872929,3,0.5
199-D5-34,328,150,0.09731544,4,0.5
199-D5-37,292,135,0.28852454,2,0.5
199-D5-37,292,135,0.28852454,3,0.5
199-D5-37,292,135,0.00327835,4,0.5
199-D5-39,341,140,0.26673293,2,0.5
199-D5-39,341,140,0.26509494,3,0.5
199-D5-39,341,140,0.00409133,4,0.5
199-D5-41,304,161,0.31331956,2,0.5
199-D5-41,304,161,0.31332082,3,0.5
199-D5-41,304,161,0.04642353,4,0.5
199-D5-43,357,143,0.27002195,2,0.5
199-D5-43,357,143,0.2687119,3,0.5
199-D5-43,357,143,0.05544628,4,0.5
199-D5-44,300,125,0.3346454,2,0.5
199-D5-44,300,125,0.30730514,3,0.5
C6272,291,118,1.0,3,0.5
