wellID,scnLen,scnLenL1,scnLenL2,scnLenL3,scnLenL4,scnLenL5,scnLenL6,scnLenL7,scnLenL8,scnLenL9,fracL1,fracL2,fracL3,fracLenL4,fracL5,fracL6,fracLenL7,fracL8,fracL9
199-D1-1,9.138000,[3.1310030517578156],[2.0],[1.9899979],[2.0],[0.0169990844726442],[],[],[],[],[0.34263548],[0.21886629],[0.21777172],[0.21886629],[0.00186026],[],[],[],[],
199-D2-11,9.153000,[2.2029981689452995],[2.340004],[2.3499985],[2.259999389648442],[],[],[],[],[],[0.24068591],[0.25565434],[0.25674626],[0.24691351],[],[],[],[],[],
199-D2-14,7.629000,[2.255001831054699],[2.369995],[2.3600006],[0.6440024414062435],[],[],[],[],[],[0.29558289],[0.31065607],[0.309346],[0.08441505],[],[],[],[],[],
199-D5-103,9.083000,[2.535002441406249],[2.5199966],[2.5200043],[1.5079966430664058],[],[],[],[],[],[0.27909308],[0.277441],[0.27744183],[0.16602407],[],[],[],[],[],
199-D5-104,9.144000,[3.501001831054694],[2.1899948],[2.1900024],[1.2630009155273285],[],[],[],[],[],[0.38287422],[0.23950075],[0.23950158],[0.13812346],[],[],[],[],[],
199-D5-106,10.665000,[5.936996337890633],[2.140007],[2.149994],[0.4380027465820291],[],[],[],[],[],[0.55668039],[0.20065701],[0.20159343],[0.04106917],[],[],[],[],[],
199-D5-123,12.271000,[3.917999694824232],[3.0699997],[3.0699997],[2.2130009155273314],[],[],[],[],[],[0.31928936],[0.25018334],[0.25018334],[0.18034397],[],[],[],[],[],
199-D5-128,6.096000,[1.3430003051757922],[1.949997],[1.9500046],[0.8529981689453052],[],[],[],[],[],[0.22030845],[0.31988138],[0.31988263],[0.13992752],[],[],[],[],[],
199-D5-133,9.138000,[3.1330027465820365],[2.2799988],[2.290001],[1.43499755859375],[],[],[],[],[],[0.34285432],[0.24950743],[0.250602],[0.15703628],[],[],[],[],[],
199-D5-142,3.058000,[1.6489972534179742],[1.4090027465820185],[],[],[],[],[],[],[],[0.53924044],[0.46075956],[],[],[],[],[],[],[],
199-D5-145,12.192000,[5.896996643066402],[2.380005],[2.3799973],[1.5350012207031227],[],[],[],[],[],[0.48367755],[0.19521037],[0.19520974],[0.12590233],[],[],[],[],[],
199-D5-146,10.677000,[4.6410036621093695],[2.3099976],[2.2999954],[1.4260033569335917],[],[],[],[],[],[0.434673],[0.21635267],[0.21541588],[0.13355843],[],[],[],[],[],
199-D5-149,6.099000,[3.5420033569336056],[1.9899979],[0.5669987792968669],[],[],[],[],[],[],[0.58075149],[0.32628265],[0.09296586],[],[],[],[],[],[],
199-D5-15,6.431000,[4.063001831054692],[2.367998168945306],[],[],[],[],[],[],[],[0.63178383],[0.36821617],[],[],[],[],[],[],[],
199-D5-150,9.147000,[3.9380012207031143],[2.040001],[2.0299988],[1.1389990844726583],[],[],[],[],[],[0.4305238],[0.22302404],[0.22193055],[0.1245216],[],[],[],[],[],
199-D5-151,9.153000,[4.159003051757807],[1.949997],[1.949997],[1.0940030517578094],[],[],[],[],[],[0.45438687],[0.21304457],[0.21304457],[0.11952399],[],[],[],[],[],
199-D5-152,9.159000,[4.011999694824212],[2.0699997],[2.0599976],[1.0170030517578112],[],[],[],[],[],[0.43803905],[0.22600716],[0.2249151],[0.11103866],[],[],[],[],[],
199-D5-160,9.144000,[3.585999694824224],[2.1399994],[2.1500015],[1.2679993896484234],[],[],[],[],[],[0.3921697],[0.23403318],[0.23512703],[0.1386701],[],[],[],[],[],
199-D5-17,6.355000,[3.1310024414062525],[2.119995],[1.1040024414062515],[],[],[],[],[],[],[0.49268331],[0.33359483],[0.17372186],[],[],[],[],[],[],
199-D5-33,7.514000,[3.318002441406236],[1.8499985],[1.8499985],[0.4960006103515724],[],[],[],[],[],[0.44157605],[0.24620688],[0.24620688],[0.0660102],[],[],[],[],[],
199-D5-34,7.635000,[3.5520003051757953],[1.6699982],[1.6699982],[0.7430033569335848],[],[],[],[],[],[0.46522597],[0.21872929],[0.21872929],[0.09731544],[],[],[],[],[],
199-D5-37,4.575000,[1.9200021362304653],[1.3199997],[1.3199997],[0.014998474121100003],[],[],[],[],[],[0.4196726],[0.28852454],[0.28852454],[0.00327835],[],[],[],[],[],
199-D5-39,6.111000,[2.8359978637695207],[1.6300049],[1.6199951],[0.02500213623048353],[],[],[],[],[],[0.46408082],[0.26673293],[0.26509494],[0.00409133],[],[],[],[],[],
199-D5-41,6.096000,[1.9930024414062473],[1.909996],[1.9100037],[0.2829978637695234],[],[],[],[],[],[0.3269361],[0.31331956],[0.31332082],[0.04642353],[],[],[],[],[],
199-D5-43,7.629000,[3.095999694824229],[2.0599976],[2.050003],[0.4229996948242132],[],[],[],[],[],[0.40581986],[0.27002195],[0.2687119],[0.05544628],[],[],[],[],[],
199-D5-44,4.572000,[1.6370021362304499],[1.5299988],[1.4049990844726636],[],[],[],[],[],[],[0.35804946],[0.3346454],[0.30730514],[],[],[],[],[],[],
C6272,0.153000,[],[],[0.1529999999999916],[],[],[],[],[],[],[],[],[1.],[],[],[],[],[],[],
