NAME,OU,VAL,UNITS,EVENT,TYPE
199-D2-10,DX,0.0,gpm,1,Injection
199-D2-10,DX,0.0,gpm,2,Injection
199-D2-10,DX,0.0,gpm,3,Injection
199-D2-10,DX,0.0,gpm,4,Injection
199-D2-10,DX,0.0,gpm,5,Injection
199-D2-10,DX,0.0,gpm,6,Injection
199-D2-10,DX,0.0,gpm,7,Injection
199-D2-10,DX,0.0,gpm,8,Injection
199-D2-10,DX,0.0,gpm,9,Injection
199-D2-10,DX,0.0,gpm,10,Injection
199-D2-12,DX,0.0,gpm,1,Injection
199-D2-12,DX,0.0,gpm,2,Injection
199-D2-12,DX,0.0,gpm,3,Injection
199-D2-12,DX,0.0,gpm,4,Injection
199-D2-12,DX,0.0,gpm,5,Injection
199-D2-12,DX,0.0,gpm,6,Injection
199-D2-12,DX,0.0,gpm,7,Injection
199-D2-12,DX,0.0,gpm,8,Injection
199-D2-12,DX,0.0,gpm,9,Injection
199-D2-12,DX,0.0,gpm,10,Injection
199-D4-101,DX,0.0,gpm,1,Extraction
199-D4-101,DX,0.0,gpm,2,Extraction
199-D4-101,DX,0.0,gpm,3,Extraction
199-D4-101,DX,0.0,gpm,4,Extraction
199-D4-101,DX,0.0,gpm,5,Extraction
199-D4-101,DX,0.0,gpm,6,Extraction
199-D4-101,DX,0.0,gpm,7,Extraction
199-D4-101,DX,0.0,gpm,8,Extraction
199-D4-101,DX,0.0,gpm,9,Extraction
199-D4-101,DX,0.0,gpm,10,Extraction
199-D4-14,DX,-11.6410618287968,gpm,1,Extraction
199-D4-14,DX,-13.712847221716627,gpm,2,Extraction
199-D4-14,DX,-14.171102149621365,gpm,3,Extraction
199-D4-14,DX,-12.87312499934999,gpm,4,Extraction
199-D4-14,DX,-13.935819892369675,gpm,5,Extraction
199-D4-14,DX,-15.000115741407777,gpm,6,Extraction
199-D4-14,DX,-14.291577060108231,gpm,7,Extraction
199-D4-14,DX,-14.565837813793488,gpm,8,Extraction
199-D4-14,DX,-14.521689815186566,gpm,9,Extraction
199-D4-14,DX,-13.720586917995863,gpm,10,Extraction
199-D4-34,DX,-0.0019041218836832012,gpm,1,Extraction
199-D4-34,DX,-0.01579861109533417,gpm,2,Extraction
199-D4-34,DX,-0.0016801074688869602,gpm,3,Extraction
199-D4-34,DX,-0.0008101852314152944,gpm,4,Extraction
199-D4-34,DX,-0.33718637988826355,gpm,5,Extraction
199-D4-34,DX,-4.179953703801448,gpm,6,Extraction
199-D4-34,DX,-0.32909946228425674,gpm,7,Extraction
199-D4-34,DX,-1.9943100352364027,gpm,8,Extraction
199-D4-34,DX,-4.000300925752306,gpm,9,Extraction
199-D4-34,DX,-3.871326165740071,gpm,10,Extraction
199-D4-38,DX,-8.647020608612692,gpm,1,Extraction
199-D4-38,DX,-8.732787697776486,gpm,2,Extraction
199-D4-38,DX,-8.615389784470775,gpm,3,Extraction
199-D4-38,DX,-7.642476850955869,gpm,4,Extraction
199-D4-38,DX,-8.603449820436586,gpm,5,Extraction
199-D4-38,DX,-8.871157406615772,gpm,6,Extraction
199-D4-38,DX,-8.548745519459127,gpm,7,Extraction
199-D4-38,DX,-8.091935484263818,gpm,8,Extraction
199-D4-38,DX,-8.257291667097414,gpm,9,Extraction
199-D4-38,DX,-6.610775089088991,gpm,10,Extraction
199-D4-39,DX,-9.503315411519134,gpm,1,Extraction
199-D4-39,DX,-4.976959325481581,gpm,2,Extraction
199-D4-39,DX,-8.040949821361187,gpm,3,Extraction
199-D4-39,DX,-7.542685184905751,gpm,4,Extraction
199-D4-39,DX,-7.095497312185915,gpm,5,Extraction
199-D4-39,DX,0.0,gpm,6,Extraction
199-D4-39,DX,0.0,gpm,7,Extraction
199-D4-39,DX,0.0,gpm,8,Extraction
199-D4-39,DX,0.0,gpm,9,Extraction
199-D4-39,DX,0.0,gpm,10,Extraction
199-D4-39,DX,0.0,gpm,1,Injection
199-D4-39,DX,0.0,gpm,2,Injection
199-D4-39,DX,0.0,gpm,3,Injection
199-D4-39,DX,0.0,gpm,4,Injection
199-D4-39,DX,0.0,gpm,5,Injection
199-D4-39,DX,2.1293981474745096,gpm,6,Injection
199-D4-39,DX,33.12090054565705,gpm,7,Injection
199-D4-39,DX,29.93841845500233,gpm,8,Injection
199-D4-39,DX,25.43416667192134,gpm,9,Injection
199-D4-39,DX,23.42506719915327,gpm,10,Injection
199-D4-83,DX,-0.004032257998709829,gpm,1,Extraction
199-D4-83,DX,-5.637375992774922,gpm,2,Extraction
199-D4-83,DX,-2.4317428320823926,gpm,3,Extraction
199-D4-83,DX,-0.00011574074734504204,gpm,4,Extraction
199-D4-83,DX,-4.2531586028487,gpm,5,Extraction
199-D4-83,DX,-8.430393519433876,gpm,6,Extraction
199-D4-83,DX,-6.005891577263607,gpm,7,Extraction
199-D4-83,DX,-5.454614694847571,gpm,8,Extraction
199-D4-83,DX,-3.0195833334821507,gpm,9,Extraction
199-D4-83,DX,-0.7213485662870344,gpm,10,Extraction
199-D4-84,DX,-4.507168459013341,gpm,1,Extraction
199-D4-84,DX,-4.978273808923552,gpm,2,Extraction
199-D4-84,DX,-4.4700044796881855,gpm,3,Extraction
199-D4-84,DX,-3.6189814814169066,gpm,4,Extraction
199-D4-84,DX,-7.163552866855026,gpm,5,Extraction
199-D4-84,DX,-6.105949073779523,gpm,6,Extraction
199-D4-84,DX,-5.042853941755234,gpm,7,Extraction
199-D4-84,DX,-4.977508961119907,gpm,8,Extraction
199-D4-84,DX,-3.0212500004640623,gpm,9,Extraction
199-D4-84,DX,-2.9103046601483173,gpm,10,Extraction
199-D4-85,DX,-18.16189516180726,gpm,1,Extraction
199-D4-85,DX,-17.92943948497637,gpm,2,Extraction
199-D4-85,DX,-16.615188171354365,gpm,3,Extraction
199-D4-85,DX,-14.709675926310736,gpm,4,Extraction
199-D4-85,DX,-18.766308245581346,gpm,5,Extraction
199-D4-85,DX,-20.89069443832475,gpm,6,Extraction
199-D4-85,DX,-20.03326612634296,gpm,7,Extraction
199-D4-85,DX,-19.212365599506704,gpm,8,Extraction
199-D4-85,DX,-20.592106472926854,gpm,9,Extraction
199-D4-85,DX,-19.826254485266617,gpm,10,Extraction
199-D4-95,DX,-11.699305556464015,gpm,1,Extraction
199-D4-95,DX,-12.513343254782049,gpm,2,Extraction
199-D4-95,DX,-10.722177418466028,gpm,3,Extraction
199-D4-95,DX,-7.443032407312159,gpm,4,Extraction
199-D4-95,DX,-14.326232078207813,gpm,5,Extraction
199-D4-95,DX,-13.248333333252907,gpm,6,Extraction
199-D4-95,DX,-11.467853942568297,gpm,7,Extraction
199-D4-95,DX,-11.421706988897213,gpm,8,Extraction
199-D4-95,DX,-8.90828703623601,gpm,9,Extraction
199-D4-95,DX,-6.5981854837839045,gpm,10,Extraction
199-D4-96,DX,-5.523991935316137,gpm,1,Extraction
199-D4-96,DX,-0.9891121031896465,gpm,2,Extraction
199-D4-96,DX,-0.26756272394867264,gpm,3,Extraction
199-D4-96,DX,-4.629633562857965e-05,gpm,4,Extraction
199-D4-96,DX,-7.183915771491312,gpm,5,Extraction
199-D4-96,DX,-9.223379629416826,gpm,6,Extraction
199-D4-96,DX,-6.9779569899641745,gpm,7,Extraction
199-D4-96,DX,-7.7582213260620945,gpm,8,Extraction
199-D4-96,DX,-2.9726851845658486,gpm,9,Extraction
199-D4-96,DX,-0.12345430104790478,gpm,10,Extraction
199-D4-97,DX,-12.952464156905814,gpm,1,Extraction
199-D4-97,DX,-13.356894841838546,gpm,2,Extraction
199-D4-97,DX,-11.155913978660324,gpm,3,Extraction
199-D4-97,DX,-10.17504629630481,gpm,4,Extraction
199-D4-97,DX,-10.963306450824838,gpm,5,Extraction
199-D4-97,DX,-7.112777778430576,gpm,6,Extraction
199-D4-97,DX,-12.301052867216063,gpm,7,Extraction
199-D4-97,DX,-12.565636200603699,gpm,8,Extraction
199-D4-97,DX,-13.594513888015214,gpm,9,Extraction
199-D4-97,DX,-13.126366487251483,gpm,10,Extraction
